;Acalyptrate_sp;Achaea_finita;Acopsis_viridicans;Aganais_borbonica;Agrostis_atritegulator;Ahasverus_advena;Allograpta_nasuta;Allograpta_sp1;Allograpta_sp2;Anthomyia_faciata;Apis_mellifera;Atherigona_sp1;Bactrocera_cucurbitae;Brachymyrmex_sp ;Calcidoidae_sp1;Campopleginae_sp1;Cephonodes_trochilus;Cerambycidae_sp1;Cerambycidae_sp3;Ceratitis_roas;Chaetocnema_sp1;Cheloninae_sp1;Cheloninae_sp2;Chironomidae_sp1;Chrysomya_megacephala;Cicadellidae_sp2;Condica_capensis;Conocephalus_sp1;Cryptinae_sp;Dasytinae_sp1;Dioxyna_sororcula;Diptera_sp1;Dolichopodidae_sp1;Drosophila_sp1;Drosophila_sp2;Drosophila_sp3;Dysauxes_florida;Eilema_squalida;Episyrphus_sp;Eristalinus_flaveolus;Eumolpinae_sp1;Fannia_pusio;Foudia_madagascariense;Gelechioidea_sp1;Goniurellia_or_Dectodes_sp;Graphomya_maculata;Henotesia_narcissus;Hippotion_eson;Homoneura_quadrivittata;Homoneura_sp2;Homoneura_sp3;Hyadina_sp ;Hydrillodes_sp;Hyperaspis_hottentota;Ischiodon_aegyptius;Lauxania_sp;Lecithoceridae_sp1;Lecithoceridae_sp2;Leptotes_pirithous;Limnophora_quaterna;Limonia_(Dycranomia)sp;Limoniidae_sp;Lygaeidae_sp1;Lygaeidae_sp4;Lygaeidae_sp5;Lygistorrhina_sp;Macroglossum_milvus;Mauritiborium_undulatus;Melanagromyza_sojae;Melanostoma_annulipes;Melanostoma_bituberculatum;Miridae_sp1;Mordellidae_sp1;Mordellidae_sp2;Musca_domestica_Linnaeus;Mythimna_sp1;Nacoleia_sp1;Nacoleia_sp2;Nogodinidae_sp;Nyctemera_insulare;Ophyra_capensis;Orchisia_costata;Ornidia_obesa;Orthellia_albigena;Pachycerina_crinicornis;Paleorhiza_sp1;Panara_naso;Papillio_manlius;Paragus_borbonicus;Pelecophora_intemipta;Peribaea_sp;Phalanta_phalantha;Pheidole_megacephala;Phelsuma_cepediana;Phorinia_sp;Polistes_hebraeus;Psilopa_iceryae;Psyllidae_sp1;Psyllidae_sp2;Pteromalidae_sp1;Pterophoridae_sp1;Pycnonotus_jocosus;Remigia_frugalis;Sapromyza_sp;Sarcophaga_arno;Sarrothripinae_sp;Scatopsidae_sp;Scirtidae_sp1;Scirtidae_sp2;Scolia_carniflex;Scolia_oryctophaga;Scopariinae_sp;Sepsis_lateralis;Simulium_(Byssodon) _sp2;Simulium_sp1;Siphona_sp;Spilogona_sp ;Spodoptera_littoralis;Stomorhina_lunata;Stomoxys_calcitrans;Stomoxys_niger;Strictopterinae_sp1;Syritta_nigrofemorata;Syritta_sp;Tarundia_servillei;Technomyrmex_albipes;Tettigoniidae_sp1;Thelairodrino_sp;Trichoplusia_indicator;Trirhithrum_sp;Villa_unifasciata;Zaprionus_tuberculatus;Zaprionus_vittiger;Zizeeria_knysa;Zosterops_mauritianus
Chassalia_coriacea_var_coriacea;0,00;0,00;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,22;0,00;1,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,62;0,00;0,00;0,00;0,08;0,00;0,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Claoxylon_linostachys_ssp_brachyphyllum;0,00;0,00;0,13;0,00;0,00;0,00;0,21;0,00;0,00;0,00;0,00;0,00;0,00;1,86;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,13;0,20;0,00;0,00;0,04;0,88;0,00;0,25;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,03;0,03;0,00;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Coffea_macrocarpa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,19;0,00;0,16;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,09;2,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Coffea_mauritiana;0,00;0,00;0,00;0,00;0,00;0,00;0,69;0,00;0,00;0,00;1,83;0,00;0,00;1,60;0,00;0,00;0,00;0,00;0,00;0,00;0,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,73;0,00;0,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,32;0,50;0,00;0,00;0,00;0,00;0,00;0,00;1,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;2,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Colea_colei;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Cordemoya_integrifolia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Croton_fothergillifolius;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00;0,03;0,00;0,00;0,58;0,00;0,00;0,00;0,00;0,00;0,00;0,41;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,10;0,17;0,00;0,00;0,00;0,00;0,00;0,15;0,00;0,03;0,27;0,00;0,00;0,00;0,00;0,08;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,28;0,00;0,00;0,00;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,66;0,00;0,09;0,00;0,00;0,00;0,00;0,00;0,01;0,00;1,46;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,86;0,59;0,12;0,00;0,05;0,06;0,00;0,55;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00
Diospyros_revaughanii;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;16,52;0,00;0,00;0,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,89;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Dodonaea_viscosa ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,68;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Doratoxylon_apetalum_var_apetalum;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Dracaena reflexa_var_angustifolia;0,00;0,00;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;0,41;0,00;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,11;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,07;0,00;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,64;0,00;0,00;0,00;0,11;0,00;0,00;1,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00
Embelia_angustifolia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Erythrospermum_monticolum_var_monticolum;0,00;0,00;0,00;0,00;0,00;0,08;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,15;0,00;0,14;0,00;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,24;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Erythroxylum_macrocarpum;0,00;0,00;0,00;0,00;0,00;0,00;0,36;0,00;0,00;0,00;0,33;0,00;0,00;3,20;0,00;0,00;0,00;0,00;0,00;0,09;1,64;0,00;0,00;0,00;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,55;0,00;0,00;0,00;0,00;0,00;0,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,00;0,00;0,00;0,08;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,00;1,10;0,00;0,09;0,00;0,00;0,49;0,00;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,70;0,00;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,69;0,72;0,36;0,00;0,46;0,00;0,00;0,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40
Eugenia_orbiculata;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
Euodia_chapelieri_var_chapelieri;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,43;0,00;0,00;0,00;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07;0,00;0,00;0,00;0,00;0,00;0,27;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00
Euodia_obtusifolia_ssp_gigas_var_brachypoda;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Euodia_obtusifolia_ssp_gigas_var_ gigas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,80;0,00;0,00;0,00;0,00
Faujasiopsis_flexuosa_ssp_erecta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Flagellaria_indica;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00
Gaertnera_petrinensis;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,43;0,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,22;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00;0,00
Gaertnera_psychotrioides_edentata;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,22;0,71;0,00;0,00;0,00;0,00;0,00;0,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,71;0,00;0,00;0,00;0,00;0,00;0,00;0,17;1,33;0,00;0,00;0,00;0,00;1,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,44;0,00;3,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,69;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,33;0,00;0,00;0,00;0,00;0,87;0,00;0,00;0,00;0,00
