"plantas","Acalyptratae.sp2","Acalyptratae.sp4","Acromyrmex.lobicornis","Alloscirtetica.brethesi","Alloscirtetica.sp1","Ammophila.sp","Ananthidium.inerme","Anthidium.friesei","Anthrax.oedipus","Anthidium.rubripes","Anthidium.vigintipunctatum","Anthomyiidae.sp1","Apis.mellifera","Arhysosage.bifasciata","Aristosyrphus.sp","Ascia.monuste","Asilidae.sp1","Asilidae.sp2","Audre.sp","Augochloropsis.sp","Babia.elongata","Bibionidae.sp","Bombus.opifex","Exoprosopa.sp1","Exoprosopa.sp2","Bombyliidae.sp12","Bombyliidae.sp14","Bombyliidae.sp15","Bombyliidae.sp16","Chrysanthrax.sp2","Bombilidae.sp5","Parasystoechus.sp","Poecilognathus.sp","Bombyliidae.sp9","Caenohalictus.sp","Calliopsini.sp1","Camponotus.mus","Camponotus.punctulatus","Centris.brethesi","Centris.lyngbyei","Centris.vardyorum","Chaetocrania.sp","Cochliomyia.macellaria","Coccinelidae.sp1","Coccinela.sp2","Coelioxys.chilensis","Coelioxys.jorgenseni","Coelioxys.sp6","Colletes.araucariae","Colletes.bicolor","Colletes.brethesi","Colletes.cognatus","Colletes.lycii","Compsomyiops.fulvicrura","Copestilum.aricia","Copestilum.sp2","Copestilum.sp3","Cosmosatyrus.chilensis","Crabronidae.sp1","Diadasia.baraderensis","Diadasia.patagonica","Diabrotica.sp","Dialictus.sp","Empididae.sp1","Empididae.sp2","Epitragus.sp","Eumenidae.sp","Chrysanthrax.sp1","Foreluis.sp","Hirmoneura.sp","Hypalastroides.sp","Isepeolus.vachali","Isepeolus.viperinus","Leioproctus.abdominalis","Leioproctus.friesei","Leptometriella.nigra","Lepidoptera.sp11","Lepidoptera.sp12","Lepidoptera.sp3","Lepidoptera.sp4","Liphantus.inornatus","Liphantus.nigritus","Lonchopria.robertsi","Lonchopria.sp","Megachile.leucographa","Megachile.obscurior","Megachile.nigella","Megachile.pseudocentron2","Melectoides.cockerelli","Melissoptila.sp","Mesonychium.jenseni","Muscidae.sp2","neu.sp1","Nitidulidae.sp1","Pyrgus.communis","Platycheirus.sp","Polistes.cavapyta","Pompilidae.sp2","Psaenythia.philantoides","Psaenythia.rufipes","Pseudagapostemon.sp","Rubrica.nasuta","Sarcophagidae.sp1","Sciomyzidae","Sphex.sp2","Sphecidae.sp1","Strymon.eurytulus","Svastrides.bauni","Svastra.sp","Svastrides.zebra","Syrphus.sp1","Syrphidae.sp2","Syrphidae.sp3","Syrphidae.sp5","Syrphidae.sp6","Tachipompillus.sp","Tachinidae.sp10","Tachinidae.sp15","Tachinidae.sp17","Tachinidae.sp5","Tachinidae.sp8","Tachytes.sp","Tatochila.autodice","Tephritidae.sp1","Tephritidae.sp2","Thynnidae.sp","Toxomerus.sp1","Trichothurgus.laticeps","Trichoturgus.sp2","Villa.sp","Willinkapis.chalybaea","Xylocopa.augusti","Xylocopa.atamisquensis","Xylocopa.splendidula","Zeta.sp"
"prosopis.flexuosa",0,0,0,0,10,78,0,0,0,0,0,0,2477,0,0,0,0,0,15,205,34,0,50,1,7,0,0,0,0,0,0,0,38,15,3,0,34,17,4,0,0,20,0,0,0,0,0,0,0,10,11,42,2,7,1565,192,0,165,0,0,0,0,12,0,0,0,0,203,1,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,81,0,80,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,66,30,75,0,12,0,25,0,1,0,0,203,22,1,0,0,0,0,0,0,1,5,0,0,0,32,0,0,16,0,20
"ruta.chalepensis",0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,19,0,2,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,1,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"salvia.gilliesii",0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,1,1,0,0,60,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,0,0,45,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,69,21,0
"schinus.fasciculata",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,21,6,1,0,4,2,0,0,0,0,12,0,0,0,0,0,0,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,34,8,0,0,0,0,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"senna.aphylla",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,102,0,0,8,0,0,0,0,0,0,1,0,0,0,0,2,0,43,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,10,0,0,0,1,10,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13
"senecio.pinnatus",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,3,0,0,0,0,0,1,0,0,8,0,6,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,265,9,0,28,0,0,3,0,3,0,0,0,0,1,0,3,0,3,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,29,0,0,0,1,0,0,0,1,0,0,0,18,0,0,0,3,0,0,0,0,2,13,3,0,0,4,0,7,0,0,0,0,0,0,6,0,0,0,0,1
"spartium.junceum",0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,10,10,0,0,64,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,161,17,0,18,0,0,0,1,1,0,0,0,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113,2,3
"spharealcea.miniata",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"thymophylla.pentachaeta",0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,4,0,0,0,0,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,17,0,0,2,0,0,0,0,30,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"trichocereus.candicans",0,0,0,0,0,0,0,0,1,0,0,0,4,7,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,25,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"veronica.polita",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"zuccagnia.punctata",0,0,0,0,25,25,1,1,0,1,0,3,588,0,0,0,0,0,8,121,2,0,109,0,0,0,0,0,0,0,0,0,9,5,1,1,1,5,375,5,0,0,0,0,0,0,7,0,2,0,5,78,8,0,167,4,0,12,0,0,5,0,24,0,0,1,0,0,0,2,1,1,0,17,0,0,1,0,0,1,0,0,7,0,51,8,13,0,0,0,30,0,0,0,2,0,2,0,2,0,6,0,0,0,0,3,28,0,0,22,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,4,0,0,19,0,314,13,32
