"ID","Abeja","especies","genero","Familia","DIT","Grado","Grado relativo","z_Grado"
"chaco0611","Willinkapis.chalybaea_0611","Willinkapis.chalybaea","Willinkapis","Colletidae",NA,5,0.135135135135135,-0.271344993140076
"M_001","Alloscirtetica.rufitarsis_001","Alloscirtetica.rufitarsis","Alloscirtetica","Apidae",3.36,3,0.1875,-0.23302042772804
"M_001","Alloscirtetica.gayi_001","Alloscirtetica.gayi","Alloscirtetica","Apidae",3.102,2,0.125,-0.478636554252191
"M_001","Alloscirtetica.sp_001","Alloscirtetica.sp","Alloscirtetica","Apidae",2.9,9,0.5625,1.24067633141686
"M_001","Anthidium.chilensis_001","Anthidium.chilensis","Anthidium","Megachilidae",1.2,8,0.5,0.995060204892712
"M_001","Anthidium.decaspilum_001","Anthidium.decaspilum","Anthidium","Megachilidae",3.2,4,0.25,0.0125956987961102
"M_001","Anthidium.funereum_001","Anthidium.funereum","Anthidium","Megachilidae",3.2,7,0.4375,0.749444078368562
"M_001","Anthidium.gayi_001","Anthidium.gayi","Anthidium","Megachilidae",NA,5,0.3125,0.258211825320261
"M_001","Anthidium.adriani_001","Anthidium.adriani","Anthidium","Megachilidae",NA,1,0.0625,-0.724252680776341
"M_001","Anthidium.sp_001","Anthidium.sp","Anthidium","Megachilidae",3.34,1,0.0625,-0.724252680776341
"M_001","Cadeguala.occidentalis_001","Cadeguala.occidentalis","Cadeguala","Colletidae",3.3,4,0.25,0.0125956987961102
"M_001","Caupolicana.dimidiata_001","Caupolicana.dimidiata","Caupolicana","Apidae",NA,1,0.0625,-0.724252680776341
"M_001","Chilimelissa.sp_001","Chilimelissa.sp","Chilimelissa","Colletidae",NA,1,0.0625,-0.724252680776341
"M_001","Corynura.sp_001","Corynura.sp","Corynura","Halictidae",NA,1,0.0625,-0.724252680776341
"M_001","Dialictus.sp_001","Dialictus.sp","Dialictus","Halictidae",1.2,1,0.0625,-0.724252680776341
"M_001","Liphanthus.sabulosus_001","Liphanthus.sabulosus","Liphanthus","Andrenidae",1.237,3,0.1875,-0.23302042772804
"M_001","Panurgineae.sp_001","Panurgineae.sp","Panurgineae","Andrenidae",NA,6,0.375,0.503827951844411
"M_001","Ruizantheda.mutabilis_001","Ruizantheda.mutabilis","Ruizantheda","Halictidae",1.68,2,0.125,-0.478636554252191
"M_001","Svastrides.melanura_001","Svastrides.melanura","Svastrides","apidae",NA,1,0.0625,-0.724252680776341
"M_001","Colletes.araucariae_001","Colletes.araucariae","Colletes","Colletidae",2.417,1,0.0625,-0.724252680776341
"M_001","Chilicola.sp_001","Chilicola.sp","Chilicola","colletidae",NA,2,0.125,-0.478636554252191
"M_001","Caenohalictus.sp_001","Caenohalictus.sp","Caenohalictus","Halictidae",1.3,11,0.6875,1.73190858446516
"M_001","Liphanthus.sp2_001","Liphanthus.sp2","Liphanthus","Andrenidae",NA,1,0.0625,-0.724252680776341
"M_001","Centris.cineraria_001","Centris.cineraria","Centris","Apidae",5.108,15,0.9375,2.71437309056177
"M_001","Caenohalictus.sp2_001","Caenohalictus.sp2","Caenohalictus","Halictidae",1.3,1,0.0625,-0.724252680776341
"M_001","Caenohalictus.sp3_001","Caenohalictus.sp3","Caenohalictus","Halictidae",1.3,1,0.0625,-0.724252680776341
"M_001","Bombus.dahlbomii_001","Bombus.dahlbomii","Bombus","Apidae",6.01,7,0.4375,0.749444078368562
"M_001","Anthophora.incerta_001","Anthophora.incerta","Anthophora","Apidae",4.13,3,0.1875,-0.23302042772804
"M_001","Colletes.fulvipes_001","Colletes.fulvipes","Colletes","Colletidae",NA,1,0.0625,-0.724252680776341
"M_001","Megachile.semirufa_001","Megachile.semirufa","Megachile","Megachilidae",NA,16,1,2.95998921708592
"M_001","Centris.nigerrima_001","Centris.nigerrima","Centris","Apidae",4.836,4,0.25,0.0125956987961102
"M_001","Megachile.sp1_001","Megachile.sp1","Megachile","Megachilidae",3.2,13,0.8125,2.22314083751347
"M_001","Megachile.sp2_001","Megachile.sp2","Megachile","Megachilidae",3.2,6,0.375,0.503827951844411
"M_001","Centris.sp_001","Centris.sp","Centris","Apidae",5.4,1,0.0625,-0.724252680776341
"M_001","Colletes.sp_001","Colletes.sp","Colletes","Colletidae",2.9,1,0.0625,-0.724252680776341
"M_001","Anthophora.sp_001","Anthophora.sp","Anthophora","Apidae",4.13,2,0.125,-0.478636554252191
"M_001","Maurocolletes.incahuasi_001","Maurocolletes.incahuasi","Maurocolletes","Colletidae",NA,2,0.125,-0.478636554252191
"M_001","Maurocolletes.ruizi_001","Maurocolletes.ruizi","Maurocolletes","Colletidae",NA,1,0.0625,-0.724252680776341
"M_001","Maurocolletes.sicheli_001","Maurocolletes.sicheli","Maurocolletes","Colletidae",NA,4,0.25,0.0125956987961102
"M_001","XanthoColletes.sp_001","XanthoColletes.sp","XanthoColletes","Apidae",NA,1,0.0625,-0.724252680776341
"M_002","Caenohalictus.sp_002","Caenohalictus.sp","Caenohalictus","Halictidae",1.3,8,1,2.42837784749196
"M_002","Alloscirtetica.rufitarsis-002","","Alloscirtetica","Apidae",3.36,1,0.125,-0.758868077341238
"M_002","Alloscirtetica.sp_002","Alloscirtetica.sp","Alloscirtetica","Apidae",2.9,2,0.25,-0.303547230936495
"M_002","Anthidium.funereum_002","Anthidium.funereum","Anthidium","Megachilidae",3.2,3,0.375,0.151773615468248
"M_002","Anthidium.sp_002","Anthidium.sp","Anthidium","Megachilidae",3.34,2,0.25,-0.303547230936495
"M_002","Centris.cana_002","Centris.cana","Centris","Apidae",NA,1,0.125,-0.758868077341238
"M_002","Panurgineae.sp_002","Panurgineae.sp","Panurgineae","Andrenidae",NA,2,0.25,-0.303547230936495
"M_002","Chilicola.sp_002","Chilicola.sp","Chilicola","Colletidae",NA,1,0.125,-0.758868077341238
"M_002","Bombus.dahlbomii_002","Bombus.dahlbomii","Bombus","Apidae",6.01,8,1,2.42837784749196
"M_002","Colletes.fulvipes_002","Colletes.fulvipes","Colletes","Colletidae",NA,1,0.125,-0.758868077341238
"M_002","Centris.cineraria_002","Centris.cineraria","Centris","Apidae",5.108,3,0.375,0.151773615468248
"M_002","Megachile.semirufa_002","Megachile.semirufa","Megachile","Megachilidae",4.19,4,0.5,0.607094461872991
"M_002","Megachile.sp1_002","Megachile.sp1","Megachile","Megachilidae",3.2,4,0.5,0.607094461872991
"M_002","Megachile.sp2_002","Megachile.sp2","Megachile","Megachilidae",3.2,1,0.125,-0.758868077341238
"M_002","Megachile.sp4_002","Megachile.sp4","Megachile","Megachilidae",3.2,1,0.125,-0.758868077341238
"M_002","Centris.nigerrima_002","Centris.nigerrima","Centris","Apidae",4.836,2,0.25,-0.303547230936495
"M_002","Colletes.sp_002","Colletes.sp","Colletes","Colletidae",2.9,1,0.125,-0.758868077341238
"M_002","Megachile.sp5_002","Megachile.sp5","Megachile","Megachilidae",3.2,3,0.375,0.151773615468248
"M_003","Anthidium.sp_003","Anthidium.sp","Anthidium","Megachilidae",3.34,7,1,1.46570975460552
"M_003","StenAnthidium.espinosai_003","StenAnthidium.espinosai","StenAnthidium","Megachilidae",NA,2,0.285714285714286,-0.78922832940297
"M_003","Bombus.dahlbomii_003","Bombus.dahlbomii","Bombus","Apidae",6.01,3,0.428571428571429,-0.338240712601273
"M_003","Megachile.sp5_003","Megachile.sp5","Megachile","Megachilidae",3.2,3,0.428571428571429,-0.338240712601273
"M_004","Dialictus.cressoni_004","Dialictus.cressoni","Dialictus","Halictidae",NA,4,0.5,0.956894805291461
"M_004","Dialictus.imitatus_004","Dialictus.imitatus","Dialictus","Halictidae",NA,2,0.25,-0.0610783918271146
"M_004","Dialictus.sp1_004","Dialictus.sp1","Dialictus","Halictidae",1.2,8,1,2.99284119952861
"M_004","Halictus.confusus_004","Halictus.confusus","Halictus","Halictidae",1.41,1,0.125,-0.570064990386402
"M_004","Hoplitis.producta_004","Hoplitis.producta","Hoplitis","Megachilidae",1.56,1,0.125,-0.570064990386402
"M_004","Hylaeus.basalis_004","Hylaeus.basalis","Hylaeus","Colletidae",1.85,1,0.125,-0.570064990386402
"M_004","Hylaeus.ellipticus_004","Hylaeus.ellipticus","Hylaeus","Colletidae",NA,1,0.125,-0.570064990386402
"M_004","Osmia.lignaria_004","Osmia.lignaria","Osmia","Megachilidae",2.9,1,0.125,-0.570064990386402
"M_004","Halictus.rubicundus_004","Halictus.rubicundus","Halictus","Halictidae",2.21,2,0.25,-0.0610783918271146
"M_004","Osmia.proxima_004","Osmia.proxima","Osmia","Megachilidae",2.16,2,0.25,-0.0610783918271146
"M_004","Osmia.pumila_004","Osmia.pumila","Osmia","Megachilidae",1.9,1,0.125,-0.570064990386402
"M_004","Andrena.melanochroa_004","Andrena.melanochroa","Andrena","Andrenidae",1.7,1,0.125,-0.570064990386402
"M_004","Andrena.miranda_004","Andrena.miranda","Andrena","Andrenidae",1.9,2,0.25,-0.0610783918271146
"M_004","Andrena.nivalis_004","Andrena.nivalis","Andrena","Andrenidae",2.69,2,0.25,-0.0610783918271146
"M_004","Bombus.perplexus_004","Bombus.perplexus","Bombus","Apidae",NA,2,0.25,-0.0610783918271146
"M_004","Andrena.rufosignata_004","Andrena.rufosignata","Andrena","Andrenidae",NA,1,0.125,-0.570064990386402
"M_004","Andrena.sigmundi_004","Andrena.sigmundi","Andrena","Andrenidae",NA,1,0.125,-0.570064990386402
"M_004","Andrena.thaspii_004","Andrena.thaspii","Andrena","Andrenidae",NA,1,0.125,-0.570064990386402
"M_004","Bombus.ternarius_004","Bombus.ternarius","Bombus","Apidae",NA,2,0.25,-0.0610783918271146
"M_004","Andrena.w.scripta_004","Andrena.w.scripta","Andrena","Andrenidae",1.74,2,0.25,-0.0610783918271146
"M_004","Andrena.wheeleri_004","Andrena.wheeleri","Andrena","Andrenidae",NA,1,0.125,-0.570064990386402
"M_004","Andrena.wilkella_004","Andrena.wilkella","Andrena","Andrenidae",2.34,1,0.125,-0.570064990386402
"M_004","Bombus.terricola_004","Bombus.terricola","Bombus","Apidae",NA,4,0.5,0.956894805291461
"M_004","Bombus.vagans_004","Bombus.vagans","Bombus","Apidae",3.56,8,1,2.99284119952861
"M_004","Hylaeus.stevensi_004","Hylaeus.stevensi","Hylaeus","Colletidae",NA,1,0.125,-0.570064990386402
"M_005","Colletes.americanus_005","Colletes.americanus","Colletes","Colletidae",NA,2,0.0540540540540541,-0.536394722425206
"M_005","Megachile.gemula albula_005","Megachile.gemula.albula","Megachile","Megachilidae",3.62,1,0.027027027027027,-0.670493403031508
"M_005","Bombus.americanorum_005","Bombus.americanorum","Bombus","Apidae",NA,3,0.0810810810810811,-0.402296041818905
"M_005","Bombus.appositus_005","Bombus.appositus","Bombus","Apidae",NA,15,0.405405405405405,1.20688812545671
"M_005","Osmia.abnormis_005","Osmia.abnormis","Osmia","Megachilidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Osmia.albolateralis_005","Osmia.albolateralis","Osmia","Megachilidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Anthidium.tenuiflorae_005","Anthidium.tenuiflorae","Anthidium","Megachilidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Apis.mellifera_005","Apis.mellifera","Apis","Apidae",2.9,22,0.594594594594595,2.14557888970082
"M_005","Bombus.bifarius_005","Bombus.bifarius","Bombus","Apidae",2.89,21,0.567567567567568,2.01148020909452
"M_005","Melissodes.aurigenia_005","Melissodes.aurigenia","Melissodes","Apidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Osmia.bella_005","Osmia.bella","Osmia","Megachilidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Osmia.brevis_005","Osmia.brevis","Osmia","Megachilidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Osmia.bruneri_005","Osmia.bruneri","Osmia","Megachilidae",2.1,7,0.189189189189189,0.134098680606302
"M_005","Osmia.coloradella_005","Osmia.coloradella","Osmia","Megachilidae",NA,2,0.0540540540540541,-0.536394722425206
"M_005","Osmia.densa_005","Osmia.densa","Osmia","Megachilidae",NA,9,0.243243243243243,0.402296041818905
"M_005","Osmia.fulgida_005","Osmia.fulgida","Osmia","Megachilidae",NA,4,0.108108108108108,-0.268197361212603
"M_005","Osmia.hypoleuca_005","Osmia.hypoleuca","Osmia","Megachilidae",NA,3,0.0810810810810811,-0.402296041818905
"M_005","Panurginus.cressoniellus_005","Panurginus.cressoniellus","Panurginus","Andrenidae",NA,5,0.135135135135135,-0.134098680606302
"M_005","Panurginus.sp1_005","Panurginus.sp1","Panurginus","Andrenidae",NA,5,0.135135135135135,-0.134098680606302
"M_005","Andrena.braccata_005","Andrena.braccata","Andrena","Andrenidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Bombus.centralis_005","Bombus.centralis","Bombus","Apidae",3.06,5,0.135135135135135,-0.134098680606302
"M_005","Anthophora.bomboides_005","Anthophora.bomboides","Anthophora","Apidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Halictus.chloralictus_005","Halictus.chloralictus","Halictus","Halictidae",NA,10,0.27027027027027,0.536394722425206
"M_005","Bombus.dorsalis_005","Bombus.dorsalis","Bombus","Apidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Andrena.canadensis_005","Andrena.canadensis","Andrena","Andrenidae",NA,2,0.0540540540540541,-0.536394722425206
"M_005","Andrena.crataegi_005","Andrena.crataegi","Andrena","Andrenidae",1.81,9,0.243243243243243,0.402296041818905
"M_005","Andrena.edwiniae_005","Andrena.edwiniae","Andrena","Andrenidae",NA,2,0.0540540540540541,-0.536394722425206
"M_005","Andrena.gardineri_005","Andrena.gardineri","Andrena","Andrenidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Anthophora.neomexicana_005","Anthophora.neomexicana","Anthophora","Apidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Anthophora.occidentalis_005","Anthophora.occidentalis","Anthophora","Apidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Bombus.edwardsi_005","Bombus.edwardsi","Bombus","Apidae",NA,37,1,4.15705909879535
"M_005","Halictus.fendleri_005","Halictus.fendleri","Halictus","Halictidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Halictus.lerouxi_005","Halictus.lerouxi","Halictus","Halictidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Halictus.manitonellus_005","Halictus.manitonellus","Halictus","Halictidae",NA,2,0.0540540540540541,-0.536394722425206
"M_005","Osmia.megacephala_005","Osmia.megacephala","Osmia","Megachilidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Osmia.melanotricha_005","Osmia.melanotricha","Osmia","Megachilidae",NA,6,0.162162162162162,0
"M_005","Osmia.nigrifrons_005","Osmia.nigrifrons","Osmia","Megachilidae",2.43,2,0.0540540540540541,-0.536394722425206
