"ID","plantas","especie","interaccion"
"M_051","Alstroemeria.aurea","Allograpta.exotica",0
"M_051","Alstroemeria.aurea","Allograpta.hortensis",7
"M_051","Alstroemeria.aurea","Anthaxia.sp1.M.PL.051",40
"M_051","Alstroemeria.aurea","Bombus.dahlbomii",583
"M_051","Alstroemeria.aurea","Bombus.ruderatus",173
"M_051","Alstroemeria.aurea","Caenohalictus.sp1.M.PL.051",0
"M_051","Alstroemeria.aurea","Caenohalictus.sp2.M.PL.051",0
"M_051","Alstroemeria.aurea","Camponotus.sp1.M.PL.051",0
"M_051","Alstroemeria.aurea","Chalepogenus.caeruleus",0
"M_051","Alstroemeria.aurea","Chilicola.sp1.M.PL.051",7
"M_051","Alstroemeria.aurea","Chilicola.sp2.M.PL.051",2
"M_051","Alstroemeria.aurea","Chilicola.sp3.M.PL.051",1
"M_051","Alstroemeria.aurea","Coleoptera.sp23.M.PL.051",0
"M_051","Alstroemeria.aurea","Coleoptera.sp24.M.PL.051",2
"M_051","Alstroemeria.aurea","Coleoptera.sp33.M.PL.051",0
"M_051","Alstroemeria.aurea","Coleoptera.sp34.M.PL.051",0
"M_051","Alstroemeria.aurea","Coleoptera.sp35.M.PL.051",1
"M_051","Alstroemeria.aurea","Coleoptera.sp36.M.PL.051",1
"M_051","Alstroemeria.aurea","Coleoptera.sp8.M.PL.051",0
"M_051","Alstroemeria.aurea","Colletes.seminitidus",0
"M_051","Alstroemeria.aurea","Corynura.prothysteres",3
"M_051","Alstroemeria.aurea","Corynura.sp1.M.PL.051",0
"M_051","Alstroemeria.aurea","Diptera.sp19.M.PL.051",0
"M_051","Alstroemeria.aurea","Diptera.sp28.M.PL.051",0
"M_051","Alstroemeria.aurea","Diptera.sp41.M.PL.051",0
"M_051","Alstroemeria.aurea","Diptera.sp42.M.PL.051",1
"M_051","Alstroemeria.aurea","Diptera.sp43.M.PL.051",1
"M_051","Alstroemeria.aurea","Diptera.sp44.M.PL.051",1
"M_051","Alstroemeria.aurea","Evylaeus.sp1.M.PL.051",6
"M_051","Alstroemeria.aurea","Heteroptera.sp45.M.PL.051",1
"M_051","Alstroemeria.aurea","Heterosarus.sp1.M.PL.051",22
"M_051","Alstroemeria.aurea","Hymenoptera.sp51.M.PL.051",1
"M_051","Alstroemeria.aurea","Hymenoptera.sp52.M.PL.051",1
"M_051","Alstroemeria.aurea","Lepidoptera.sp5.M.PL.051",0
"M_051","Alstroemeria.aurea","Manuelia.gayi",101
"M_051","Alstroemeria.aurea","Manuelia.postica",11
"M_051","Alstroemeria.aurea","Megachile.sp1.M.PL.051",17
"M_051","Alstroemeria.aurea","Megachile.sp2.M.PL.051",6
"M_051","Alstroemeria.aurea","Ocyptamus.melanorrhinus",8
