"ID","plantas","especie","interaccion"
"M_006","Achillea.millefolium","Adela.rufimatrella",0
"M_006","Achillea.millefolium","Andrena.haemorrhoa",0
"M_006","Achillea.millefolium","Andrena.pubescens",0
"M_006","Achillea.millefolium","Andrena.wilkella",0
"M_006","Achillea.millefolium","Anosymia.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Anthomyidae.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Autographa.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Bombus.hortorum",0
"M_006","Achillea.millefolium","Bombus.lapidarius",0
"M_006","Achillea.millefolium","Bombus.pascuorum",0
"M_006","Achillea.millefolium","Bombus.pratorum",0
"M_006","Achillea.millefolium","Bombus.terrestris.lucorum",0
"M_006","Achillea.millefolium","Cheilosia.albitarsis",0
"M_006","Achillea.millefolium","Chloromyia.formosa",0
"M_006","Achillea.millefolium","Chrysogaster.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Empis.livida",0
"M_006","Achillea.millefolium","Eriothrix.rufomaculatus",0
"M_006","Achillea.millefolium","Eristalinus.sepulcharius",2
"M_006","Achillea.millefolium","Eristalis.intricarius",1
"M_006","Achillea.millefolium","Eristalis.nemorum",0
"M_006","Achillea.millefolium","Eristalis.pertinax",0
"M_006","Achillea.millefolium","Eristalis.tenax",0
"M_006","Achillea.millefolium","Helophilus.sp1.M.PL.006",1
"M_006","Achillea.millefolium","Helophilus.trivittatus",0
"M_006","Achillea.millefolium","Lasioglossum.calceatum",0
"M_006","Achillea.millefolium","Lasioglossum.leucozonium",0
"M_006","Achillea.millefolium","Lasioglossum.villosulum",0
"M_006","Achillea.millefolium","Lasiommata.megera",0
"M_006","Achillea.millefolium","Lejogaster.splendida",0
"M_006","Achillea.millefolium","Lucillia.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Lycaena.phlaeas",0
"M_006","Achillea.millefolium","Malachius.viridus",0
"M_006","Achillea.millefolium","Maniola.jurtina",3
"M_006","Achillea.millefolium","Megachile.willughbiella",0
"M_006","Achillea.millefolium","Melanostoma.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Meliscaeva.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Micromoth.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Nemotelus.pantherinus",0
"M_006","Achillea.millefolium","Neoascia.tenur",0
"M_006","Achillea.millefolium","Ochlodes.venata",0
"M_006","Achillea.millefolium","Odontomyia.tigrina",0
"M_006","Achillea.millefolium","Odontomyia.viridula",1
"M_006","Achillea.millefolium","Oligia.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Parhelophilus.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Phaonia.incarna",1
"M_006","Achillea.millefolium","Platycheirus.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Pollenia.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Polyommatus.icarus",0
"M_006","Achillea.millefolium","Psithyrus.vest",0
"M_006","Achillea.millefolium","Pyronia.tithonus",0
"M_006","Achillea.millefolium","Rhagio.tringarius",0
"M_006","Achillea.millefolium","Rhagonycha.fulva",0
"M_006","Achillea.millefolium","Sarcophagus.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Scathophaga.stercoraria",0
"M_006","Achillea.millefolium","Sphaerophoria.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Syritta.pipiens",0
"M_006","Achillea.millefolium","Syrphus.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Tetanocera.ferruginea",0
"M_006","Achillea.millefolium","Thymelicus.sp1.M.PL.006",0
"M_006","Achillea.millefolium","Tropidia.scitta",0
"M_006","Achillea.millefolium","Zygaena.filipendulae",0
"M_006","Centaurea.nigra","Adela.rufimatrella",0
"M_006","Centaurea.nigra","Andrena.haemorrhoa",0
"M_006","Centaurea.nigra","Andrena.pubescens",0
"M_006","Centaurea.nigra","Andrena.wilkella",0
"M_006","Centaurea.nigra","Anosymia.sp1.M.PL.006",0
"M_006","Centaurea.nigra","Anthomyidae.sp1.M.PL.006",0
"M_006","Centaurea.nigra","Autographa.sp1.M.PL.006",0
"M_006","Centaurea.nigra","Bombus.hortorum",0
"M_006","Centaurea.nigra","Bombus.lapidarius",0
"M_006","Centaurea.nigra","Bombus.pascuorum",0
"M_006","Centaurea.nigra","Bombus.pratorum",0
"M_006","Centaurea.nigra","Bombus.terrestris.lucorum",0
"M_006","Centaurea.nigra","Cheilosia.albitarsis",0
