"ID","plantas","especie","interaccion"
"M_029","Aciphylla.scott-thompsoni","Adoxia.cheesemani",0
"M_029","Aciphylla.scott-thompsoni","Adoxia.obscura",0
"M_029","Aciphylla.scott-thompsoni","Apis.mellifera",0
"M_029","Aciphylla.scott-thompsoni","Argirophenga.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Asaphodes.clarata",0
"M_029","Aciphylla.scott-thompsoni","Asilis.pilicomis",0
"M_029","Aciphylla.scott-thompsoni","Austrocidaria.similata",0
"M_029","Aciphylla.scott-thompsoni","Avibrissina.brevivalpis",0
"M_029","Aciphylla.scott-thompsoni","Avibrissina.isolata",0
"M_029","Aciphylla.scott-thompsoni","Bombus.terrestris",0
"M_029","Aciphylla.scott-thompsoni","Calcager.nudum",0
"M_029","Aciphylla.scott-thompsoni","Calliphora.icela",0
"M_029","Aciphylla.scott-thompsoni","Calliphora.quadrimaculata",0
"M_029","Aciphylla.scott-thompsoni","Calliphora.quadrimaculata.1",0
"M_029","Aciphylla.scott-thompsoni","Calliphora.stygia",0
"M_029","Aciphylla.scott-thompsoni","Cheilosia.captalis",0
"M_029","Aciphylla.scott-thompsoni","Cheilosia.fulvipes",0
"M_029","Aciphylla.scott-thompsoni","Cheilosia.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Chelaner.antarcticus",0
"M_029","Aciphylla.scott-thompsoni","Cyphon.sp1.M.PL.029",1
"M_029","Aciphylla.scott-thompsoni","Cyphon.sp2.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Dasytes.subcyaneus",0
"M_029","Aciphylla.scott-thompsoni","Dasyuris.anceps",0
"M_029","Aciphylla.scott-thompsoni","Declana.junctilinea",0
"M_029","Aciphylla.scott-thompsoni","Eristalis.tenax",0
"M_029","Aciphylla.scott-thompsoni","Erythronychia.aliena",0
"M_029","Aciphylla.scott-thompsoni","Eudonia.sabulosella",0
"M_029","Aciphylla.scott-thompsoni","Eulalia.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Gelechia.lithodes",0
"M_029","Aciphylla.scott-thompsoni","Gelophaula.aenea",0
"M_029","Aciphylla.scott-thompsoni","Gracilicera.setosa",0
"M_029","Aciphylla.scott-thompsoni","Graphania.omoplaca",0
"M_029","Aciphylla.scott-thompsoni","Helastia.cineraria",0
"M_029","Aciphylla.scott-thompsoni","Helophilus.hochstetteri",0
"M_029","Aciphylla.scott-thompsoni","Heteria.appendiculata",0
"M_029","Aciphylla.scott-thompsoni","Heteria.atripes",0
"M_029","Aciphylla.scott-thompsoni","Heteria.plebeia",0
"M_029","Aciphylla.scott-thompsoni","Homodotis.megaspilata",0
"M_029","Aciphylla.scott-thompsoni","Hoplocneme.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Hydriomena.deltoidata",0
"M_029","Aciphylla.scott-thompsoni","Hylaeus.relegatus",0
"M_029","Aciphylla.scott-thompsoni","Hylaeus.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Hymenoptera.sp4.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Lasioglossum.sordidum",0
"M_029","Aciphylla.scott-thompsoni","Lasioglossum.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Leioproctus.boltonii",0
"M_029","Aciphylla.scott-thompsoni","Leioproctus.fulvescens",0
"M_029","Aciphylla.scott-thompsoni","Leioproctus.imitatus",0
"M_029","Aciphylla.scott-thompsoni","Leioproctus.maritimus",0
"M_029","Aciphylla.scott-thompsoni","Leioproctus.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Leioproctus.sp2.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Leioproctus.sp3.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Leioproctus.sp4.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Leioproctus.sp5.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Lepidomyia.decessum",0
"M_029","Aciphylla.scott-thompsoni","Lepidoptera.sp6.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Lepidoptera.sp9.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Lycaena.boldenarium",0
"M_029","Aciphylla.scott-thompsoni","Lycaena.salustius",0
"M_029","Aciphylla.scott-thompsoni","Mallochomacquartia.setiventris",0
"M_029","Aciphylla.scott-thompsoni","Medinella.flavotemorata",0
"M_029","Aciphylla.scott-thompsoni","Melangyna.novaezelandiae",0
"M_029","Aciphylla.scott-thompsoni","Melangyna.ortas",0
"M_029","Aciphylla.scott-thompsoni","Melangyna.sp1.M.PL.029",1
"M_029","Aciphylla.scott-thompsoni","Mordella.detracta",0
"M_029","Aciphylla.scott-thompsoni","Musc..sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Neotachina.obtusa",0
"M_029","Aciphylla.scott-thompsoni","Neotachina.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Notoreas.anthracias",0
"M_029","Aciphylla.scott-thompsoni","Notoreas.cataphyrrha",0
"M_029","Aciphylla.scott-thompsoni","Notoreas.mechanitis",0
"M_029","Aciphylla.scott-thompsoni","Occisor.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Occisor.versutus",0
"M_029","Aciphylla.scott-thompsoni","Orocrambus.crenaeus",0
"M_029","Aciphylla.scott-thompsoni","Pales.tecta",0
"M_029","Aciphylla.scott-thompsoni","Pareromene.pyrsophanes",0
"M_029","Aciphylla.scott-thompsoni","Pasiphila.inductata",0
"M_029","Aciphylla.scott-thompsoni","Pasiphila.nereis",0
"M_029","Aciphylla.scott-thompsoni","Pasiphila.sandycias",0
"M_029","Aciphylla.scott-thompsoni","Pasiphila.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Peremptor.modica",0
"M_029","Aciphylla.scott-thompsoni","Peremptor.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Peristoreus.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Perrissina.brunniceps",0
"M_029","Aciphylla.scott-thompsoni","Plagiomyia.turbidum",0
"M_029","Aciphylla.scott-thompsoni","Proscissio.albiceps",0
"M_029","Aciphylla.scott-thompsoni","Proscissio.cana",0
"M_029","Aciphylla.scott-thompsoni","Proscissio.kumarensis",0
"M_029","Aciphylla.scott-thompsoni","Proscissio.lateralis",0
"M_029","Aciphylla.scott-thompsoni","Proscission.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Protohystirica.huttoni",0
"M_029","Aciphylla.scott-thompsoni","Protohystricia.huttoni",0
"M_029","Aciphylla.scott-thompsoni","Pseudofoenus.pedunculatus",0
"M_029","Aciphylla.scott-thompsoni","Rhopalomerus.sp1.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Rictonis.comma",0
"M_029","Aciphylla.scott-thompsoni","Rygmodus.cyaneus",1
"M_029","Aciphylla.scott-thompsoni","Scaptia.adrel",0
"M_029","Aciphylla.scott-thompsoni","Scaptia.brevipalpis",0
"M_029","Aciphylla.scott-thompsoni","Scoparia.minisculalis",0
"M_029","Aciphylla.scott-thompsoni","Scoparia.philerga",0
"M_029","Aciphylla.scott-thompsoni","Scoparia.rotuella",0
"M_029","Aciphylla.scott-thompsoni","Scoparia.submarginalis",0
"M_029","Aciphylla.scott-thompsoni","Sestra.flexata",0
"M_029","Aciphylla.scott-thompsoni","Unidentified.sp1.M.PL.029",1
"M_029","Aciphylla.scott-thompsoni","Unidentified.sp10.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Unidentified.sp2.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Unidentified.sp3.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Unidentified.sp5.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Unidentified.sp7.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Unidentified.sp8.M.PL.029",0
"M_029","Aciphylla.scott-thompsoni","Veluta.albicincta",0
