"ID","plantas","especie","interaccion"
"M_018","Achillea.millefolium","Adscita.statices",1
"M_018","Achillea.millefolium","Anaspis.flava",0
"M_018","Achillea.millefolium","Anaspis.frontalis",0
"M_018","Achillea.millefolium","Anaspis.rufilabris",0
"M_018","Achillea.millefolium","Aphantopus.hyperantus",0
"M_018","Achillea.millefolium","Apion.aeneum",0
"M_018","Achillea.millefolium","Apion.flavipes",0
"M_018","Achillea.millefolium","Apion.hookeri",0
"M_018","Achillea.millefolium","Apion.meliloti",0
"M_018","Achillea.millefolium","Apion.rufirostre",0
"M_018","Achillea.millefolium","Bombus.hortorum",0
"M_018","Achillea.millefolium","Bombus.lapidarius",0
"M_018","Achillea.millefolium","Bombus.lucorum",0
"M_018","Achillea.millefolium","Bombus.pascuorum",0
"M_018","Achillea.millefolium","Bombus.pratorum",0
"M_018","Achillea.millefolium","Bombus.ruderatus",0
"M_018","Achillea.millefolium","Bombus.soroeensis",0
"M_018","Achillea.millefolium","Bombus.terrestris",0
"M_018","Achillea.millefolium","Byturus.aestivus",0
"M_018","Achillea.millefolium","Ceuthorrhynchus.assimilis",0
"M_018","Achillea.millefolium","Ceuthorrhynchus.pollinarius",0
"M_018","Achillea.millefolium","Ceutorrhynchus.rugulosus",0
"M_018","Achillea.millefolium","Cheilosia.albitarsis",0
"M_018","Achillea.millefolium","Cheilosia.impressa",0
"M_018","Achillea.millefolium","Cheilosia.velutina",0
"M_018","Achillea.millefolium","Chrysogaster.cemiteriorum",0
"M_018","Achillea.millefolium","Chrysogaster.solstitialis",0
"M_018","Achillea.millefolium","Chrysomela.fastuosa",0
"M_018","Achillea.millefolium","Clytus.arietis",0
"M_018","Achillea.millefolium","Coccinella.septempunctata",1
"M_018","Achillea.millefolium","Corticarina.gibbosa",0
"M_018","Achillea.millefolium","Crambus.pratella",0
"M_018","Achillea.millefolium","Dasytes.plumbeus",0
"M_018","Achillea.millefolium","Enicmus.transversus",0
"M_018","Achillea.millefolium","Eoseristalis.abusivus",1
"M_018","Achillea.millefolium","Eoseristalis.arbustorum",0
"M_018","Achillea.millefolium","Eoseristalis.horticola",0
"M_018","Achillea.millefolium","Episyrphus.balteatus",0
"M_018","Achillea.millefolium","Epuraea.depressa.Illiger",0
"M_018","Achillea.millefolium","Eristalinus.sepulchralis",0
"M_018","Achillea.millefolium","Eumerus.tuberculatus",0
"M_018","Achillea.millefolium","Grammoptera.ruficornis",0
"M_018","Achillea.millefolium","Leptura.rubra",1
"M_018","Achillea.millefolium","Malachius.viridis",0
"M_018","Achillea.millefolium","Maniola.jurtina",0
"M_018","Achillea.millefolium","Melanostoma.scalare",0
"M_018","Achillea.millefolium","Meligethes.sp1.M.PL.018",1
"M_018","Achillea.millefolium","Meliscaeva.cinctella",0
"M_018","Achillea.millefolium","Mesapamea.secalis",0
"M_018","Achillea.millefolium","Miarus.campanulae",0
"M_018","Achillea.millefolium","Miccotrogus.picirostris",0
"M_018","Achillea.millefolium","Nemophora.degeerella",0
"M_018","Achillea.millefolium","Neocnemodon.sp1.M.PL.018",0
"M_018","Achillea.millefolium","Olibrus.aeneus",0
"M_018","Achillea.millefolium","Oulema.melanopus",0
"M_018","Achillea.millefolium","Parasyrphus.malinellus",0
"M_018","Achillea.millefolium","Pieris.napi",0
"M_018","Achillea.millefolium","Polyommatus.icarus",1
"M_018","Achillea.millefolium","Psithyrus.bohemicus",0
"M_018","Achillea.millefolium","Psithyrus.campestris",0
"M_018","Achillea.millefolium","Psithyrus.rupestris",0
"M_018","Achillea.millefolium","Rhingia.campestris",0
"M_018","Achillea.millefolium","Rhynchites.germanicus",0
"M_018","Achillea.millefolium","Scaeva.pyrastri",0
"M_018","Achillea.millefolium","Sitona.lineatus",0
"M_018","Achillea.millefolium","Sphaerophoria.menthastri",1
"M_018","Achillea.millefolium","Sphaerophoria.scripta",0
"M_018","Achillea.millefolium","Sphaerophoria.taeniata",0
"M_018","Achillea.millefolium","Strangalia.maculata",0
"M_018","Achillea.millefolium","Strophosomus.capitatus",0
"M_018","Achillea.millefolium","Syrphus.ribesii",0
"M_018","Achillea.millefolium","Syrphus.vitripennis",0
