"ID","plantas","especie","interaccion"
"M_023","Adesmia.retrofracta","Alipumilio.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Alloscirtetica.herbsti",0
"M_023","Adesmia.retrofracta","Ammophila.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Anthidium.rubriceps",0
"M_023","Adesmia.retrofracta","Apis.mellifera",0
"M_023","Adesmia.retrofracta","Arhysosage.bifasciata",0
"M_023","Adesmia.retrofracta","Augochloropsis.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Caenohalictus.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Caenohalictus.sp2.M.PL.023",0
"M_023","Adesmia.retrofracta","Callonychium.mandibulare",0
"M_023","Adesmia.retrofracta","Carposcalis.punctulata",0
"M_023","Adesmia.retrofracta","Carposcalis.saltana",0
"M_023","Adesmia.retrofracta","Centris.muralis",0
"M_023","Adesmia.retrofracta","Centris.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Chalepogenus.caeruleus",0
"M_023","Adesmia.retrofracta","Colletes.lycii",0
"M_023","Adesmia.retrofracta","Compsomyiops.fulvicrura",0
"M_023","Adesmia.retrofracta","Copestylum.aricia",0
"M_023","Adesmia.retrofracta","Copestylum.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Diadasia.patagonica",0
"M_023","Adesmia.retrofracta","Dialictus.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Dialictus.sp2.M.PL.023",0
"M_023","Adesmia.retrofracta","Entypus.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Epicauta.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Eriopis.conexa",0
"M_023","Adesmia.retrofracta","Eristalis.bogotensis",0
"M_023","Adesmia.retrofracta","Eristalis.tenax",0
"M_023","Adesmia.retrofracta","Hemiptera.sp27.M.PL.023",0
"M_023","Adesmia.retrofracta","Hemiptera.sp28.M.PL.023",0
"M_023","Adesmia.retrofracta","Hypodinerus.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Megachile.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Megachile.sp2.M.PL.023",1
"M_023","Adesmia.retrofracta","Microcerella.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Notiphila.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Ocyptamus.meridionalis",0
"M_023","Adesmia.retrofracta","Oxybelus.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Prionyx.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Psaenythia.rufipes",0
"M_023","Adesmia.retrofracta","Sappho.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Scaeva.occidentalis",0
"M_023","Adesmia.retrofracta","Svastrides.zebra",0
"M_023","Adesmia.retrofracta","Tatochila.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Thyridanthrax.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Thysanoptera.sp29.M.PL.023",0
"M_023","Adesmia.retrofracta","Toxomerus.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp1.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp10.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp11.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp12.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp13.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp14.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp15.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp16.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp17.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp18.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp19.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp2.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp20.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp21.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp22.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp23.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp24.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp25.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp26.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp3.M.PL.023",0
"M_023","Adesmia.retrofracta","Unidentified.sp4.M.PL.023",0
