"plantas","Allograpta.exotica","Allograpta.hortensis","Anthaxia.sp1.M.PL.051","Bombus.dahlbomii","Bombus.ruderatus","Caenohalictus.sp1.M.PL.051","Caenohalictus.sp2.M.PL.051","Camponotus.sp1.M.PL.051","Chalepogenus.caeruleus","Chilicola.sp1.M.PL.051","Chilicola.sp2.M.PL.051","Chilicola.sp3.M.PL.051","Coleoptera.sp23.M.PL.051","Coleoptera.sp24.M.PL.051","Coleoptera.sp33.M.PL.051","Coleoptera.sp34.M.PL.051","Coleoptera.sp35.M.PL.051","Coleoptera.sp36.M.PL.051","Coleoptera.sp8.M.PL.051","Colletes.seminitidus","Corynura.prothysteres","Corynura.sp1.M.PL.051","Diptera.sp19.M.PL.051","Diptera.sp28.M.PL.051","Diptera.sp41.M.PL.051","Diptera.sp42.M.PL.051","Diptera.sp43.M.PL.051","Diptera.sp44.M.PL.051","Evylaeus.sp1.M.PL.051","Heteroptera.sp45.M.PL.051","Heterosarus.sp1.M.PL.051","Hymenoptera.sp51.M.PL.051","Hymenoptera.sp52.M.PL.051","Lepidoptera.sp5.M.PL.051","Manuelia.gayi","Manuelia.postica","Megachile.sp1.M.PL.051","Megachile.sp2.M.PL.051","Ocyptamus.melanorrhinus","Phthiria.sp1.M.PL.051","Phthiria.sp2.M.PL.051","Platycheirus.sp1.M.PL.051","Platycherius.fenestratus","Policana.albopilosa","Ruizantheda.mutabilis","Ruizantheda.nigrocaerulea","Ruizantheda.proxima","Sapromyza.fulvicornis","Scaeva.melanostoma","Sephanoides.galeritus","Svastrides.melanura","Syrphus.octomaculatus","Trichophthalma.amoena","Trichophthalma.jaffueli","Unidentified.sp1.M.PL.051","Unidentified.sp10.M.PL.051","Unidentified.sp11.M.PL.051","Unidentified.sp12.M.PL.051","Unidentified.sp13.M.PL.051","Unidentified.sp14.M.PL.051","Unidentified.sp15.M.PL.051","Unidentified.sp16.M.PL.051","Unidentified.sp17.M.PL.051","Unidentified.sp18.M.PL.051","Unidentified.sp2.M.PL.051","Unidentified.sp20.M.PL.051","Unidentified.sp21.M.PL.051","Unidentified.sp22.M.PL.051","Unidentified.sp25.M.PL.051","Unidentified.sp26.M.PL.051","Unidentified.sp27.M.PL.051","Unidentified.sp29.M.PL.051","Unidentified.sp3.M.PL.051","Unidentified.sp30.M.PL.051","Unidentified.sp31.M.PL.051","Unidentified.sp32.M.PL.051","Unidentified.sp37.M.PL.051","Unidentified.sp38.M.PL.051","Unidentified.sp39.M.PL.051","Unidentified.sp4.M.PL.051","Unidentified.sp40.M.PL.051","Unidentified.sp46.M.PL.051","Unidentified.sp47.M.PL.051","Unidentified.sp48.M.PL.051","Unidentified.sp49.M.PL.051","Unidentified.sp50.M.PL.051","Unidentified.sp6.M.PL.051","Unidentified.sp7.M.PL.051","Unidentified.sp9.M.PL.051","Vespula.germanica"
"Alstroemeria.aurea",0,7,40,583,173,0,0,0,0,7,2,1,0,2,0,0,1,1,0,0,3,0,0,0,0,1,1,1,6,1,22,1,1,0,101,11,17,6,8,39,11,2,0,0,17,5,4,11,0,1,8,28,0,69,0,6,5,5,0,4,0,3,0,0,2,0,0,1,0,1,2,2,11,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,8
"Aristotelia.chilensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1069,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Berberis.buxifolia",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis.darwinii",0,9,0,265,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,5,108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calceolaria.crenatiflora",0,2,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cynanchum.diemii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15,12,0,0
"Digitalis.purpurea",0,0,0,66,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gavilea.odoratissima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mutisia.decurrens",0,0,13,19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,6,0,0,0,2,5,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ribes.magellanicum",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,3,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa.eglanteria",1,33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,3,0,10,3,0,11,0,0,0,34,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,1,2,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"Schinus.patagonicus",0,43,0,16,0,0,0,27,0,0,0,0,1,0,1,1,0,0,9,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,16,0,690,240,0,0,0,3,0,0,49,3,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,15,1,1,0,0,0,1,0,0,10,0
"Tristerix.corymbosus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vicia.nigricans",0,0,0,469,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
