EM_ID,UCMC,Date,Year,Month,Ordinal day,Site,Plot,Plant,Plant species name,Plant common name,Plant family,Insect Order,Insect family,Insect species name,Insect notes,Notes,PA
EM01679,,7/31/17,2017,7,212,Elk M.,5,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,worker,,1
EM01661,,7/31/17,2017,7,212,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,worker,,1
EM01927,,7/20/18,2018,7,201,Elk M.,4,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,,,1
EM01928,,7/20/18,2018,7,201,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,,,1
EM01975,,8/4/18,2018,8,216,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,male,,1
EM01973,,8/4/18,2018,8,216,Elk M.,2,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,worker,,1
EM01993,,8/10/18,2018,8,222,Elk M.,2,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,worker,,1
EM02162,,8/6/19,2019,8,218,Elk M.,4,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,male,,1
EM02231,,7/26/20,2020,7,208,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,female,,1
EM02228,,7/26/20,2020,7,208,Elk M.,5,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,male,,1
EM02240,,8/1/20,2020,8,214,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,female,,1
,,8/1/20,2020,8,214,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,same as EM02240,,1
,,8/16/20,2020,8,229,Elk M.,2,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus appositus,,,1
EM02473,,7/22/21,2021,7,203,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,female,,1
EM02475,,7/22/21,2021,7,203,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,female,,1
EM02498,,7/28/21,2021,7,209,Elk M.,4,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,female,,1
EM02529,,8/4/21,2021,8,216,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,female,,1
EM02527,,8/4/21,2021,8,216,Elk M.,4,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,male,,1
EM02562,,8/12/21,2021,8,224,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus appositus,female,,1
EM02555,,8/12/21,2021,8,224,Elk M.,4,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,queen,,1
EM02597,,8/28/21,2021,8,240,Elk M.,1,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,female,,1
,,8/6/22,2022,8,218,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Megachilidae,Megachile melanophaea,,,1
,,8/6/22,2022,8,218,Elk M.,4,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,,,1
,,8/6/22,2022,8,218,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus mixtus,,,1
,,9/18/22,2022,9,261,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,m,,1
EM02794,,7/29/22,2022,7,210,Elk M.,6,CIRCEN,Cirsium centaureae,Fringed Thistle,Asteraceae,Hymenoptera,Apidae,Bombus,,,1
EM01754,,9/6/17,2017,9,249,Elk M.,5,TAROFF,Taraxacum officinale,Common dandelion,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
EM01755a,,9/6/17,2017,9,249,Elk M.,5,TAROFF,Taraxacum officinale,Common dandelion,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,Lasioglossum (Dialictus) mixed spp.; male,,1
EM00145,UCMC 0233895,6/18/15,2015,6,169,Elk M.,1,FRAVIR,Fragaria virginiana,Wild Strawberry,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) hudsoniellum,female,,1
EM01309,,6/10/16,2016,6,162,Elk M.,6,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sp.,Lasioglossum (Dialictus) mixed spp.; female,,1
EM01305,,6/10/16,2016,6,162,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sisymbrii ,male,,1
EM01311c,,6/10/16,2016,6,162,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Megachilidae,Osmia bucephala,,,1
EM01825,,6/12/18,2018,6,163,Elk M.,4,POTFIS,Potentilla fissa,Big Flower Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) hudsoniellum,male,,1
EM02118,,7/2/19,2019,7,183,Elk M.,6,POTFIS,Potentilla fissa,Big Flower Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) hudsoniellum,"female, det JR",,1
EM01403,,7/21/16,2016,7,203,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Hylaeus annulatus,male,,1
EM01502,,5/30/17,2017,5,150,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) lazulis,female,,1
EM01793,,5/31/18,2018,5,151,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) lazulis,female,,1
EM01792,,5/31/18,2018,5,151,Elk M.,6,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) lazulis,female,,1
EM01816,,6/12/18,2018,6,163,Elk M.,2,POTFIS,Potentilla fissa,Big Flower Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) lazulis,female,,1
EM01507,,5/30/17,2017,5,150,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sp.,Lasioglossum (Dialictus) mixed spp.; female,,1
,,5/30/17,2017,5,150,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sp.,,same as EM01502,1
,,5/30/17,2017,5,150,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sp.,,same as EM01502,1
EM01529,,6/5/17,2017,6,156,Elk M.,1,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Andrena angustitarsata,female,,1
EM01534,,6/5/17,2017,6,156,Elk M.,6,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Andrena angustitarsata,female,,1
EM01233,UCMC 0234983,9/24/15,2015,9,267,Elk M.,5,SYMPOR,Symphyotrichum porteri,Smooth White Aster,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) lazulis,male,,1
EM01756,,9/6/17,2017,9,249,Elk M.,5,SYMPOR,Symphyotrichum porteri,Smooth White Aster,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) lazulis,male,,1
,,6/5/17,2017,6,156,Elk M.,6,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sp.,,same as EM02031,1
EM01224,UCMC 0234974,9/17/15,2015,9,260,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) mixed spp.,male,,1
EM01519,,6/12/17,2017,6,163,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Andrena angustitarsata,female,,1
EM00143,UCMC 0233893,6/18/15,2015,6,169,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) mixed spp.,female,,1
EM00169,UCMC 0233919,7/2/15,2015,7,183,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) mixed spp.,female,,1
EM01522,,6/12/17,2017,6,163,Elk M.,6,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Andrena salicifloris,female,,1
,,6/12/17,2017,6,163,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sp.,,same as EM01514,1
,,6/12/17,2017,6,163,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sp.,,same as EM01514,1
EM01204,UCMC 0234954,9/10/15,2015,9,253,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) mixed spp.,male,,1
EM01223,UCMC 0234973,9/17/15,2015,9,260,Elk M.,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) mixed spp.,female,,1
EM01545,,6/20/17,2017,6,171,Elk M.,2,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum inconditum,Hemihalictus group; female,,1
EM01559,,6/20/17,2017,6,171,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sp.,Lasioglossum (Dialictus) mixed spp.; female,,1
,,6/20/17,2017,6,171,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sp.,,same as EM01555,1
EM01234,UCMC 0234984,9/24/15,2015,9,267,Elk M.,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) mixed spp.,male,,1
EM02035,,6/26/17,2017,6,177,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sp.,,,1
EM00591,UCMC 0234341,7/23/15,2015,7,204,Elk M.,5,ERYCAP,Erysimum capitatum,Western Wallflower,Brassicaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) mixed spp.,female,,1
EM00463,UCMC 0234213,7/16/15,2015,7,197,Elk M.,5,POTFIS,Potentilla fissa,Big Flower Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) mixed spp.,female,,1
EM00760,UCMC 0234510,7/23/15,2015,7,204,Elk M.,5,SEDLAN,Sedum lanceolatum,Yellow Stonecrop,Crassulaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) mixed spp.,female,,1
EM02044,,7/3/17,2017,7,184,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Hylaeus personatellus,female,,1
EM01603,,7/11/17,2017,7,192,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Hylaeus personatellus,female,,1
EM01609,,7/11/17,2017,7,192,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Colletes nigrifrons,male,,1
EM01232,UCMC 0234982,9/24/15,2015,9,267,Elk M.,5,SYMPOR,Symphyotrichum porteri,Smooth White Aster,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) mixed spp.,male,,1
EM01518,,6/12/17,2017,6,163,Elk M.,3,TAROFF,Taraxacum officinale,Common dandelion,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) pacatum,female,,1
EM01815,,6/12/18,2018,6,163,Elk M.,5,TAROFF,Taraxacum officinale,Common dandelion,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) perpunctatum,female,,1
,,6/5/18,2018,6,156,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Megachilidae,Osmia spp.,male,same as EM01779,1
EM01801,,6/5/18,2018,6,156,Elk M.,2,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Megachilidae,Osmia spp.,,check if fits prev. morphospecies,1
EM02078,,6/19/19,2019,6,170,Elk M.,6,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) pruinosum,female; det. JR,,1
EM01829,,6/12/18,2018,6,163,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Andrena salicifloris,female,,1
EM01817,,6/12/18,2018,6,163,Elk M.,1,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Colletes sp.,med bee,check with other Colletes morpho sp,1
EM01811,,6/12/18,2018,6,163,Elk M.,1,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Apidae,Bombus rufocinctus,,,1
EM01455,,8/19/16,2016,8,232,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) pruinosum,female,,1
EM01853,,6/29/18,2018,6,180,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Megachilidae,Megachile relativa,female,,1
EM01854,,6/29/18,2018,6,180,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Apidae,Bombus bifarius,worker,,1
EM02068,,6/11/19,2019,6,162,Elk M.,4,TAROFF,Taraxacum officinale,Common dandelion,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) pruinosum,female; det JR,,1
EM01465,,8/26/16,2016,8,239,Elk M.,5,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM02164,,8/6/19,2019,8,218,Elk M.,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,det. JR,,1
EM01852,,6/29/18,2018,6,180,Elk M.,5,CASMIN,Castilleja miniata,Giant Red Indian Paintbrush,Orobanchaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM02153,,8/6/19,2019,8,218,Elk M.,5,CASMIN,Castilleja miniata,Giant Red Indian Paintbrush,Orobanchaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,det. JR,,1
EM01322,,6/18/16,2016,6,170,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM01508,,5/30/17,2017,5,150,Elk M.,6,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM01555,,6/20/17,2017,6,171,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM02039,,7/3/17,2017,7,184,Elk M.,1,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM02041,,7/3/17,2017,7,184,Elk M.,2,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM02122,,7/2/19,2019,7,183,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum sisymbrii ,med bee,,1
EM02043,,7/3/17,2017,7,184,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM02103,,7/13/19,2019,7,194,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Hylaeus personatellus,female,,1
EM02116,,7/23/19,2019,7,204,Elk M.,2,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Panurginus cressoniellus,female,,1
EM02168,,8/6/19,2019,8,218,Elk M.,6,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Hylaeus personatellus,female,,1
EM01841,,6/22/18,2018,6,173,Elk M.,2,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM02307,,6/13/20,2020,6,165,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Sphecodes sp.,female; red butt bee,,1
EM02299,,6/13/20,2020,6,165,Elk M.,1,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Andrena salicifloris,female,,1
EM02202,,6/27/20,2020,6,179,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Colletes nigrifrons,,,1
EM02210,,7/5/20,2020,7,187,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Colletes nigrifrons,female; OSMIA BOX,,1
EM02211,,7/5/20,2020,7,187,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Panurginus ineptus,female,,1
EM02339,,6/15/21,2021,6,166,Elk M.,2,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Megachilidae,Osmia spp.,osmia,,1
EM02351,,6/15/21,2021,6,166,Elk M.,1,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Andrena cyanophila,female,,1
EM02359,,6/23/21,2021,6,174,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Apidae,Nomada spp.,male,,1
EM02381,,6/30/21,2021,6,181,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Colletes sp.,med bee,,1
EM02383,,6/30/21,2021,6,181,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Panurginus ineptus,female,,1
EM02385,,6/30/21,2021,6,181,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Andrena cyanophila,female,,1
EM02411,,7/7/21,2021,7,188,Elk M.,6,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Colletes nigrifrons,OSMIA BOX,,1
EM02410,,7/7/21,2021,7,188,Elk M.,1,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Andrena salicifloris,female,,1
EM02404,,7/7/21,2021,7,188,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Hylaeus personatellus,,,1
EM02439,,7/14/21,2021,7,195,Elk M.,3,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Colletes spp.,male,,1
EM02449,,7/14/21,2021,7,195,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Panurginus ineptus,female,,1
EM02454,,7/14/21,2021,7,195,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Andrenidae,Panurginus ineptus,female,,1
EM02480,,7/22/21,2021,7,203,Elk M.,2,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Colletes nigrifrons,,,1
EM02505,,7/28/21,2021,7,209,Elk M.,2,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Colletidae,Hylaeus annulatus,,,1
,,6/27/22,2022,6,178,Elk M.,2,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Apidae,Bombus bifarius,,,1
,,6/27/22,2022,6,178,Elk M.,2,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Apidae,Bombus bifarius,,,1
EM01183,UCMC 0234933,9/3/15,2015,9,246,Elk M.,1,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Halictidae,Agapostemon angelicus/texanus,male angelicus,,1
EM02074,,6/19/19,2019,6,170,Elk M.,4,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,det. JR,,1
EM02079,,6/19/19,2019,6,170,Elk M.,6,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,det. JR,,1
EM01499,,9/26/16,2016,9,270,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Halictidae,Lasioglossum sp.,Lasioglossum (Dialictus) mixed spp.; male,,1
EM01733,,8/30/17,2017,8,242,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus mixtus,male,,1
EM01981,,8/4/18,2018,8,216,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Halictidae,Lasioglossum heterorhinum,male,,1
EM01980,,8/4/18,2018,8,216,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,worker,,1
EM01986,,8/10/18,2018,8,222,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus rufocinctus,,,1
EM01988,,8/10/18,2018,8,222,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus rufocinctus,,,1
EM02250,,8/8/20,2020,8,221,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,female,,1
EM02546,,8/12/21,2021,8,224,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,female,,1
EM02569,,8/19/21,2021,8,231,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,female,,1
EM02574,,8/19/21,2021,8,231,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,female,,1
EM02583,,8/19/21,2021,8,231,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,female,,1
EM02571,,8/19/21,2021,8,231,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus flavifrons,male,,1
EM02595,,8/28/21,2021,8,240,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus mixtus,female,,1
EM02610,,9/4/21,2021,9,247,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,female,,1
,,9/13/22,2022,9,256,Elk M.,5,DIEBIG,Dieteria bigelovii,Bigelow's Tansy-aster,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,f,,1
EM01321,,6/18/16,2016,6,170,Elk M.,2,DODPUL,Dodecatheon pulchellum,Darkthroat Shooting Star,Primulaceae,Hymenoptera,Apidae,Bombus flavifrons,,,1
EM02115,,7/9/19,2019,7,190,Elk M.,5,CYMLEM,Cymopterus lemmonii,Mountain Parsley,Apiaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,det. JR,,1
,,6/13/22,2022,6,164,Elk M.,4,DODPUL,Dodecatheon pulchellum,Darkthroat Shooting Star,Primulaceae,Hymenoptera,Apidae,Bombus bifarius,,,1
,,6/27/22,2022,6,178,Elk M.,2,DODPUL,Dodecatheon pulchellum,Darkthroat Shooting Star,Primulaceae,Hymenoptera,Apidae,Bombus bifarius,,,1
EM01495,,9/15/16,2016,9,259,Elk M.,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,male,,1
EM01774,,9/20/17,2017,9,263,Elk M.,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM01312,,6/10/16,2016,6,162,Elk M.,1,FRAVIR,Fragaria virginiana,Wild Strawberry,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM01505,,5/30/17,2017,5,150,Elk M.,5,FRAVIR,Fragaria virginiana,Wild Strawberry,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM02012,,8/24/18,2018,8,236,Elk M.,1,HYPRAD,Hypochaeris radicata,Spotted Cat's Ear,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) ruidosense,female,,1
EM01955,,7/25/18,2018,7,206,Elk M.,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Hymenoptera,Apidae,Bombus mixtus,,,1
EM02010,,8/24/18,2018,8,236,Elk M.,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,worker,,1
