EM_ID,UCMC,Date,Year,Month,Ordinal day,Site,Plot,Plant,Plant species name,Plant common name,Plant family,Insect Order,Insect family,Insect species name,Insect notes,Notes,PA
EM01332,,6/24/16,2016,6,176,Elk M.,1,ANTROS,Antennaria rosea,Pink Pussytoes,Asteraceae,Hymenoptera,Andrenidae,Panurginus ineptus,female,,1
EM02036,,6/26/17,2017,6,177,Elk M.,5,POTFIS,Potentilla fissa,Big Flower Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
EM01187,UCMC 0234937,9/3/15,2015,9,246,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Agapostemon angelicus/texanus,male angelicus,,1
EM02048,,7/3/17,2017,7,184,Elk M.,6,POTFIS,Potentilla fissa,Big Flower Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
EM01368,,7/8/16,2016,7,190,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus flavifrons,,,1
EM01380,,7/15/16,2016,7,197,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01382,,7/15/16,2016,7,197,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01388,,7/15/16,2016,7,197,Elk M.,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01391,,7/15/16,2016,7,197,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,male,,1
EM01390,,7/15/16,2016,7,197,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile frigida,,,1
EM01387,,7/15/16,2016,7,197,Elk M.,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus rufocinctus,,,1
EM01407,,7/21/16,2016,7,203,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01430,,7/29/16,2016,7,211,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,male,,1
EM01425,,7/29/16,2016,7,211,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Agapostemon angelicus/texanus,male angelicus,,1
EM01427,,7/29/16,2016,7,211,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus rufocinctus,,,1
EM01436,,8/5/16,2016,8,218,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Agapostemon angelicus/texanus,male angelicus,,1
EM01437,,8/5/16,2016,8,218,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Agapostemon angelicus/texanus,male angelicus,,1
EM01440,,8/5/16,2016,8,218,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Agapostemon angelicus/texanus,male angelicus,,1
EM01443,,8/11/16,2016,8,224,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Agapostemon angelicus/texanus,male angelicus,,1
EM01442,,8/11/16,2016,8,224,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus flavifrons,,,1
EM01463b,,8/26/16,2016,8,239,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus sylvicola,,,1
EM01839,,6/22/18,2018,6,173,Elk M.,1,POTFIS,Potentilla fissa,Big Flower Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
,,9/9/16,2016,9,253,Elk M.,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Lasioglossum sp.,Lasioglossum (Dialictus) mixed spp.\,,1
EM01836,,6/22/18,2018,6,173,Elk M.,6,POTFIS,Potentilla fissa,Big Flower Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
EM02038,,7/3/17,2017,7,184,Elk M.,1,POTPUL,Potentilla pulcherrima,Beautiful Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
EM01497,,9/15/16,2016,9,259,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Dufourea maura,male,,1
EM01592,,7/3/17,2017,7,184,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01881,,7/6/18,2018,7,187,Elk M.,3,POTPUL,Potentilla pulcherrima,Beautiful Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
EM01626,,7/17/17,2017,7,198,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01635,,7/17/17,2017,7,198,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Dufourea maura,male,,1
EM01623,,7/17/17,2017,7,198,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,male,,1
EM01641,,7/25/17,2017,7,206,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01671,,7/31/17,2017,7,212,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus mixtus,worker,,1
EM01923,,7/11/18,2018,7,192,Elk M.,2,POTPUL,Potentilla pulcherrima,Beautiful Cinquefoil,Rosaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
EM01700,,8/14/17,2017,8,226,Elk M.,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus mixtus,worker,,1
EM01734,,8/30/17,2017,8,242,Elk M.,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Lasioglossum sp.,Lasioglossum (Dialictus) mixed spp.; male,,1
EM01768,,9/13/17,2017,9,256,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Lasioglossum sp.,Lasioglossum (Dialictus) mixed spp.; male,,1
