Order,Family,Genus,Species,Genus_and_species,Nest,Nest_with_active_construction,Nest_with_active_construction_and_material,Nesting_behavior,Nesting_behavior,Nesting_behavior,Nesting_material,Nesting_material,Nesting_material,Nesting_specific_material,Larval_location,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Number_of_larval_microhabitats,Host,Larval_nutrition,Inundation_tolerance_of_larvae,Duration_of_larval_development,Duration_of_larval_development,Duration_of_larval_development,Duration_of_larval_development,Larval_specific_microhabitat,Larval_diet_breadth,Plant_taxa,Body_length_(categories),Body_hair_(categories),Body_structure,"Body_length_(mm,_raw_data)",ITD_(inter-tegular_distance),ITD_(inter-tegular_distance),ITD_(inter-tegular_distance),ITD_(inter-tegular_distance),ITD_(inter-tegular_distance),ITD_(inter-tegular_distance),Tongue_length,Tongue_length,Tongue_length,Tongue_length,Tongue_length,Tongue_length,Hair_length,Hair_length,Hair_length,Hair_length,Hair_length,Hair_length,Hair_density,Hair_density,Hair_density,Hair_density,Hair_density,Hair_density,Hairiness_index,Hairiness_index,Hairiness_index,Hairiness_index,Hairiness_index,Hairiness_index,Sociality,Number_of_generations,Number_of_generations,Number_of_generations,Number_of_generations,Buzz_pollinator,Flight_behaviour,Flight_height,Tolerance_to_human_influence,Flight_period_(season),Flight_period_(season),Flight_period_(season),Flight_period_(season),Flight_period_(season),Flight_period_(season),Flight_period_(months),Spatial_distribution_in_Europe,Adult_macrohabitat,Adult_macrohabitat,Adult_macrohabitat,Adult_macrohabitat,Adult_macrohabitat,Adult_macrohabitat,Adult_macrohabitat,AOO_(Area_of_occupancy),EOO_(Extent_of_occurrence),STI_(Species_temperature_index),SCI_(Species_continentality_index),Validator,References
Diptera,Syrphidae,Blera,nitens,Blera nitens,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above/under_ground,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,3,no,saproxylic,yes_(with_long_breathing_tube),no,no,yes,no,NA,NA,NA,medium_or_large,not_long,medium_elongated,11–13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,medium,no,no,no,yes,no,no,"july,_august",north,no,no,yes,no,no,no,no,NA,NA,NA,NA,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Brachyopa,atlantea,Brachyopa atlantea,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,no,saproxylic,yes_(with_breathing_tube_of_medium_length),no,no,yes,no,NA,NA,NA,small_or_medium,not_long,medium_elongated,6–8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,medium,yes,yes,no,no,no,no,"march,_april",south,no,yes,no,no,no,no,no,NA,NA,16.75833321,5.821544189,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Brachyopa,bicolor,Brachyopa bicolor,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,no,saproxylic,yes_(with_breathing_tube_of_medium_length),no,no,yes,yes,NA,NA,NA,small_or_medium,not_long,medium_elongated,6–9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,medium,no,yes,yes,no,no,no,"april,_may,_june,_july",widely,yes,yes,no,no,no,no,no,4286362,8682399,9.143453129,6.445032186,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Brachyopa,bimaculosa,Brachyopa bimaculosa,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,no,saproxylic,yes_(with_breathing_tube_of_medium_length),no,no,yes,no,NA,NA,NA,small_or_medium,not_long,medium_elongated,6–8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,medium,yes,yes,no,no,no,no,"march,_april,_may",central,yes,no,no,no,no,no,no,48-128,NA,10.33452912,6.501790728,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Brachyopa,cinerea,Brachyopa cinerea,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,no,saproxylic,yes_(with_breathing_tube_of_medium_length),no,no,yes,no,NA,NA,NA,small_or_medium,not_long,medium_elongated,6–8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,medium,no,yes,yes,no,no,no,"may,_june,_july",north,yes,no,yes,no,no,no,no,80-1560,2363309,1.429668393,8.467504729,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Brachyopa,dorsata,Brachyopa dorsata,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,no,saproxylic,yes_(with_breathing_tube_of_medium_length),no,no,yes,no,NA,NA,NA,small_or_medium,not_long,medium_elongated,6–9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,medium,no,yes,yes,no,no,no,"april,_may,_june",widely,yes,no,yes,no,no,no,no,3552936,6648061,5.693083864,7.365875786,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Brachyopa,grunewaldensis,Brachyopa grunewaldensis,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,2,no,saproxylic,yes_(with_breathing_tube_of_medium_length),no,no,yes,no,NA,NA,NA,medium,not_long,medium_elongated,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,low,yes,yes,yes,no,no,no,"march,_april,_may,_june",south,yes,yes,no,no,no,no,no,140-420,3142082,10.25725432,6.391887464,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Brachyopa,insensilis,Brachyopa insensilis,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,no,saproxylic,yes_(with_breathing_tube_of_medium_length),no,no,yes,yes,NA,NA,NA,small_or_medium,not_long,medium_elongated,6–9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,medium,no,yes,yes,no,no,no,"may,_june",widely,yes,no,yes,no,no,no,no,NA,NA,9.416475235,6.342210717,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Brachyopa,maculipennis,Brachyopa maculipennis,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,no,saproxylic,yes_(with_breathing_tube_of_medium_length),no,no,yes,no,NA,NA,NA,medium,not_long,medium_elongated,7–10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,low,no,yes,yes,no,no,no,"april,_may,_june",widely,yes,no,no,no,no,no,no,192-384,NA,9.025504142,7.646434924,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Brachyopa,minima,Brachyopa minima,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,no,saproxylic,yes_(with_breathing_tube_of_medium_length),no,no,yes,no,NA,NA,NA,small,not_long,medium_elongated,6–7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,low,no,yes,no,no,no,no,"april,_may",south,no,yes,no,no,no,no,no,45508,4-1270,15.74172171,6.65337386,Ante Vujic & Marija Milicic,NA
