Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Allograpta nasuta","Animals","Pollinator",4,7,17
"Apis mellifera","Animals","Pollinator",5,38,123
"Brachymyrmex sp1 M_PL_073","Animals","Pollinator",1,1,1
"Chaetocnema sp1 M_PL_073","Animals","Pollinator",6,82,1
"Cheloninae sp1 M_PL_073","Animals","Pollinator",1,2,1
"Chrysomya megacephala ","Animals","Pollinator",5,7,25
"Cixiidae sp1 M_PL_073","Animals","Pollinator",1,1,1
"Cotesia sp1 M_PL_073","Animals","Pollinator",1,3,1
"Dysauxes florida","Animals","Pollinator",3,15,15
"Episyrphus sp1 M_PL_073","Animals","Pollinator",4,9,1
"Fannia pusio ","Animals","Pollinator",3,40,15
"Gelechioidea sp1 M_PL_073","Animals","Pollinator",3,9,1
"Henotesia narcissus","Animals","Pollinator",1,2,8
"Hydrotaea fuliginosa","Animals","Pollinator",1,2,1
"Lecithoceridae sp1 M_PL_073","Animals","Pollinator",1,1,1
"Lygistorrhina sp1 M_PL_073","Animals","Pollinator",1,2,1
"Mauritiborium undulatus ","Animals","Pollinator",3,8,9
"Melanagromyza sojae ","Animals","Pollinator",1,1,4
"Melanostoma annulipes","Animals","Pollinator",8,26,17
"Melanostoma bituberculatum ","Animals","Pollinator",1,2,10
"Musca domestica","Animals","Pollinator",4,17,26
"Nacoleia sp1 M_PL_073","Animals","Pollinator",4,7,1
"Nacoleia sp2 M_PL_073","Animals","Pollinator",2,14,1
"Orthellia albigena ","Animals","Pollinator",1,3,12
"Pachycerina crinicornis ","Animals","Pollinator",4,10,20
"Panara naso","Animals","Pollinator",2,2,14
"Polistes hebraeus","Animals","Pollinator",1,1,18
"Psyllidae sp1 M_PL_073","Animals","Pollinator",1,1,1
"Sapromyza sp1 M_PL_073","Animals","Pollinator",2,2,1
"Scirtidae sp1 M_PL_073","Animals","Pollinator",1,1,1
"Scopariinae sp1 M_PL_073","Animals","Pollinator",2,2,1
"Stomorhina lunata","Animals","Pollinator",8,37,24
"Stomoxys calcitrans","Animals","Pollinator",5,16,15
"Stomoxys niger","Animals","Pollinator",4,7,9
"Technomyrmex albipes ","Animals","Pollinator",2,8,25
"Thelairodrino sp1 M_PL_073","Animals","Pollinator",1,1,1
"Zosterops mauritianus","Animals","Pollinator",1,2,11
"Antirhea borbonica","Plants","Plant",2,15,10
"Aphloia theiformis","Plants","Plant",13,40,22
"Croton fothergillifolius","Plants","Plant",15,50,11
"Dodonaea viscosa","Plants","Plant",5,7,6
"Doratoxylon apetalum","Plants","Plant",2,8,2
"Erythroxylum macrocarpum","Plants","Plant",13,37,11
"Homalanthus populifolius","Plants","Plant",10,78,7
"Psiadia terebinthina","Plants","Plant",11,30,17
"Sideroxylon cinereum","Plants","Plant",16,79,6
"Toddalia asiatica","Plants","Plant",11,41,7
"Trochetia blackburniana","Plants","Plant",1,4,3
