Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Apis mellifera","Animals","Pollinator",6,27,123
"Chrysomya megacephala ","Animals","Pollinator",4,13,25
"Episyrphus sp1 M_PL_071","Animals","Pollinator",1,3,1
"Eristalinus flaveolus","Animals","Pollinator",4,7,17
"Graphomya maculata","Animals","Pollinator",1,3,7
"Lecithoceridae sp1 M_PL_071","Animals","Pollinator",1,1,1
"Lygistorrhina sp1 M_PL_071","Animals","Pollinator",1,2,1
"Musca domestica","Animals","Pollinator",5,17,26
"Nacoleia sp1 M_PL_071","Animals","Pollinator",1,1,1
"Ophyra capensis ","Animals","Pollinator",4,8,7
"Ornidia obesa","Animals","Pollinator",3,7,47
"Pachycerina crinicornis ","Animals","Pollinator",1,1,20
"Paleorhiza sp1 M_PL_071","Animals","Pollinator",1,1,1
"Paragus borbonicus","Animals","Pollinator",4,8,15
"Phelsuma cepediana","Animals","Pollinator",2,7,10
"Phorinia sp1 M_PL_071","Animals","Pollinator",2,6,1
"Polistes hebraeus","Animals","Pollinator",2,7,18
"Scolia carniflex","Animals","Pollinator",1,1,2
"Sepsis lateralis ","Animals","Pollinator",1,4,4
"Simulium sp1 M_PL_071","Animals","Pollinator",1,1,1
"Simulium sp2 M_PL_071","Animals","Pollinator",1,1,1
"Stomorhina lunata","Animals","Pollinator",7,24,24
"Syritta sp1 M_PL_071","Animals","Pollinator",1,2,1
"Trirhithrum sp1 M_PL_071","Animals","Pollinator",3,5,1
"Zizeeria knysa","Animals","Pollinator",1,1,1
"Zosterops mauritianus","Animals","Pollinator",1,1,11
"Aphloia theiformis","Plants","Plant",9,18,22
"Badula insularis","Plants","Plant",9,21,2
"Calophyllum eputamen","Plants","Plant",5,8,4
"Diospyros revaughanii","Plants","Plant",4,16,6
"Pandanus rigidifolius","Plants","Plant",3,6,1
"Pleurostylia leucocarpa ","Plants","Plant",8,16,1
"Stillingia lineata","Plants","Plant",8,25,20
"Syzygium glomeratum","Plants","Plant",8,30,1
"Syzygium petrinese","Plants","Plant",4,17,5
"Turraea rigida","Plants","Plant",1,1,3
"Xyris sp1 M_PL_071","Plants","Plant",1,1,1
