"","acal.sp2","acal.sp4","acr.lob","allo.bre","allo.sp1","amm.sp1","ana.ine","ant.fri","ant.oed","ant.rub","ant.vig","antho.sp1","api.mel","arh.bif","ari.sp1","ase.mon","asi.sp1","asi.sp2","aud.sp","aug.sp","bab.elo","bib.sp1","bom.opi","bombil10","bombil11","bombil12","bombil14","bombil15","bombil16","bombil3","bombil5","bombil7","bombil8","bombil9","cae.sp1","cal.sp1","cam.mus","cam.pun","cen.bre","cen.lya","cen.var","cha.sp1","coc.mac","coc.sp1","coc.sp2","coe.chi","coe.jor","coe.sp6","col.ara","col.bic","col.bre","col.cog","col.lyc","com.ful","cop.ari","cop.sp2","cop.sp3","cos.chi","cra.sp1","dia.bar","dia.pat","dia.sp1","dih.sp1","emp.sp1","emp.sp2","epi.sp","eum.sp","exo.sp1","for.sp1","hir.sp1","hypa.sp1","ise.vac","ise.vip","lei.abd","lei.fri","lep.nig","lepid11","lepid12","lepid3","lepid4","lip.ino","lip.nig","lon.rob","lon.sp1","meg.A","meg.C","meg.cte","meg.pse2","mel.coc","mel.sp","mes.jen","muscid2","neu.sp1","nit.sp1","pir.com","pla.sp1","pol.cav","pompil2","psa.phi","psa.ruf","pse.sp","rub.nas","sar.sp1","sci.sp1","sph.sp2","sphecid1","str.eur","sva.bau","sva.bom","sva.zeb","syr.sp1","syr.sp2","syr.sp3","syr.sp5","syr.sp6","tac.sp1","tac.sp10","tac.sp15","tac.sp17","tac.sp5","tac.sp8","tachy.sp","tat.aut","tep.sp1","tep.sp2","thy.sp1","tox.sp1","tri.lat","tri.sp2","vill.sp1","wil.cha","xyl.aug","xyl.ord","xyl.spl","zet.sp1"
"fum.cap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"hel.don",0,0,0,0,0,31,0,0,0,2,0,0,15,0,0,0,0,0,4,55,0,0,3,0,0,0,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,13,0,0,4,2,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,3,2,36,0,0,0,0,0,0,0,9,0,0,0,1,3,2,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8
"hof.ere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hys.jas",0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"lar.cun",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
"lar.div",0,0,0,4,14,3,0,56,0,34,3,1,368,3,0,11,1,0,36,52,0,0,154,5,0,0,0,0,0,0,0,2,8,0,4,0,0,0,222,3,0,0,2,0,0,0,0,0,7,0,0,49,40,8,213,6,0,39,0,0,3,0,43,0,0,0,0,5,0,21,0,1,0,21,0,0,0,0,0,1,0,0,54,2,260,56,10,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,55,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,2,13,0,431,33,10
"lar.nit",0,0,0,59,0,0,0,0,0,0,0,0,453,0,0,1,0,0,40,133,0,0,71,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,20,0,0,18,2,0,87,17,0,1,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,14,0
"lec.het",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,35,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lip.tur",0,0,0,0,0,14,0,0,0,2,0,0,5,0,0,0,0,0,2,46,0,0,0,1,3,0,3,0,0,0,2,0,0,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,3,0,0,0,0,1,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,1,0,0,0,1,0,3,0,0,0,3,1,0,0,0,0,0,0,0,14,0,0,0,0,25
"lyc.chi",0,0,0,6,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,14,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,63,11,0
