"Family","Genus","Genus_and_species","DIT","FuenteDatos"
"Halictidae","Halictus","Halictus gruenwaldti",1.72,"Europa"
"Halictidae","Halictus","Halictus holomelaenus",2.08,"Europa"
"Halictidae","Halictus","Halictus langobardicus",2.03,"Europa"
"Halictidae","Halictus","Halictus luganicus",2.28,"Europa"
"Halictidae","Halictus","Halictus lussinicus",2.01,"Europa"
"Halictidae","Halictus","Halictus maculatus",1.49,"Europa"
"Halictidae","Halictus","Halictus mediterranellus",2.13,"Europa"
"Halictidae","Halictus","Halictus minor",2.07,"Europa"
"Halictidae","Halictus","Halictus nicosiae",1.98,"Europa"
"Halictidae","Halictus","Halictus patellatus",2.31,"Europa"
"Halictidae","Halictus","Halictus pyrenaeus",2.22,"Europa"
"Halictidae","Halictus","Halictus quadricinctus",2.85,"Europa"
"Halictidae","Halictus","Halictus quadripartitus",2.24,"Europa"
"Halictidae","Halictus","Halictus resurgens",1.98,"Europa"
"Halictidae","Halictus","Halictus rubicundus",2.1,"Europa"
"Halictidae","Halictus","Halictus sajoi",2,"Europa"
"Halictidae","Halictus","Halictus scabiosae",2.52,"Europa"
"Halictidae","Halictus","Halictus senilis",1.92,"Europa"
"Halictidae","Halictus","Halictus sexcinctus",2.82,"Europa"
"Halictidae","Halictus","Halictus simplex",1.88,"Europa"
"Halictidae","Halictus","Halictus tetrazonianellus",2.18,"Europa"
"Halictidae","Halictus","Halictus tetrazonius",1.94,"Europa"
"Halictidae","Halictus","Halictus tridivisus",2.16,"Europa"
"Halictidae","Lasioglossum","Lasioglossum acephaloides",1.92,"Europa"
"Halictidae","Lasioglossum","Lasioglossum aegyptiellum",2.12,"Europa"
"Halictidae","Lasioglossum","Lasioglossum aeratum",1.08,"Europa"
"Halictidae","Lasioglossum","Lasioglossum akroundicum",1.22,"Europa"
"Halictidae","Lasioglossum","Lasioglossum albipes",1.59,"Europa"
"Halictidae","Lasioglossum","Lasioglossum albocinctum",2.6,"Europa"
"Halictidae","Lasioglossum","Lasioglossum albovirens",0.98,"Europa"
"Halictidae","Lasioglossum","Lasioglossum algericolellum",1.04,"Europa"
"Halictidae","Lasioglossum","Lasioglossum algirum",1.24,"Europa"
"Halictidae","Lasioglossum","Lasioglossum alinense",1.85,"Europa"
"Halictidae","Lasioglossum","Lasioglossum alpigenum",1.35,"Europa"
"Halictidae","Lasioglossum","Lasioglossum andromeda",1.02,"Europa"
"Halictidae","Lasioglossum","Lasioglossum anellum",1.19,"Europa"
"Halictidae","Lasioglossum","Lasioglossum angusticeps",1.29,"Europa"
"Halictidae","Lasioglossum","Lasioglossum angustipes",1.35,"Europa"
"Halictidae","Lasioglossum","Lasioglossum annulipes",1.15,"Europa"
"Halictidae","Lasioglossum","Lasioglossum apostoli",0.92,"Europa"
"Halictidae","Lasioglossum","Lasioglossum arctifrons",1.1,"Europa"
"Halictidae","Lasioglossum","Lasioglossum articulare",1.68,"Europa"
"Halictidae","Lasioglossum","Lasioglossum asellum",1.47,"Europa"
"Halictidae","Lasioglossum","Lasioglossum aureolum",1.2,"Europa"
"Halictidae","Lasioglossum","Lasioglossum bavaricum",1.24,"Europa"
"Halictidae","Lasioglossum","Lasioglossum bicallosum",1.46,"Europa"
"Halictidae","Lasioglossum","Lasioglossum bimaculatum",1.86,"Europa"
"Halictidae","Lasioglossum","Lasioglossum bischoffi",1.66,"Europa"
"Halictidae","Lasioglossum","Lasioglossum bluethgeni",1.43,"Europa"
"Halictidae","Lasioglossum","Lasioglossum brevicorne",1.37,"Europa"
"Halictidae","Lasioglossum","Lasioglossum breviventre",1.74,"Europa"
"Halictidae","Lasioglossum","Lasioglossum buccale",1.82,"Europa"
"Halictidae","Lasioglossum","Lasioglossum calceatum",1.77,"Europa"
"Halictidae","Lasioglossum","Lasioglossum callizonium",2.24,"Europa"
"Halictidae","Lasioglossum","Lasioglossum capitale",1.34,"Europa"
"Halictidae","Lasioglossum","Lasioglossum castilianum",0.83,"Europa"
"Halictidae","Lasioglossum","Lasioglossum chalcodes",2.27,"Europa"
"Halictidae","Lasioglossum","Lasioglossum clypeare",1.42,"Europa"
"Halictidae","Lasioglossum","Lasioglossum clypeiferellum",1.31,"Europa"
"Halictidae","Lasioglossum","Lasioglossum collopiense",1.15,"Europa"
"Halictidae","Lasioglossum","Lasioglossum convexiusculum",1.59,"Europa"
"Halictidae","Lasioglossum","Lasioglossum corsicanum",0.93,"Europa"
"Halictidae","Lasioglossum","Lasioglossum corvinum",1.32,"Europa"
"Halictidae","Lasioglossum","Lasioglossum costulatum",2.03,"Europa"
"Halictidae","Lasioglossum","Lasioglossum crassepunctatum",1.46,"Europa"
"Halictidae","Lasioglossum","Lasioglossum cristula",1.51,"Europa"
"Halictidae","Lasioglossum","Lasioglossum cupromicans",1.21,"Europa"
"Halictidae","Lasioglossum","Lasioglossum damascenum",1.36,"Europa"
"Halictidae","Lasioglossum","Lasioglossum denislucum",1.31,"Europa"
"Halictidae","Lasioglossum","Lasioglossum discus",2.11,"Europa"
"Halictidae","Lasioglossum","Lasioglossum dolichocephalum",1.52,"Europa"
"Halictidae","Lasioglossum","Lasioglossum duckei",0.75,"Europa"
"Halictidae","Lasioglossum","Lasioglossum dusmeti",1.83,"Europa"
"Halictidae","Lasioglossum","Lasioglossum edessae",1.04,"Europa"
"Halictidae","Lasioglossum","Lasioglossum elegans",1.8,"Europa"
"Halictidae","Lasioglossum","Lasioglossum ellipticeps",1.14,"Europa"
"Halictidae","Lasioglossum","Lasioglossum epipygiale",2.05,"Europa"
"Halictidae","Lasioglossum","Lasioglossum erraticum",1.09,"Europa"
"Halictidae","Lasioglossum","Lasioglossum euboeense",2.03,"Europa"
"Halictidae","Lasioglossum","Lasioglossum eurasicum",1.6,"Europa"
"Halictidae","Lasioglossum","Lasioglossum euxinicum",1.82,"Europa"
"Halictidae","Lasioglossum","Lasioglossum fallax",1.65,"Europa"
"Halictidae","Lasioglossum","Lasioglossum fratellum",1.45,"Europa"
"Halictidae","Lasioglossum","Lasioglossum fulvicorne",1.34,"Europa"
"Halictidae","Lasioglossum","Lasioglossum gilanum",0.8,"Europa"
"Halictidae","Lasioglossum","Lasioglossum glabriusculum",0.83,"Europa"
"Halictidae","Lasioglossum","Lasioglossum glaciegenitum",1.84,"Europa"
"Halictidae","Lasioglossum","Lasioglossum gorkiense",1.88,"Europa"
"Halictidae","Lasioglossum","Lasioglossum griseolum",0.94,"Europa"
"Halictidae","Lasioglossum","Lasioglossum hethiticum",0.63,"Europa"
"Halictidae","Lasioglossum","Lasioglossum hilare",1.21,"Europa"
"Halictidae","Lasioglossum","Lasioglossum ibericum",1.46,"Europa"
"Halictidae","Lasioglossum","Lasioglossum imbecillum",1.22,"Europa"
"Halictidae","Lasioglossum","Lasioglossum immunitum",1.96,"Europa"
"Halictidae","Lasioglossum","Lasioglossum intermedium",1.24,"Europa"
"Halictidae","Lasioglossum","Lasioglossum interruptum",1.48,"Europa"
"Halictidae","Lasioglossum","Lasioglossum kirgisicum",0.95,"Europa"
"Halictidae","Lasioglossum","Lasioglossum kussariense",2.26,"Europa"
"Halictidae","Lasioglossum","Lasioglossum laeve",1.56,"Europa"
"Halictidae","Lasioglossum","Lasioglossum laevidorsum",1.53,"Europa"
"Halictidae","Lasioglossum","Lasioglossum laevigatum",1.91,"Europa"
"Halictidae","Lasioglossum","Lasioglossum laterale",1.83,"Europa"
"Halictidae","Lasioglossum","Lasioglossum laticeps",1.45,"Europa"
"Halictidae","Lasioglossum","Lasioglossum lativentre",1.51,"Europa"
"Halictidae","Lasioglossum","Lasioglossum leucopus",1.11,"Europa"
"Halictidae","Lasioglossum","Lasioglossum leucozonium",1.84,"Europa"
"Halictidae","Lasioglossum","Lasioglossum limbelloides",1.31,"Europa"
"Halictidae","Lasioglossum","Lasioglossum limbellum",1.31,"Europa"
"Halictidae","Lasioglossum","Lasioglossum lineare",1.39,"Europa"
"Halictidae","Lasioglossum","Lasioglossum lissonotum",1.21,"Europa"
"Halictidae","Lasioglossum","Lasioglossum littorale",1.35,"Europa"
"Halictidae","Lasioglossum","Lasioglossum loetum",1.37,"Europa"
"Halictidae","Lasioglossum","Lasioglossum longirostre",1.63,"Europa"
"Halictidae","Lasioglossum","Lasioglossum lucidulum",0.78,"Europa"
"Halictidae","Lasioglossum","Lasioglossum majus",2.35,"Europa"
"Halictidae","Lasioglossum","Lasioglossum malachurum",1.57,"Europa"
"Halictidae","Lasioglossum","Lasioglossum mandibulare",1,"Europa"
"Halictidae","Lasioglossum","Lasioglossum marginatum",1.56,"Europa"
"Halictidae","Lasioglossum","Lasioglossum marginellum",1.34,"Europa"
"Halictidae","Lasioglossum","Lasioglossum maurusium",1.7,"Europa"
"Halictidae","Lasioglossum","Lasioglossum medinai",1.66,"Europa"
"Halictidae","Lasioglossum","Lasioglossum mediterraneum",1.61,"Europa"
"Halictidae","Lasioglossum","Lasioglossum mesosclerum",1.1,"Europa"
"Halictidae","Lasioglossum","Lasioglossum minutissimum",0.87,"Europa"
"Halictidae","Lasioglossum","Lasioglossum minutulum",1.21,"Europa"
"Halictidae","Lasioglossum","Lasioglossum monstrificum",1.32,"Europa"
"Halictidae","Lasioglossum","Lasioglossum morio",1.1,"Europa"
"Halictidae","Lasioglossum","Lasioglossum musculoides",1.07,"Europa"
"Halictidae","Lasioglossum","Lasioglossum nigripes",2.15,"Europa"
"Halictidae","Lasioglossum","Lasioglossum nitidiusculum",1.29,"Europa"
"Halictidae","Lasioglossum","Lasioglossum nitidulum",1.17,"Europa"
"Halictidae","Lasioglossum","Lasioglossum niveocinctum",1.8,"Europa"
"Halictidae","Lasioglossum","Lasioglossum obscuratum",2.11,"Europa"
"Halictidae","Lasioglossum","Lasioglossum orihuelicum",1.08,"Europa"
"Halictidae","Lasioglossum","Lasioglossum pallens",1.56,"Europa"
"Halictidae","Lasioglossum","Lasioglossum pallidum",1.44,"Europa"
"Halictidae","Lasioglossum","Lasioglossum parvulum",1.29,"Europa"
"Halictidae","Lasioglossum","Lasioglossum pauperatum",1.22,"Europa"
"Halictidae","Lasioglossum","Lasioglossum pauxillum",1.18,"Europa"
"Halictidae","Lasioglossum","Lasioglossum perclavipes",2.04,"Europa"
"Halictidae","Lasioglossum","Lasioglossum peregrinum",1.52,"Europa"
"Halictidae","Lasioglossum","Lasioglossum phoenicurum",1.3,"Europa"
"Halictidae","Lasioglossum","Lasioglossum podolicum",1.38,"Europa"
"Halictidae","Lasioglossum","Lasioglossum politum",0.85,"Europa"
"Halictidae","Lasioglossum","Lasioglossum prasinum",1.76,"Europa"
"Halictidae","Lasioglossum","Lasioglossum pressithorax",1.16,"Europa"
"Halictidae","Lasioglossum","Lasioglossum prunellum",1.63,"Europa"
"Halictidae","Lasioglossum","Lasioglossum pseudocaspicum",1.7,"Europa"
"Halictidae","Lasioglossum","Lasioglossum pseudoleptocephalum",1.24,"Europa"
"Halictidae","Lasioglossum","Lasioglossum pseudoplanulum",1.22,"Europa"
"Halictidae","Lasioglossum","Lasioglossum punctatissimum",1.29,"Europa"
"Halictidae","Lasioglossum","Lasioglossum puncticolle",1.46,"Europa"
"Halictidae","Lasioglossum","Lasioglossum pygmaeum",1.27,"Europa"
"Halictidae","Lasioglossum","Lasioglossum quadrinotatulum",1.58,"Europa"
"Halictidae","Lasioglossum","Lasioglossum quadrinotatum",1.59,"Europa"
"Halictidae","Lasioglossum","Lasioglossum quadrisignatum",1.59,"Europa"
"Halictidae","Lasioglossum","Lasioglossum ragusanum",1.97,"Europa"
"Halictidae","Lasioglossum","Lasioglossum rufitarse",1.37,"Europa"
"Halictidae","Lasioglossum","Lasioglossum salinum",1.45,"Europa"
"Halictidae","Lasioglossum","Lasioglossum semilucens",0.94,"Europa"
"Halictidae","Lasioglossum","Lasioglossum setulellum",1.12,"Europa"
"Halictidae","Lasioglossum","Lasioglossum setulosum",1.09,"Europa"
"Halictidae","Lasioglossum","Lasioglossum sexmaculatum",1.84,"Europa"
"Halictidae","Lasioglossum","Lasioglossum sexnotatulum",2.28,"Europa"
"Halictidae","Lasioglossum","Lasioglossum sexnotatum",2.09,"Europa"
"Halictidae","Lasioglossum","Lasioglossum sexstrigatum",1.27,"Europa"
"Halictidae","Lasioglossum","Lasioglossum smeathmanellum",1.26,"Europa"
"Halictidae","Lasioglossum","Lasioglossum soror",1.1,"Europa"
"Halictidae","Lasioglossum","Lasioglossum sphecodimorphum",1.08,"Europa"
"Halictidae","Lasioglossum","Lasioglossum strictifrons",0.95,"Europa"
"Halictidae","Lasioglossum","Lasioglossum subaenescens",1.33,"Europa"
"Halictidae","Lasioglossum","Lasioglossum subfasciatum",2.08,"Europa"
"Halictidae","Lasioglossum","Lasioglossum subfulvicorne",1.33,"Europa"
"Halictidae","Lasioglossum","Lasioglossum subhirtum",1.74,"Europa"
"Halictidae","Lasioglossum","Lasioglossum tarsatum",1,"Europa"
"Halictidae","Lasioglossum","Lasioglossum transitorium",1.24,"Europa"
"Halictidae","Lasioglossum","Lasioglossum trichopygum",0.77,"Europa"
"Halictidae","Lasioglossum","Lasioglossum tricinctum",1.26,"Europa"
"Halictidae","Lasioglossum","Lasioglossum truncaticolle",1.47,"Europa"
"Halictidae","Lasioglossum","Lasioglossum tschibuklinum",0.87,"Europa"
"Halictidae","Lasioglossum","Lasioglossum vergilianum",1.78,"Europa"
"Halictidae","Lasioglossum","Lasioglossum villosulum",1.38,"Europa"
"Halictidae","Lasioglossum","Lasioglossum virens",1.51,"Europa"
"Halictidae","Lasioglossum","Lasioglossum viride",1.76,"Europa"
"Halictidae","Lasioglossum","Lasioglossum xanthopus",2.31,"Europa"
"Halictidae","Lasioglossum","Lasioglossum zonulum",1.98,"Europa"
"Halictidae","Rhophitoides","Rhophitoides canus",1.88,"Europa"
"Halictidae","Rhophitoides","Rhophitoides epiroticus",1.93,"Europa"
"Halictidae","Rophites","Rophites algirus",2.19,"Europa"
"Halictidae","Rophites","Rophites clypealis",1.96,"Europa"
"Halictidae","Rophites","Rophites hartmanni",2.06,"Europa"
"Halictidae","Rophites","Rophites hellenicus",1.31,"Europa"
"Halictidae","Rophites","Rophites quinquespinosus",2.28,"Europa"
"Halictidae","Seladonia","Seladonia cephalica",1.28,"Europa"
"Halictidae","Seladonia","Seladonia concinna",1.4,"Europa"
"Halictidae","Seladonia","Seladonia confusa",1.54,"Europa"
"Halictidae","Seladonia","Seladonia cyprica",1.53,"Europa"
"Halictidae","Seladonia","Seladonia gavarnica",1.46,"Europa"
"Halictidae","Seladonia","Seladonia gemmea",1.28,"Europa"
"Halictidae","Seladonia","Seladonia gemmella",1.5,"Europa"
"Halictidae","Seladonia","Seladonia inpilosa",1.08,"Europa"
"Halictidae","Seladonia","Seladonia kessleri",1.32,"Europa"
"Halictidae","Seladonia","Seladonia leucahenea",1.57,"Europa"
"Halictidae","Seladonia","Seladonia mucorea",1.76,"Europa"
"Halictidae","Seladonia","Seladonia phryganica",0.95,"Europa"
"Halictidae","Seladonia","Seladonia pollinosa",1.77,"Europa"
"Halictidae","Seladonia","Seladonia pseudomucorea",1.57,"Europa"
"Halictidae","Seladonia","Seladonia pulverea",1.43,"Europa"
"Halictidae","Seladonia","Seladonia seladonia",1.57,"Europa"
"Halictidae","Seladonia","Seladonia semitecta",1.17,"Europa"
"Halictidae","Seladonia","Seladonia smaragdula",1.09,"Europa"
"Halictidae","Seladonia","Seladonia subaurata",1.53,"Europa"
"Halictidae","Seladonia","Seladonia submediterranea",1.43,"Europa"
"Halictidae","Seladonia","Seladonia tuberculata",1.81,"Europa"
"Halictidae","Seladonia","Seladonia tumulorum",1.45,"Europa"
"Halictidae","Seladonia","Seladonia vestita",1.37,"Europa"
"Halictidae","Systropha","Systropha curvicornis",1.91,"Europa"
"Halictidae","Systropha","Systropha planidens",2.12,"Europa"
"Colletidae","Hylaeus","Hylaeus absolutus",1.68,"Europa"
"Colletidae","Hylaeus","Hylaeus adriaticus",1.02,"Europa"
"Colletidae","Hylaeus","Hylaeus alpinus",1.47,"Europa"
"Colletidae","Hylaeus","Hylaeus angustatus",0.93,"Europa"
"Colletidae","Hylaeus","Hylaeus annularis",1.26,"Europa"
"Colletidae","Hylaeus","Hylaeus annulatus",1.47,"Europa"
"Colletidae","Hylaeus","Hylaeus ater",1.34,"Europa"
"Colletidae","Hylaeus","Hylaeus biarmicus",0.89,"Europa"
"Colletidae","Hylaeus","Hylaeus bifasciatus",1.75,"Europa"
"Colletidae","Hylaeus","Hylaeus brachycephalus",1.65,"Europa"
"Colletidae","Hylaeus","Hylaeus brevicornis",0.98,"Europa"
"Colletidae","Hylaeus","Hylaeus canariensis",1.09,"Europa"
"Colletidae","Hylaeus","Hylaeus cardioscapus",1.38,"Europa"
"Colletidae","Hylaeus","Hylaeus clypearis",0.83,"Europa"
"Colletidae","Hylaeus","Hylaeus communis",1.29,"Europa"
"Colletidae","Hylaeus","Hylaeus conformis",1.55,"Europa"
"Colletidae","Hylaeus","Hylaeus confusus",1.4,"Europa"
"Colletidae","Hylaeus","Hylaeus convergens",1.05,"Europa"
"Colletidae","Hylaeus","Hylaeus coriaceus",1.96,"Europa"
"Colletidae","Hylaeus","Hylaeus cornutus",1.4,"Europa"
"Colletidae","Hylaeus","Hylaeus crassanus",1.34,"Europa"
"Colletidae","Hylaeus","Hylaeus cypricola",1.09,"Europa"
"Colletidae","Hylaeus","Hylaeus deceptorius",1.1,"Europa"
"Colletidae","Hylaeus","Hylaeus decipiens",1.14,"Europa"
"Colletidae","Hylaeus","Hylaeus difformis",1.43,"Europa"
"Colletidae","Hylaeus","Hylaeus dilatatus",1.39,"Europa"
"Colletidae","Hylaeus","Hylaeus duckei",1.51,"Europa"
"Colletidae","Hylaeus","Hylaeus euryscapus",1.41,"Europa"
"Colletidae","Hylaeus","Hylaeus friesei",1.36,"Europa"
"Colletidae","Hylaeus","Hylaeus garrulus",1.18,"Europa"
"Colletidae","Hylaeus","Hylaeus gazagnairei",1.72,"Europa"
"Colletidae","Hylaeus","Hylaeus gibbus",1.44,"Europa"
"Colletidae","Hylaeus","Hylaeus glacialis",1.12,"Europa"
"Colletidae","Hylaeus","Hylaeus gracilicornis",1,"Europa"
"Colletidae","Hylaeus","Hylaeus gredleri",1.05,"Europa"
"Colletidae","Hylaeus","Hylaeus hellenicus",0.98,"Europa"
"Colletidae","Hylaeus","Hylaeus hohmanni",1.8,"Europa"
"Colletidae","Hylaeus","Hylaeus hyalinatus",1.31,"Europa"
"Colletidae","Hylaeus","Hylaeus hyperpunctatus",1.27,"Europa"
"Colletidae","Hylaeus","Hylaeus hyrcanius",1.49,"Europa"
"Colletidae","Hylaeus","Hylaeus ibericus",0.91,"Europa"
"Colletidae","Hylaeus","Hylaeus imparilis",1,"Europa"
"Colletidae","Hylaeus","Hylaeus incongruus",1.55,"Europa"
"Colletidae","Hylaeus","Hylaeus intermedius",1.33,"Europa"
"Colletidae","Hylaeus","Hylaeus kahri",1.03,"Europa"
"Colletidae","Hylaeus","Hylaeus koenigsmanni",1.14,"Europa"
"Colletidae","Hylaeus","Hylaeus leptocephalus",1.13,"Europa"
"Colletidae","Hylaeus","Hylaeus lineolatus",1.1,"Europa"
"Colletidae","Hylaeus","Hylaeus longimaculus",1.17,"Europa"
"Colletidae","Hylaeus","Hylaeus mariannae",0.95,"Europa"
"Colletidae","Hylaeus","Hylaeus meridionalis",1.51,"Europa"
"Colletidae","Hylaeus","Hylaeus nigrifacies",0.88,"Europa"
"Colletidae","Hylaeus","Hylaeus nigritus",1.57,"Europa"
"Colletidae","Hylaeus","Hylaeus nivaliformis",1.15,"Europa"
"Colletidae","Hylaeus","Hylaeus nivalis",1.27,"Europa"
"Colletidae","Hylaeus","Hylaeus pallidicornis",0.98,"Europa"
"Colletidae","Hylaeus","Hylaeus paulus",0.97,"Europa"
"Colletidae","Hylaeus","Hylaeus pectoralis",1.35,"Europa"
"Colletidae","Hylaeus","Hylaeus penalaris",1.48,"Europa"
"Colletidae","Hylaeus","Hylaeus pfankuchi",1.18,"Europa"
"Colletidae","Hylaeus","Hylaeus pictipes",1.04,"Europa"
"Colletidae","Hylaeus","Hylaeus pictus",1.25,"Europa"
"Colletidae","Hylaeus","Hylaeus pilosulus",1.5,"Europa"
"Colletidae","Hylaeus","Hylaeus punctatus",1.23,"Europa"
"Colletidae","Hylaeus","Hylaeus punctulatissimus",1.51,"Europa"
"Colletidae","Hylaeus","Hylaeus punctus",1.02,"Europa"
"Colletidae","Hylaeus","Hylaeus purpurissatus",1.72,"Europa"
"Colletidae","Hylaeus","Hylaeus pyrenaicus",0.96,"Europa"
"Colletidae","Hylaeus","Hylaeus rinki",1.46,"Europa"
"Colletidae","Hylaeus","Hylaeus rubicola",0.95,"Europa"
"Colletidae","Hylaeus","Hylaeus rugicollis",1.69,"Europa"
"Colletidae","Hylaeus","Hylaeus scutellaris",1.14,"Europa"
"Colletidae","Hylaeus","Hylaeus scutellatus",1.33,"Europa"
"Colletidae","Hylaeus","Hylaeus sidensis",0.81,"Europa"
"Colletidae","Hylaeus","Hylaeus signatus",1.63,"Europa"
"Colletidae","Hylaeus","Hylaeus sinuatus",1.72,"Europa"
"Colletidae","Hylaeus","Hylaeus soror",1.1,"Europa"
"Colletidae","Hylaeus","Hylaeus styriacus",0.94,"Europa"
"Colletidae","Hylaeus","Hylaeus sulphuripes",1.28,"Europa"
"Colletidae","Hylaeus","Hylaeus taeniolatus",0.96,"Europa"
"Colletidae","Hylaeus","Hylaeus teruelus",1.13,"Europa"
"Colletidae","Hylaeus","Hylaeus trifidus",0.98,"Europa"
"Colletidae","Hylaeus","Hylaeus trinotatus",1.38,"Europa"
"Colletidae","Hylaeus","Hylaeus tyrolensis",0.97,"Europa"
"Colletidae","Hylaeus","Hylaeus variegatus",1.32,"Europa"
"Megachilidae","Lithurgus","Lithurgus chrysurus",3.09,"Europa"
"Megachilidae","Lithurgus","Lithurgus cornutus",3.84,"Europa"
"Megachilidae","Lithurgus","Lithurgus tibialis",2.12,"Europa"
"Megachilidae","Megachile","Megachile albisecta",3.34,"Europa"
"Megachilidae","Megachile","Megachile albocristata",3.88,"Europa"
"Megachilidae","Megachile","Megachile albohirta",2.76,"Europa"
"Megachilidae","Megachile","Megachile albonotata",3.47,"Europa"
"Megachilidae","Megachile","Megachile alpicola",2.58,"Europa"
"Megachilidae","Megachile","Megachile analis",3.23,"Europa"
"Megachilidae","Megachile","Megachile anatolica",2.69,"Europa"
"Megachilidae","Megachile","Megachile apennina",3.97,"Europa"
"Megachilidae","Megachile","Megachile apicalis",2.4,"Europa"
"Megachilidae","Megachile","Megachile argentata",2.82,"Europa"
"Megachilidae","Megachile","Megachile baetica",4.14,"Europa"
"Megachilidae","Megachile","Megachile binominata",3.42,"Europa"
"Megachilidae","Megachile","Megachile bombycina",3.96,"Europa"
"Megachilidae","Megachile","Megachile burdigalensis",2.35,"Europa"
"Megachilidae","Megachile","Megachile canariensis",3.07,"Europa"
"Megachilidae","Megachile","Megachile canescens",4.85,"Europa"
"Megachilidae","Megachile","Megachile centuncularis",2.72,"Europa"
"Megachilidae","Megachile","Megachile circumcincta",3.58,"Europa"
"Megachilidae","Megachile","Megachile cressa",3.69,"Europa"
"Megachilidae","Megachile","Megachile cypricola",3.23,"Europa"
"Megachilidae","Megachile","Megachile deceptoria",2.79,"Europa"
"Megachilidae","Megachile","Megachile diabolica",4.03,"Europa"
"Megachilidae","Megachile","Megachile doriae",3.86,"Europa"
"Megachilidae","Megachile","Megachile ericetorum",3.44,"Europa"
"Megachilidae","Megachile","Megachile farinosa",2.82,"Europa"
"Megachilidae","Megachile","Megachile fertoni",2.41,"Europa"
"Megachilidae","Megachile","Megachile flabellipes",2.51,"Europa"
"Megachilidae","Megachile","Megachile flavipes",2.73,"Europa"
"Megachilidae","Megachile","Megachile foersteri",4.49,"Europa"
"Megachilidae","Megachile","Megachile fuerteventurae",4.4,"Europa"
"Megachilidae","Megachile","Megachile fulvimana",3.19,"Europa"
"Megachilidae","Megachile","Megachile genalis",3.38,"Europa"
"Megachilidae","Megachile","Megachile giraudi",2.97,"Europa"
"Megachilidae","Megachile","Megachile hohmanni",3.51,"Europa"
"Megachilidae","Megachile","Megachile hungarica",3.44,"Europa"
"Megachilidae","Megachile","Megachile inexspectata",2.64,"Europa"
"Megachilidae","Megachile","Megachile lagopoda",4.43,"Europa"
"Megachilidae","Megachile","Megachile lapponica",2.79,"Europa"
"Megachilidae","Megachile","Megachile leachella",2.7,"Europa"
"Megachilidae","Megachile","Megachile lefebvrei",3.99,"Europa"
"Megachilidae","Megachile","Megachile leucomalla",3.49,"Europa"
"Megachilidae","Megachile","Megachile ligniseca",3.55,"Europa"
"Megachilidae","Megachile","Megachile manicata",3.82,"Europa"
"Megachilidae","Megachile","Megachile marginata",3.05,"Europa"
"Megachilidae","Megachile","Megachile maritima",3.78,"Europa"
"Megachilidae","Megachile","Megachile melanogaster",2.91,"Europa"
"Megachilidae","Megachile","Megachile melanopyga",3.21,"Europa"
"Megachilidae","Megachile","Megachile minutissima",1.86,"Europa"
"Megachilidae","Megachile","Megachile montenegrensis",3.39,"Europa"
"Megachilidae","Megachile","Megachile nigriventris",4.13,"Europa"
"Megachilidae","Megachile","Megachile octosignata",3.07,"Europa"
"Megachilidae","Megachile","Megachile opacifrons",2.69,"Europa"
"Megachilidae","Megachile","Megachile otomita",2.93,"Europa"
"Megachilidae","Megachile","Megachile parietina",4.69,"Europa"
"Megachilidae","Megachile","Megachile patellimana",3.38,"Europa"
"Megachilidae","Megachile","Megachile pilicrus",3.36,"Europa"
"Megachilidae","Megachile","Megachile posti",2.01,"Europa"
"Megachilidae","Megachile","Megachile pusilla",2.48,"Europa"
"Megachilidae","Megachile","Megachile pyrenaea",3.09,"Europa"
"Megachilidae","Megachile","Megachile pyrenaica",3.56,"Europa"
"Megachilidae","Megachile","Megachile roeweri",3.4,"Europa"
"Megachilidae","Megachile","Megachile rotundata",2.37,"Europa"
"Megachilidae","Megachile","Megachile rufescens",3.61,"Europa"
"Megachilidae","Megachile","Megachile saussurei",2.89,"Europa"
"Megachilidae","Megachile","Megachile sculpturalis",4.95,"Europa"
"Megachilidae","Megachile","Megachile semicircularis",2.44,"Europa"
"Megachilidae","Megachile","Megachile sicula",4.18,"Europa"
"Megachilidae","Megachile","Megachile syriaca",3.19,"Europa"
"Megachilidae","Megachile","Megachile tecta",3,"Europa"
"Megachilidae","Megachile","Megachile tenuistriga",2.41,"Europa"
"Megachilidae","Megachile","Megachile thevestensis",2.54,"Europa"
"Megachilidae","Megachile","Megachile troodica",2.17,"Europa"
"Megachilidae","Megachile","Megachile versicolor",3.3,"Europa"
"Megachilidae","Megachile","Megachile willughbiella",3.41,"Europa"
"Melittidae","Dasypoda","Dasypoda albimana",3,"Europa"
"Melittidae","Dasypoda","Dasypoda argentata",3.52,"Europa"
"Melittidae","Dasypoda","Dasypoda braccata",3.91,"Europa"
"Melittidae","Dasypoda","Dasypoda cingulata",3.44,"Europa"
"Melittidae","Dasypoda","Dasypoda crassicornis",2.95,"Europa"
"Melittidae","Dasypoda","Dasypoda dusmeti",3.05,"Europa"
"Melittidae","Dasypoda","Dasypoda frieseana",3.3,"Europa"
"Melittidae","Dasypoda","Dasypoda hirtipes",2.87,"Europa"
"Melittidae","Dasypoda","Dasypoda iberica",2.9,"Europa"
"Melittidae","Dasypoda","Dasypoda michezi",3.2,"Europa"
"Melittidae","Dasypoda","Dasypoda morawitzi",3.13,"Europa"
"Melittidae","Dasypoda","Dasypoda morotei",3.59,"Europa"
"Melittidae","Dasypoda","Dasypoda panzeri",3.2,"Europa"
"Melittidae","Dasypoda","Dasypoda pyriformis",3.13,"Europa"
"Melittidae","Dasypoda","Dasypoda pyrotrichia",3.39,"Europa"
