"especie","ID","genero","Familia","DIT","size","umbral.mediana"
"Bombus.diversus","M_055","Bombus","Apidae",5.4,"Grande",3.55
"Bombus.diversus","M_055","Bombus","Apidae",5.49,"Grande",3.55
"Bombus.hypocrita","M_055","Bombus","Apidae",5.4,"Grande",3.55
"Ceratina.flavipes","M_055","Ceratina","Apidae",1.71,"Pequena",3.55
"Ceratina.japonica","M_055","Ceratina","Apidae",1.22,"Pequena",3.55
"Lasioglossum.scitulum","M_055","Lasioglossum","Halictidae",2.31,"Pequena",3.55
"Andrena.lapponica","M_056","Andrena","Andrenidae",2.66,"Pequena",3.55
"Andrena.longitibialis","M_056","Andrena","Andrenidae",1.59,"Pequena",3.55
"Apis.mellifera","M_056","Apis","Apidae",2.9,"Grande",3.55
"Bombus.ardens","M_056","Bombus","Apidae",4.98,"Grande",3.55
"Bombus.diversus","M_056","Bombus","Apidae",5.4,"Grande",3.55
"Bombus.diversus","M_056","Bombus","Apidae",5.49,"Grande",3.55
"Bombus.honshuensis","M_056","Bombus","Apidae",6.1,"Grande",3.55
"Bombus.hypocrita","M_056","Bombus","Apidae",5.4,"Grande",3.55
"Lasioglossum.albipes","M_056","Lasioglossum","Halictidae",1.62,"Pequena",3.55
"Lasioglossum.proximatum","M_056","Lasioglossum","Halictidae",2.43,"Pequena",3.55
"Lasioglossum.sp.K1","M_056","Lasioglossum","Halictidae",1.47,"Pequena",3.55
"Lasioglossum.sp.K2","M_056","Lasioglossum","Halictidae",1.47,"Pequena",3.55
"Andrena.longitibialis","M_053","Andrena","Andrenidae",1.59,"Pequena",3.55
"Andrena.minutula","M_053","Andrena","Andrenidae",1.59,"Pequena",3.55
"Andrena.minutula","M_053","Andrena","Andrenidae",1.5,"Pequena",3.55
"Andrena.taraxaci","M_053","Andrena","Andrenidae",1.68,"Pequena",3.55
"Apis.cerana","M_053","Apis","Apidae",2.38,"Grande",3.55
"Apis.mellifera","M_053","Apis","Apidae",2.9,"Grande",3.55
"Bombus.ardens","M_053","Bombus","Apidae",4.98,"Grande",3.55
"Bombus.diversus","M_053","Bombus","Apidae",5.4,"Grande",3.55
"Bombus.diversus","M_053","Bombus","Apidae",5.49,"Grande",3.55
"Bombus.ignitus","M_053","Bombus","Apidae",6.3,"Grande",3.55
"Ceratina.flavipes","M_053","Ceratina","Apidae",1.71,"Pequena",3.55
"Ceratina.japonica","M_053","Ceratina","Apidae",1.22,"Pequena",3.55
"Lasioglossum.occidens","M_053","Lasioglossum","Halictidae",2.26,"Pequena",3.55
"Andrena.melanochroa","M_004","Andrena","Andrenidae",1.7,"Pequena",3.55
"Andrena.miranda","M_004","Andrena","Andrenidae",1.9,"Pequena",3.55
"Andrena.nivalis","M_004","Andrena","Andrenidae",2.69,"Grande",3.55
"Andrena.w.scripta","M_004","Andrena","Andrenidae",1.74,"Pequena",3.55
"Andrena.wilkella","M_004","Andrena","Andrenidae",2.34,"Grande",3.55
"Bombus.vagans","M_004","Bombus","Apidae",3.56,"Grande",3.55
"Halictus.confusus","M_004","Halictus","Halictidae",1.41,"Pequena",3.55
"Halictus.rubicundus","M_004","Halictus","Halictidae",2.21,"Grande",3.55
"Hoplitis.producta","M_004","Hoplitis","Megachilidae",1.56,"Pequena",3.55
"Hylaeus.basalis","M_004","Hylaeus","Colletidae",1.85,"Pequena",3.55
"Osmia.lignaria","M_004","Osmia","Megachilidae",2.9,"Grande",3.55
"Osmia.proxima","M_004","Osmia","Megachilidae",2.16,"Grande",3.55
"Osmia.pumila","M_004","Osmia","Megachilidae",1.9,"Pequena",3.55
"Andrena.minutula","M_057","Andrena","Andrenidae",1.59,"Pequena",3.55
"Andrena.minutula","M_057","Andrena","Andrenidae",1.5,"Pequena",3.55
"Andrena.subopaca","M_057","Andrena","Andrenidae",1.47,"Pequena",3.55
"Apis.cerana.japonica","M_057","Apis","Apidae",2.38,"Pequena",3.55
"Bombus.ardens","M_057","Bombus","Apidae",4.98,"Grande",3.55
"Bombus.diversus.diversus","M_057","Bombus","Apidae",5.49,"Grande",3.55
"Bombus.diversus.diversus","M_057","Bombus","Apidae",4.79,"Grande",3.55
"Bombus.honshuensis","M_057","Bombus","Apidae",6.1,"Grande",3.55
"Bombus.hypocrita.hypocrita","M_057","Bombus","Apidae",5.4,"Grande",3.55
"Bombus.ignitus","M_057","Bombus","Apidae",6.3,"Grande",3.55
"Ceratina.flavipes","M_057","Ceratina","Apidae",1.71,"Pequena",3.55
"Ceratina.japonica","M_057","Ceratina","Apidae",1.22,"Pequena",3.55
"Lasioglossum.occidens","M_057","Lasioglossum","Halictidae",2.26,"Pequena",3.55
"Anthidium.chubuti","M_022","Anthidium","Megachilidae",3.69,"Pequena",3.55
"Anthidium.manicatum","M_008","Anthidium","Megachilidae",3.44,"Grande",3.55
"Apis.mellifera","M_008","Apis","Apidae",2.9,"Pequena",3.55
"Anthidium.sp","M_003","Anthidium","Megachilidae",3.34,"Pequena",3.55
"Bombus.dahlbomii","M_003","Bombus","Apidae",6.01,"Grande",3.55
"Bombus.dahlbomii","M_003","Bombus","Apidae",6.1,"Grande",3.55
"Megachile.semirufa","M_003","Megachile","Megachilidae",4.19,"Pequena",3.55
"Megachile.sp5","M_003","Megachile","Megachilidae",3.2,"Pequena",3.55
"Apis.cerana","M_044","Apis","Apidae",2.38,"Pequena",3.55
"Apis.mellifera","M_044","Apis","Apidae",2.9,"Grande",3.55
"Ceratina.okinawana","M_044","Ceratina","Apidae",1.41,"Pequena",3.55
"Lasioglossum.subopacum","M_044","Lasioglossum","Halictidae",2.89,"Grande",3.55
"Apis.mellifera","M_035","Apis","Apidae",2.9,"Pequena",3.55
"Euglossa.cordata","M_035","Euglossa","Apidae",3.4,"Pequena",3.55
"Euglossa.cordata","M_035","Euglossa","Apidae",3.44,"Grande",3.55
"Apis.mellifera","M_072","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.atratus","M_072","Bombus","Apidae",5.66,"Grande",3.55
"Apis.mellifera","M_060","Apis","Apidae",2.9,"Pequena",3.55
"Apis.mellifera","M_046","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.lapidarius","M_046","Bombus","Apidae",3.98,"Pequena",3.55
"Bombus.pascuorum","M_046","Bombus","Apidae",3.72,"Pequena",3.55
"Bombus.terrestris","M_046","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.terrestris","M_046","Bombus","Apidae",4.7,"Grande",3.55
"Apis.mellifera","M_031","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.atratus","M_031","Bombus","Apidae",5.66,"Grande",3.55
"Apis.mellifera","M_076","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.brevivillus","M_076","Bombus","Apidae",3.8,"Pequena",3.55
"Bombus.morio","M_076","Bombus","Apidae",6.04,"Grande",3.55
"Melipona.quadrifasciata","M_076","Melipona","Apidae",3.81,"Grande",3.55
"Trigona.spinipes","M_076","Trigona","Apidae",1.8,"Pequena",3.55
"Apis.mellifera","M_058","Apis","Apidae",2.9,"Grande",3.55
"Bombus.terrestris","M_058","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.terrestris","M_058","Bombus","Apidae",4.7,"Grande",3.55
"Ceratina.cucurbitina","M_058","Ceratina","Apidae",1.36,"Pequena",3.55
"Hylaeus.nigritus","M_058","Hylaeus","Colletidae",1.607,"Pequena",3.55
"Hylaeus.variegatus","M_058","Hylaeus","Colletidae",2.12,"Pequena",3.55
"Apis.mellifera","M_11.2","Apis","Apidae",2.9,"Pequena",3.55
"Megachile.sp","M_11.2","Megachile","Megachilidae",3.2,"Grande",3.55
"Apis.mellifera","M_061","Apis","Apidae",2.9,"Pequena",3.55
"Apis.mellifera","M_041","Apis","Apidae",2.9,"Pequena",3.55
"Apis.mellifera","M_11.1","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.ruderatus","M_11.1","Bombus","Apidae",5.58,"Grande",3.55
"Halictus.sp","M_11.1","Halictus","Halictidae",1.49,"Pequena",3.55
"Apis.mellifera","M_014","Apis","Apidae",2.9,"Pequena",3.55
"Apis.mellifera","M_040","Apis","Apidae",2.9,"Pequena",3.55
"Apis.mellifera","M_028","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.hortotum","M_028","Bombus","Apidae",4.74,"Grande",3.55
"Bombus.ruderatus","M_028","Bombus","Apidae",5.58,"Grande",3.55
"Bombus.terrestris","M_028","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.terrestris","M_028","Bombus","Apidae",4.7,"Pequena",3.55
"Lasioglossum.sordidum","M_028","Lasioglossum","Halictidae",1.29,"Pequena",3.55
"Apis.mellifera","M_059","Apis","Apidae",2.9,"Pequena",3.55
"Centris.aenea","M_059","Centris","Apidae",4.7,"Pequena",3.55
"Centris.caxiensis","M_059","Centris","Apidae",4.2,"Pequena",3.55
"Centris.flavifrons","M_059","Centris","Apidae",5.5,"Grande",3.55
"Centris.fuscata","M_059","Centris","Apidae",4.8,"Pequena",3.55
"Centris.obsoleta","M_059","Centris","Apidae",6.5,"Grande",3.55
"Centris.tarsata","M_059","Centris","Apidae",6.7,"Grande",3.55
"Centris.trigonoides","M_059","Centris","Apidae",3,"Pequena",3.55
"Xylocopa.grisescens","M_059","Xylocopa","Apidae",7.5,"Grande",3.55
"Apis.mellifera","M_012","Apis","Apidae",2.9,"Pequena",3.55
"Apis.mellifera","M_049","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.hortorum","M_049","Bombus","Apidae",4.56,"Grande",3.55
"Bombus.hortorum","M_049","Bombus","Apidae",4.74,"Grande",3.55
"Bombus.hypnorum","M_049","Bombus","Apidae",3.95,"Pequena",3.55
"Bombus.lucorum","M_049","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.lucorum","M_049","Bombus","Apidae",3.75,"Pequena",3.55
"Bombus.pratorum","M_049","Bombus","Apidae",4.21,"Pequena",3.55
"Apis.mellifera","M_034","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.dahlbomii","M_034","Bombus","Apidae",6.01,"Grande",3.55
"Bombus.dahlbomii","M_034","Bombus","Apidae",6.1,"Grande",3.55
"Diphaglossa.gayi","M_034","Diphaglossa","Colletidae",2.11,"Pequena",3.55
"Apis.mellifera","M_030","Apis","Apidae",2.9,"Pequena",3.55
"Euglossa.cordata","M_030","Euglossa","Apidae",3.4,"Pequena",3.55
"Euglossa.cordata","M_030","Euglossa","Apidae",3.44,"Grande",3.55
"Apis.mellifera","M_013","Apis","Apidae",2.9,"Pequena",3.55
"Apis.mellifera","M_036","Apis","Apidae",2.9,"Pequena",3.55
"Apis.mellifera","M_017","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.lapidarius","M_017","Bombus","Apidae",3.98,"Grande",3.55
"Bombus.muscorum","M_017","Bombus","Apidae",3.84,"Pequena",3.55
"Bombus.pascuorum","M_017","Bombus","Apidae",3.72,"Pequena",3.55
"Bombus.terrestris","M_017","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.terrestris","M_017","Bombus","Apidae",4.7,"Grande",3.55
"Apis.mellifera","M_029","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.terrestris","M_029","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.terrestris","M_029","Bombus","Apidae",4.7,"Grande",3.55
"Lasioglossum.sordidum","M_029","Lasioglossum","Halictidae",1.29,"Pequena",3.55
"Apis.mellifera","M_019","Apis","Apidae",2.9,"Pequena",3.55
"Apis.mellifera","M_023","Apis","Apidae",2.9,"Pequena",3.55
"Bombus.alpinus","M_009","Bombus","Apidae",5.28,"Pequena",3.55
"Bombus.brasiliensis","M_074","Bombus","Apidae",4.4,"Pequena",3.55
"Bombus.dahlbomii","M_051","Bombus","Apidae",6.01,"Grande",3.55
"Bombus.dahlbomii","M_051","Bombus","Apidae",6.1,"Grande",3.55
"Bombus.ruderatus","M_051","Bombus","Apidae",5.58,"Grande",3.55
"Manuelia.gayi","M_051","Manuelia","Apidae",1.8,"Pequena",3.55
"Manuelia.postica","M_051","Manuelia","Apidae",1.7,"Pequena",3.55
"Ruizantheda.mutabilis","M_051","Ruizantheda","Halictidae",1.68,"Pequena",3.55
"Bombus.hortorum","M_043","Bombus","Apidae",4.56,"Pequena",3.55
"Bombus.hortorum","M_043","Bombus","Apidae",4.74,"Grande",3.55
"Bombus.lapidarius","M_043","Bombus","Apidae",3.98,"Pequena",3.55
"Bombus.lucorum","M_043","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.lucorum","M_043","Bombus","Apidae",3.75,"Pequena",3.55
"Bombus.pascuorum","M_043","Bombus","Apidae",3.72,"Pequena",3.55
"Bombus.pratorum","M_043","Bombus","Apidae",4.21,"Pequena",3.55
"Bombus.ruderatus","M_043","Bombus","Apidae",5.58,"Grande",3.55
"Bombus.soroeensis","M_043","Bombus","Apidae",3.45,"Pequena",3.55
"Bombus.terrestris","M_043","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.terrestris","M_043","Bombus","Apidae",4.7,"Grande",3.55
"Bombus.hortorum","M_038","Bombus","Apidae",4.56,"Pequena",3.55
"Bombus.hortorum","M_038","Bombus","Apidae",4.74,"Grande",3.55
"Bombus.pascuorum","M_038","Bombus","Apidae",3.72,"Pequena",3.55
"Bombus.hortorum","M_018","Bombus","Apidae",4.56,"Pequena",3.55
"Bombus.hortorum","M_018","Bombus","Apidae",4.74,"Grande",3.55
"Bombus.lapidarius","M_018","Bombus","Apidae",3.98,"Pequena",3.55
"Bombus.lucorum","M_018","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.lucorum","M_018","Bombus","Apidae",3.75,"Pequena",3.55
"Bombus.pascuorum","M_018","Bombus","Apidae",3.72,"Pequena",3.55
"Bombus.pratorum","M_018","Bombus","Apidae",4.21,"Pequena",3.55
"Bombus.ruderatus","M_018","Bombus","Apidae",5.58,"Grande",3.55
"Bombus.soroeensis","M_018","Bombus","Apidae",3.45,"Pequena",3.55
"Bombus.terrestris","M_018","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.terrestris","M_018","Bombus","Apidae",4.7,"Grande",3.55
"Bombus.lapidarius","M_037","Bombus","Apidae",3.98,"Pequena",3.55
"Bombus.lucorum","M_037","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.lucorum","M_037","Bombus","Apidae",3.75,"Pequena",3.55
"Bombus.pascuorum","M_037","Bombus","Apidae",3.72,"Pequena",3.55
"Bombus.terrestris","M_037","Bombus","Apidae",4.78,"Grande",3.55
"Bombus.terrestris","M_037","Bombus","Apidae",4.7,"Grande",3.55
"Bombus.morio","M_077","Bombus","Apidae",6.04,"Grande",3.55
"Euglossa.chalybeata","M_077","Euglossa","Apidae",3.7,"Grande",3.55
"Euglossa.sp","M_077","Euglossa","Apidae",3.55,"Pequena",3.55
"Trigona.fulviventris","M_077","Trigona","Apidae",1.46,"Pequena",3.55
