"ID","plantas"
"M_004","Trillium.undulatum"
"M_005","Achillea.millefolium"
"M_005","Aconitum.columbianum"
"M_005","Allium.recurvatum"
"M_005","Apocynum.androsaemifolium"
"M_005","Aquilegia.brevistyla"
"M_005","Aquilegia.coerulea"
"M_005","Aragalus.lamberti"
"M_005","Arctostaphylus.uva-ursi"
"M_005","Asclepias.halli"
"M_005","Asclepias.speciosa"
"M_005","Aster.foliaceus"
"M_005","Astragalus.drummondi"
"M_005","Calochortus.gunnisoni"
"M_005","Caltha.leptosepala"
"M_005","Campanula.rotundifolia"
"M_005","Capnoides.aureum"
"M_005","Carduus.hookerianus"
"M_005","Castilleia.miniata"
"M_005","Chamaenerium.angustifolium"
"M_005","Chrysopsis.villosa"
"M_005","Clementsia.rhodantha"
"M_005","Cleome.serrulata"
"M_005","Dasyphora.fruticosa"
"M_005","Delphinium.scopulorum"
"M_005","Dodecatheon.meadia"
"M_005","Draba.aurea"
"M_005","Drymocallis.fissa"
"M_005","Elephantella.groenlandica"
"M_005","Erigeron.macranthus"
"M_005","Erigeron.uniflorus"
"M_005","Erysimum.asperum"
"M_005","Fragaria.vesca"
"M_005","Frasera.speciosa"
"M_005","Galium.boreale"
"M_005","Gentiana.parryi"
"M_005","Geranium.caespitosum"
"M_005","Geranium.richardsoni"
"M_005","Geum.rivale"
"M_005","Gilia.aggregata"
"M_005","Helianthus.petiolaris"
"M_005","Heracleum.lanatum"
"M_005","Holodiscus.dumosus"
"M_005","Ibidium.strictum"
"M_005","Iris.missouriensis"
"M_005","Jamesia.americana"
"M_005","Lappula.floribunda"
"M_005","Lathyrus.ornatus"
"M_005","Linaria.vulgaris"
"M_005","Lithospermum.canescens"
"M_005","Malvastrum.coccineum"
"M_005","Mentzelia.multiflora"
"M_005","Mertensia.pratensis"
"M_005","Mertensia.sibirica"
"M_005","Monarda.fistulosa"
"M_005","Onagra.biennis"
"M_005","Opulaster.opulifolius"
"M_005","Oreochrysum.parryi"
"M_005","Pachylophus.caespitosus"
"M_005","Pedicularis.parryi"
"M_005","Pedicularis.racemosa"
"M_005","Penstemon.halli"
"M_005","Penstemon.secundiflorus"
"M_005","Penstemon.unilateralis"
"M_005","Pentstemon.glaber"
"M_005","Pentstemon.glaucus"
"M_005","Pentstemon.gracilis"
"M_005","Petalostemon.candidus"
"M_005","Petalostemon.purpureus"
"M_005","Phacelia.heterophylla"
"M_005","Physaria.didymocarpa"
"M_005","Polygonum.bistorta"
"M_005","Potentilla.arguta"
"M_005","Potentilla.gracilis"
"M_005","Potentilla.pulcherrima"
"M_005","Prunus.demissa"
"M_005","Prunus.pennsylvanica"
"M_005","Prunus.virginiana"
