"ID","sp.armonizado","Grado","Grado_max","Grado_relativo","Z_Grado"
"M_003","Diptera ni",20,20,1,3.98404031927189
"M_003","Faunula leucoglene",4,20,0.2,0.178389865042025
"M_003","Habromyia lipoflava",2,20,0.1,-0.297316441736708
"M_003","Hymenoptera ni",4,20,0.2,0.178389865042025
"M_003","Hypsochila wagenknecti",1,20,0.05,-0.535169595126075
"M_003","Megachile semirufa",1,20,0.05,-0.535169595126075
"M_003","Megachile sp5",3,20,0.15,-0.0594632883473417
"M_003","Phulia nymphula",6,20,0.3,0.654096171820758
"M_003","Pseudolucia chilensis",1,20,0.05,-0.535169595126075
"M_003","Sarcophagidae ni",3,20,0.15,-0.0594632883473417
"M_003","Sarcophagidae sp",2,20,0.1,-0.297316441736708
"M_003","Scaeva melanostoma",9,20,0.45,1.36765563198886
"M_003","Stenanthidium espinosai",2,20,0.1,-0.297316441736708
"M_003","Syrphidae ni",1,20,0.05,-0.535169595126075
"M_003","Tachinidae ni",1,20,0.05,-0.535169595126075
"M_003","Tatochila mercedis",1,20,0.05,-0.535169595126075
"M_003","Troch ni",1,20,0.05,-0.535169595126075
"M_003","Troch ni 1",1,20,0.05,-0.535169595126075
"M_003","Vibrissiomyia sp",1,20,0.05,-0.535169595126075
"M_003","Villa sp",1,20,0.05,-0.535169595126075
"M_003","Yramea modesta",11,20,0.55,1.84336193876759
"M_004","Acmaeopsoides rufula",1,8,0.125,-0.494726086933375
"M_004","Agiotes stabilis",1,8,0.125,-0.494726086933375
"M_004","Ancistrocerus sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Andrena melanochroa",1,8,0.125,-0.494726086933375
"M_004","Andrena miranda",2,8,0.25,0.281613311023613
"M_004","Andrena nivalis",2,8,0.25,0.281613311023613
"M_004","Andrena rufosignata",1,8,0.125,-0.494726086933375
"M_004","Andrena sigmundi",1,8,0.125,-0.494726086933375
"M_004","Andrena thaspii",1,8,0.125,-0.494726086933375
"M_004","Andrena w scripta",2,8,0.25,0.281613311023613
"M_004","Andrena wheeleri",1,8,0.125,-0.494726086933375
"M_004","Andrena wilkella",1,8,0.125,-0.494726086933375
"M_004","Anthaxia expansa",2,8,0.25,0.281613311023613
"M_004","Anthonomus sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Blera badia",1,8,0.125,-0.494726086933375
"M_004","Blera confusa",1,8,0.125,-0.494726086933375
"M_004","Blera nigripes",1,8,0.125,-0.494726086933375
"M_004","Bombus perplexus",2,8,0.25,0.281613311023613
"M_004","Bombus ternarius",2,8,0.25,0.281613311023613
"M_004","Bombus terricola",4,8,0.5,1.83429210693759
"M_004","Bombus vagans",8,8,1,4.93964969876554
"M_004","Bombylius major",2,8,0.25,0.281613311023613
"M_004","Bombylius pigmaeus",1,8,0.125,-0.494726086933375
"M_004","Cantharis sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Carposcalis confusus",5,8,0.625,2.61063150489458
"M_004","Carposcalis obscura",1,8,0.125,-0.494726086933375
"M_004","Cateres pennatus",1,8,0.125,-0.494726086933375
"M_004","Celastrina argiolus",1,8,0.125,-0.494726086933375
"M_004","Chalcosyrphus curvarius",1,8,0.125,-0.494726086933375
"M_004","Chalcosyrphus inarmatus",1,8,0.125,-0.494726086933375
