"plantas","Xylocopa.darwini"
"Chiococa.alba",1
"Plumbago.scandens",0
"Opuntia.echios",1
"Pectis.tenuifolia",1
"Darwiniothamnus.tenuifolius",1
"Lippia.rosmarinifolia",1
"Cordia.revoluta",1
"Passiflora.foetida",1
"Jasminoserius.thouarsii",1
"Scalesia.affinis",1
"Cordia.lutea",1
"Waltheria.ovata",1
