"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Lasioglossum chalcodes","M_008",1,6,0.166666666666667,-1.3970281900209
"Lasioglossum chalcodes","M_012",3,8,0.375,-0.222107998507545
"Lasioglossum convexiusculum","M_015",1,104,0.00961538461538462,-0.512116660022547
"Lasioglossum crassepunctatum","M_015",1,104,0.00961538461538462,-0.512116660022547
"Lasioglossum cressonii","M_073",2,21,0.0952380952380952,-0.360395016719779
"Lasioglossum duplex","M_021",2,25,0.08,-0.405154568376667
"Lasioglossum duplex","M_054",3,24,0.125,-0.216125183026614
"Lasioglossum ephialtum","M_073",1,21,0.0476190476190476,-0.567092158662006
"Lasioglossum evylaeus","M_050",8,8,1,1.52752523165195
"Lasioglossum evylaeus","M_039",13,13,1,1.59564286294777
"Lasioglossum exiliceps","M_054",1,24,0.0416666666666667,-0.593486613708003
"Lasioglossum exiliceps","M_057",6,37,0.162162162162162,0.0480143725704077
"Lasioglossum exiliceps","M_055",2,12,0.166666666666667,-0.39114421043298
"Lasioglossum exiliceps","M_021",4,25,0.16,-0.0621039849336496
"Lasioglossum forbesii","M_032",1,6,0.166666666666667,-0.690849279707757
"Lasioglossum fratellum","M_047",5,13,0.384615384615385,0.887495382605181
"Lasioglossum fuscipenne","M_073",3,21,0.142857142857143,-0.153697874777553
"Lasioglossum gorkiense","M_055",1,12,0.0833333333333333,-0.736271454932668
"Lasioglossum harmandi","M_056",1,22,0.0454545454545455,-0.730844233103581
"Lasioglossum hirashimae","M_057",5,37,0.135135135135135,-0.074689023998412
"Lasioglossum hitchensi","M_073",1,21,0.0476190476190476,-0.567092158662006
"Lasioglossum imitatum","M_073",2,21,0.0952380952380952,-0.360395016719779
"Lasioglossum immunitum","M_016",8,14,0.571428571428571,1.84788923550065
"Lasioglossum japonicum","M_055",3,12,0.25,-0.0460169659332917
"Lasioglossum japonicum","M_057",7,37,0.189189189189189,0.170717769139227
"Lasioglossum japonicum","M_054",8,24,0.333333333333333,0.72727839367686
"Lasioglossum japonicum","M_021",2,25,0.08,-0.405154568376667
