"ID","familia","sp.armonizado","Grado","n.familia","GFE","n.plantas.ID","n.familias.ID","Grado.relativo","Grado.relativo.familias","Z_Grado"
"M_051","Apidae","Manuelia gayi",3,3,0.666666666666667,13,12,0.230769230769231,0.25,0.278308154308772
"M_051","Apidae","Manuelia postica",4,4,0.75,13,12,0.307692307692308,0.333333333333333,0.727882865115249
"M_051","Apidae","Svastrides melanura",1,1,0,13,12,0.0769230769230769,0.0833333333333333,-0.620841267304183
"M_051","Colletidae","Chilicola sp1 M PL 051",1,1,0,13,12,0.0769230769230769,0.0833333333333333,-0.620841267304183
"M_051","Colletidae","Chilicola sp2 M PL 051",1,1,0,13,12,0.0769230769230769,0.0833333333333333,-0.620841267304183
"M_051","Colletidae","Chilicola sp3 M PL 051",1,1,0,13,12,0.0769230769230769,0.0833333333333333,-0.620841267304183
"M_051","Colletidae","Colletes seminitidus",4,3,0.444444444444444,13,12,0.307692307692308,0.25,0.727882865115249
"M_051","Halictidae","Caenohalictus sp1 M PL 051",1,1,0,13,12,0.0769230769230769,0.0833333333333333,-0.620841267304183
"M_051","Halictidae","Caenohalictus sp2 M PL 051",1,1,0,13,12,0.0769230769230769,0.0833333333333333,-0.620841267304183
"M_051","Halictidae","Corynura prothysteres",3,3,0.666666666666667,13,12,0.230769230769231,0.25,0.278308154308772
"M_051","Halictidae","Corynura sp1 M PL 051",1,1,0,13,12,0.0769230769230769,0.0833333333333333,-0.620841267304183
"M_051","Halictidae","Evylaeus sp1 M PL 051",2,2,0.5,13,12,0.153846153846154,0.166666666666667,-0.171266556497706
"M_051","Halictidae","Ruizantheda mutabilis",6,6,0.833333333333333,13,12,0.461538461538462,0.5,1.6270322867282
"M_051","Halictidae","Ruizantheda nigrocaerulea",2,2,0.5,13,12,0.153846153846154,0.166666666666667,-0.171266556497706
"M_051","Halictidae","Ruizantheda proxima",1,1,0,13,12,0.0769230769230769,0.0833333333333333,-0.620841267304183
"M_051","Megachilidae","Megachile sp1 M PL 051",1,1,0,13,12,0.0769230769230769,0.0833333333333333,-0.620841267304183
"M_051","Megachilidae","Megachile sp2 M PL 051",1,1,0,13,12,0.0769230769230769,0.0833333333333333,-0.620841267304183
"M_053","Andrenidae","Andrena Knuthi",3,3,0.666666666666667,64,27,0.046875,0.111111111111111,-0.122263376201727
"M_053","Andrenidae","Andrena benefica",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Andrenidae","Andrena dentata",3,3,0.5,64,27,0.046875,0.111111111111111,-0.122263376201727
"M_053","Andrenidae","Andrena halictoides",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Andrenidae","Andrena hikosana",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Andrenidae","Andrena kaguya",2,2,0.5,64,27,0.03125,0.0740740740740741,-0.401722521805675
"M_053","Andrenidae","Andrena komachi",3,3,0.666666666666667,64,27,0.046875,0.111111111111111,-0.122263376201727
"M_053","Andrenidae","Andrena longitibialis",4,3,0.444444444444444,64,27,0.0625,0.111111111111111,0.157195769402221
"M_053","Andrenidae","Andrena mikado",4,2,0.375,64,27,0.0625,0.0740740740740741,0.157195769402221
"M_053","Andrenidae","Andrena minutula",2,2,0.5,64,27,0.03125,0.0740740740740741,-0.401722521805675
"M_053","Andrenidae","Andrena okabei",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Andrenidae","Andrena prostomias",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Andrenidae","Andrena sp1 M PL 053",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Andrenidae","Andrena taraxaci",2,2,0,64,27,0.03125,0.0740740740740741,-0.401722521805675
"M_053","Andrenidae","Andrena watasei",4,3,0.625,64,27,0.0625,0.111111111111111,0.157195769402221
"M_053","Apidae","Apis cerana",2,2,0,64,27,0.03125,0.0740740740740741,-0.401722521805675
"M_053","Apidae","Apis mellifera",11,7,0.8125,64,27,0.171875,0.259259259259259,2.11340978862986
"M_053","Apidae","Bombus ardens",9,6,0.78125,64,27,0.140625,0.222222222222222,1.55449149742196
"M_053","Apidae","Bombus diversus",13,6,0.763888888888889,64,27,0.203125,0.222222222222222,2.67232807983775
"M_053","Apidae","Bombus ignitus",10,6,0.76,64,27,0.15625,0.222222222222222,1.83395064302591
"M_053","Apidae","Ceratina flavipes",7,6,0.816326530612245,64,27,0.109375,0.222222222222222,0.995573206214065
"M_053","Apidae","Ceratina iwatai",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Apidae","Ceratina japonica",15,10,0.86734693877551,64,27,0.234375,0.37037037037037,3.23124637104565
"M_053","Apidae","Ceratina megastigmata",7,5,0.666666666666667,64,27,0.109375,0.185185185185185,0.995573206214065
"M_053","Apidae","Nomada asozuana",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Apidae","Nomada diervillae",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Apidae","Nomada japonica",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Apidae","Nomada muinensis",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Apidae","Nomada mutsuensis",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Apidae","Nomada sp1 M PL 053",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Apidae","Tetralonia nipponensis",6,5,0.777777777777778,64,27,0.09375,0.185185185185185,0.716114060610117
"M_053","Colletidae","Colletes perforator",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Halictidae","Lasioglossum apristum",2,2,0,64,27,0.03125,0.0740740740740741,-0.401722521805675
"M_053","Halictidae","Lasioglossum baleicum",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Halictidae","Lasioglossum occidens",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Halictidae","Lasioglossum sibiriacum",2,2,0,64,27,0.03125,0.0740740740740741,-0.401722521805675
"M_053","Halictidae","Lasioglossum sp1 M PL 053",10,4,0.493827160493827,64,27,0.15625,0.148148148148148,1.83395064302591
"M_053","Halictidae","Lasioglossum sp2 M PL 053",8,8,0.875,64,27,0.125,0.296296296296296,1.27503235181801
"M_053","Halictidae","Lasioglossum sp3 M PL 053",5,4,0.72,64,27,0.078125,0.148148148148148,0.436654915006169
"M_053","Halictidae","Lasioglossum sp4 M PL 053",4,4,0.75,64,27,0.0625,0.148148148148148,0.157195769402221
"M_053","Halictidae","Lasioglossum sp5 M PL 053",3,3,0.666666666666667,64,27,0.046875,0.111111111111111,-0.122263376201727
"M_053","Halictidae","Lasioglossum sp6 M PL 053",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Halictidae","Lasioglossum sp7 M PL 053",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Halictidae","Lasioglossum sp8 M PL 053",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Megachilidae","Coelioxys sp1 M PL 053",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Megachilidae","Megachile japonica",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Megachilidae","Megachile remota",1,1,0,64,27,0.015625,0.037037037037037,-0.681181667409623
"M_053","Megachilidae","Megachile tsurugensis",2,1,0,64,27,0.03125,0.037037037037037,-0.401722521805675
"M_054","Andrenidae","Andrena Knuthi",3,2,0,82,40,0.0365853658536585,0.05,-0.198162372409087
"M_054","Andrenidae","Andrena benefica",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Andrenidae","Andrena brassicae",1,1,0,82,40,0.0121951219512195,0.025,-0.587989990263029
"M_054","Andrenidae","Andrena japonica",2,2,0.5,82,40,0.024390243902439,0.05,-0.393076181336058
"M_054","Andrenidae","Andrena komachi",2,2,0.5,82,40,0.024390243902439,0.05,-0.393076181336058
"M_054","Andrenidae","Andrena opacifovea opacifovea",4,4,0.75,82,40,0.0487804878048781,0.1,-0.00324856348211617
"M_054","Andrenidae","Andrena protomias",4,3,0.625,82,40,0.0487804878048781,0.075,-0.00324856348211617
"M_054","Andrenidae","Andrena yamamotoi",2,2,0,82,40,0.024390243902439,0.05,-0.393076181336058
"M_054","Andrenidae","Panurginus crawfordi",2,1,0,82,40,0.024390243902439,0.025,-0.393076181336058
