"plantas","Amegilla.dulcifera.subflavescens","Andrena.amamiensis","Andrena.edashigei","Andrena.esakki","Andrena.hirashimai","Andrena.Knuthi","Andrena.opacifovea","Apis.cerana","Apis.mellifera","Ceratina.okinawana","Ceratina.satoi","Chalicodoma.disjunctiformis","Colletes.perforator","Hylaeus.insularum","Lasioglossum.amamiensis","Lasioglossum.nutilum","Lasioglossum.sp1.M.PL.044","Lasioglossum.sp2.M.PL.044","Lasioglossum.sp3.M.PL.044","Lasioglossum.subopacum","Megachile.nipponica.amamiensis","Megachile.okinawana","Nomia.pavonula","Tetralonia.okinawae.okinawae","Xylocopa.amamensis"
"Salsola.komarovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus.sieboldii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Euodia.meliifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
"Barringtonia.racemosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hibiscus.hamabo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schefflera.octophylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heritiera.littoralis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bidens.pilosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium.wrightii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Callicarpa.japonica",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Bredia.hirsuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Glochidion.zeylanicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PittosPorum.tobira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0
"Ajuga.dictyocarpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Ardisia.pusilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Aeginetia.indica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
