"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Andrena nigroaenea","M_016",2,14,0.142857142857143,-0.378322248309514
"Andrena nitida","M_006",2,10,0.2,-0.473656291508807
"Andrena nitida","M_007",1,10,0.1,-0.568903074579574
"Andrena nivalis","M_004",2,8,0.25,0.0406725917391042
"Andrena nobilis","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena nubecula","M_062",1,121,0.00826446280991736,-0.745924533890354
"Andrena optata","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena oralis","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena panurgimorpha","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena panurgina","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena personata","M_062",3,121,0.0247933884297521,-0.686743744424673
"Andrena personata","M_032",1,6,0.166666666666667,-1.03887107575156
"Andrena personata","M_025",1,7,0.142857142857143,-0.960555147841153
"Andrena pilipes","M_015",8,104,0.0769230769230769,0.239235076219052
"Andrena pruni","M_062",83,121,0.685950413223141,1.68048783420257
"Andrena rugosa","M_032",3,6,0.5,0.18333018983851
"Andrena rugothorace","M_015",17,104,0.163461538461538,1.19882765466754
"Andrena schmiedeknechti","M_015",6,104,0.0576923076923077,0.0259922810082784
"Andrena schulzi","M_015",13,104,0.125,0.772342064245988
"Andrena scita","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena simontornyella","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena spiraeana","M_062",71,121,0.586776859504132,1.32540309740848
"Andrena spiraeana","M_073",1,21,0.0476190476190476,-0.635644827936913
"Andrena subopaca","M_057",1,37,0.027027027027027,-1.01662370238696
"Andrena taraxaci","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena taraxaci","M_053",2,15,0.133333333333333,-0.983967366838245
"Andrena tarsata","M_047",1,13,0.0769230769230769,-0.633925273289415
"Andrena tomora","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena truncatilabris","M_015",4,104,0.0384615384615385,-0.187250514202496
"Andrena ventricosa","M_015",4,104,0.0384615384615385,-0.187250514202496
"Andrena vicina","M_033",8,11,0.727272727272727,0.740539214823096
"Andrena vicina","M_005",10,32,0.3125,0.195894977184883
"Andrena vicina","M_073",1,21,0.0476190476190476,-0.635644827936913
"Andrena villipes","M_016",2,14,0.142857142857143,-0.378322248309514
"Andrena violae","M_025",1,7,0.142857142857143,-0.960555147841153
"Andrena vulcana","M_039",1,13,0.0769230769230769,-1.04787366399117
"Andrena w scripta","M_004",2,8,0.25,0.0406725917391042
"Andrena westensis","M_015",8,104,0.0769230769230769,0.239235076219052
"Andrena wilkella","M_006",5,10,0.5,0.42379773450788
"Andrena wilkella","M_047",1,13,0.0769230769230769,-0.633925273289415
"Andrena wilkella","M_004",1,8,0.125,-0.488071100869251
"Andrena wollastoni","M_008",2,6,0.333333333333333,-0.818947559667426
"Anthidium chilensis","M_001",8,16,0.5,0.642769862789577
"Anthidium chubuti","M_022",3,3,1,NA
"Anthidium dalmaticum","M_015",1,104,0.00961538461538462,-0.507114707018657
"Anthidium decaspilum","M_001",4,16,0.25,-0.22583805989904
"Anthidium florentinum","M_015",7,104,0.0673076923076923,0.132613678613665
"Anthidium funereum","M_002",3,8,0.375,-0.0305796868740779
"Anthidium funereum","M_001",7,16,0.4375,0.425617882117422
"Anthidium manicatum","M_015",1,104,0.00961538461538462,-0.507114707018657
"Anthidium manicatum","M_008",1,6,0.166666666666667,-1.3970281900209
"Anthidium septemspinosum","M_054",3,23,0.130434782608696,-0.693375245281536
"Anthidium sp","M_003",7,7,1,1.3907589749183
"Anthidium sp","M_002",2,8,0.25,-0.458695303111167
"Anthidium sp","M_001",1,16,0.0625,-0.877294001915503
"Anthidium taeniatum","M_015",2,104,0.0192307692307692,-0.40049330941327
"Anthidium undulatum","M_015",1,104,0.00961538461538462,-0.507114707018657
"Anthophora abrupta","M_073",1,21,0.0476190476190476,-0.635644827936913
"Anthophora alluaudi","M_050",1,7,0.142857142857143,-1.09129925590283
"Anthophora alluaudi","M_039",6,13,0.461538461538462,0.261968415997792
"Anthophora alluaudi","M_008",6,6,1,1.49337496174648
"Anthophora alluaudi","M_012",8,8,1,1.72133698843348
"Anthophora atroalba","M_015",8,104,0.0769230769230769,0.239235076219052
"Anthophora canescens","M_015",2,104,0.0192307692307692,-0.40049330941327
"Anthophora dispar","M_016",2,14,0.142857142857143,-0.378322248309514
"Anthophora dufourii","M_015",4,104,0.0384615384615385,-0.187250514202496
"Anthophora incerta","M_001",3,16,0.1875,-0.442990040571195
"Anthophora orotavae","M_039",5,13,0.384615384615385,0
