"esp","ID","especie","Familia.planta","Genero.planta","Especie.planta.nuevo","interaccionn","interaccion","Aceptado","Bases.de.datos","sp.armonizado","genero.x","genero.y","orden","familia"
"Agapostemon texanus","M_062","Agapostemon.texanus","Plantaginaceae","Collinsia","Collinsia verna",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Rosaceae","Aruncus","Aruncus sylvester",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Boraginaceae","Cynoglossum","Cynoglossum officinale",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Araceae","Arisaema","Arisaema triphyllum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Sapindaceae","Acer","Acer negundo",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apocynaceae","Asclepias","Asclepias incarnata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asparagaceae","Asparagus","Asparagus officinalis",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Symphyotrichum","Symphyotrichum ericoides ",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Astragalus","Astragalus canadensis",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Amorpha","Amorpha fruticosa",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Arctium","Arctium minus",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Amphicarpa pitcheri",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Bidens","Bidens frondosa",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Bidens","Bidens aristosa",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Astragalus","Astragalus neomexicanus",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Bidens","Bidens connata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Onagraceae","Circaea","Circaea lutetiana",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Lamiaceae","Blephilia","Blephilia hirsuta",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Alismataceae","Alisma","Alisma plantago-aquatica",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Lythraceae","Cuphea","Cuphea viscosissima ",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apiaceae","Anethum","Anethum graveolens",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Cirsium","Cirsium pumilum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Lamiaceae","Agastache","Agastache scrophulariifolia",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Lamiaceae","Agastache","Agastache nepetoides",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apiaceae","Cicuta","Cicuta maculata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apiaceae","Cryptotaenia","Cryptotaenia canadensis",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Malvaceae","Abutilon","Abutilon theophrasti",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Sapindaceae","Aesculus","Aesculus glabra",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Cerastium vulgatum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Montiaceae","Claytonia","Claytonia virginica",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Brassicaceae","Cardamine","Cardamine bulbosa",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Aristolochiaceae","Isotrema","Isotrema tomentosum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Brassicaceae","Capsella","Capsella bursa-pastoris",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Caryophyllaceae","Cerastium","Cerastium nutans",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Cornaceae","Cornus","Cornus amomum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Rosaceae","Amelanchier","Amelanchier canadensis",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Convolvulaceae","Cuscuta","Cuscuta glomerata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Convolvulaceae","Convolvulus","Convolvulus sepium",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Dentaria laciniata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Asiminia triloba",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Rosaceae","Crataegus","Crataegus coccinea",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Rosaceae","Crataegus","Crataegus crus-galli",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Brauneria pallida",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Apios","Apios americana",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Brauneria purpurea",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Cirsium","Cirsium altissimum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Cucurbitaceae","Cucurbita","Cucurbita melopepo",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Berberidaceae","Caulophyllum","Caulophyllum thalictroides",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Brassicaceae","Planodes","Planodes virginicum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Amorpha","Amorpha canescens",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Bidens","Bidens bipinnata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Sapindaceae","Aesculus","Aesculus hippocastanum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Crotalaria","Crotalaria sagittalis",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Baptisia","Baptisia bracteata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Brassicaceae","Arabis","Arabis laevigata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Rosaceae","Agrimonia","Agrimonia striata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Desmodium","Desmodium canadense",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Apiaceae","Chaerophyllum","Chaerophyllum procumbens",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Senna","Senna marilandica",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Cirsium","Cirsium vulgare",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Symphyotrichum","Symphyotrichum undulatum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Cirsium","Cirsium discolor",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Desmodium","Desmodium cuspidatum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Convolvulaceae","Cuscuta","Cuscuta cephalanthi",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Campanula americana",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Chrysanthemum leucanthemum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Symphyotrichum","Symphyotrichum novae-angliae",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Ascerates floridana",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Antennaria","Antennaria plantaginifolia",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Symphyotrichum","Symphyotrichum pilosum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Rosaceae","Crataegus","Crataegus mollis",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Brassicaceae","Arabis","Borodinia dentata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Comandraceae","Comandra","Comandra umbellata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Symphyotrichum","Symphyotrichum lanceolatum var. lanceolatum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Celastraceae","Celastrus","Celastrus scandens",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Ascerates viridiflora",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Rhamnaceae","Ceanothus","Ceanothus americanus",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asparagaceae","Camassia","Camassia scilloides",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Baptisia","Baptisia lactea var. lactea",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
