"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Lasioglossum pallens","M_016",1,9,0.111111111111111,-0.727545137374849
"Lasioglossum pauxillum","M_015",9,38,0.236842105263158,0.674429133712926
"Lasioglossum percrassicepes","M_055",3,12,0.25,-0.046777570019725
"Lasioglossum politum","M_015",6,38,0.157894736842105,0.174877802233414
"Lasioglossum prasinum","M_016",9,9,1,2.90162119494205
"Lasioglossum problematicum","M_056",7,22,0.318181818181818,0.252148974185826
"Lasioglossum problematicum","M_057",1,37,0.027027027027027,-0.526844277609662
"Lasioglossum problematicum","M_021",5,25,0.2,0.13848728005531
"Lasioglossum proximatum","M_054",1,24,0.0416666666666667,-0.565655243280164
"Lasioglossum proximatum","M_056",1,22,0.0454545454545455,-0.667453166962479
"Lasioglossum proximatum","M_021",3,25,0.12,-0.216040156886283
"Lasioglossum punctatissimum","M_047",6,8,0.75,1.64415172062984
"Lasioglossum punctatissimum","M_016",7,9,0.777777777777778,1.99432961186282
"Lasioglossum quadrinotatum","M_049",4,11,0.363636363636364,-0.103039410451396
"Lasioglossum quadrinotatum","M_015",3,38,0.0789473684210526,-0.324673529246099
"Lasioglossum scitulum","M_054",2,24,0.0833333333333333,-0.36460910259625
"Lasioglossum scitulum","M_055",1,12,0.0833333333333333,-0.725052335305738
"Lasioglossum sexmaculatum","M_047",1,8,0.125,-0.742520131897348
"Lasioglossum sexstrigatum","M_021",2,25,0.08,-0.393303875357079
"Lasioglossum sexstrigatum","M_057",1,37,0.027027027027027,-0.526844277609662
"Lasioglossum sibiriacum","M_053",2,15,0.133333333333333,-0.371424708162977
"Lasioglossum sibiriacum","M_055",12,12,1,3.00545887376733
"Lasioglossum sibiriacum","M_057",10,37,0.27027027027027,0.655037840707562
"Lasioglossum sibiriacum","M_054",1,24,0.0416666666666667,-0.565655243280164
"Lasioglossum sordidum","M_028",10,10,1,2.53426230308936
"Lasioglossum sordidum","M_029",3,11,0.272727272727273,-0.140133729828509
"Lasioglossum sp K1","M_056",2,22,0.0909090909090909,-0.514186143437762
"Lasioglossum sp K2","M_056",1,22,0.0454545454545455,-0.667453166962479
"Lasioglossum sp1 M PL 015","M_015",1,38,0.0263157894736842,-0.65770775023244
"Lasioglossum sp1 M PL 016","M_016",6,9,0.666666666666667,1.54068382032321
"Lasioglossum sp1 M PL 019","M_019",7,13,0.538461538461538,1.21675228986237
"Lasioglossum sp1 M PL 021","M_021",9,25,0.36,0.847542153938495
"Lasioglossum sp1 M PL 027","M_027",4,6,0.666666666666667,0.307793505625546
"Lasioglossum sp1 M PL 028","M_028",8,10,0.8,1.78026690712889
"Lasioglossum sp1 M PL 029","M_029",9,11,0.818181818181818,1.5414710281136
"Lasioglossum sp1 M PL 044","M_044",3,21,0.142857142857143,-0.288240634054852
"Lasioglossum sp1 M PL 047","M_047",4,8,0.5,0.689482979618966
"Lasioglossum sp1 M PL 053","M_053",10,15,0.666666666666667,1.95617012965835
"Lasioglossum sp1 M PL 054","M_054",7,24,0.291666666666667,0.640621600823318
"Lasioglossum sp1 M PL 056","M_056",1,22,0.0454545454545455,-0.667453166962479
"Lasioglossum sp1 M PL 057","M_057",14,37,0.378378378378378,1.18031878218188
"Lasioglossum sp1 M PL 058","M_058",14,22,0.636363636363636,1.63615305063794
"Lasioglossum sp10 M PL 019","M_019",1,13,0.0769230769230769,-0.588751107997919
