"plantas","Apis.mellifera","Bombus.ruderatus","Halictus.sp"
"Lotus.corniculatus",9,47,0
"Freesia.refracta",0,11,0
"Crithmum.maritimum",0,0,0
"Chamomilla.suaveolens",0,0,21
"Azorina.vidalii",89,9,98
"Reseda.luteola",9,0,11
"Silene.vulgaris",0,0,7
"Solidago.sempervivens",0,0,141
"Beta.vulgaris",0,0,0
"Daucus.carota",0,0,11
