"plantas","Apis.mellifera"
"Asclepias.woodii",0
"Miraglossum.verticillare",0
"Pachycarpus.natalensis",0
"Sisyranthus.trichostomus",1
"Asclepias.cucullata",0
"Xysmalobium.gerrardii",3
"Miraglossum.pilosum",0
"Xysmalobium.involucratum",0
"Aspidonepsis.diploglossa",1
