"ID","DIT.final","Localidad","Latitud","Longitud","sp.armonizado.x","familia","Grado","n.familia","GFE","n.plantas.ID","n.familias.ID","Grado.relativo","Grado.relativo.familias","Z_Grado","Family","Genus","cuantil.grado","cuantil.latitud","sp.armonizado.y","cuantil","T3"
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Mesonychium gayi",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Caupolicana dimidiata",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Isepeolus niveiventris",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Corynura sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Caenohalictus sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Anthidium adriani",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Chilicola sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Anthophora sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Caenohalictus sp2",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Colletes fulvipes",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Alloscirtetica sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Tapinotaspis herbsti",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Centris sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Megachile sp1",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Anthidium gayi",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Coelioxys sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Anthidium sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Liphanthus sp2",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Dialictus sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Colletes sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Svastrides melanura",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Tapinotaspis caerulea",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Svastrides melanura","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Caenohalictus sp3",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Megachile sp2",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Mesonychium gayi",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Caupolicana dimidiata",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Isepeolus niveiventris",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Corynura sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Caenohalictus sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Anthidium adriani",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Chilicola sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Anthophora sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Caenohalictus sp2",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Colletes fulvipes",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Alloscirtetica sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Tapinotaspis herbsti",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Centris sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Megachile sp1",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Anthidium gayi",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Coelioxys sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Anthidium sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Liphanthus sp2",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Dialictus sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Colletes sp",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Svastrides melanura",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Tapinotaspis caerulea",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Centris sp","Apidae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978,NA,NA,1,1,"Caenohalictus sp3",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Caenohalictus sp","Halictidae",11,7,0.78125,44,17,0.25,0.411764705882353,1.73593896679511,NA,NA,3,1,"Megachile sp2",NA,NA
"M_001",NA,"Cordon del Cepo",-33.28,-70.27,"Caenohalictus sp","Halictidae",11,7,0.78125,44,17,0.25,0.411764705882353,1.73593896679511,NA,NA,3,1,"Mesonychium gayi",NA,NA
