"","Agapostemon angelicus/texanus","Bombus mixtus","Halictus tripartitus","Hoplitis fulgida","Hoplitis robusta","Hylaeus personatellus","Lasioglossum (Dialictus) aff. knereri","Lasioglossum (Dialictus) hudsoniellum","Lasioglossum (Dialictus) lazulis","Lasioglossum (Dialictus) mixed spp.","Lasioglossum (Dialictus) ruidosense","Lasioglossum inconditum","Lasioglossum sp. 1","Melissodes confusus","Osmia spp.","Panurginus ineptus","Panurginus spp.","Andrena medionitens","Andrena salicifloris","Andrena sp. 2","Andrena sp. 3","Andrena sp. A","Andrena sp. C","Bombus appositus","Bombus bifarius","Bombus californicus","Bombus flavifrons","Bombus melanopygus","Bombus nevadensis","Bombus occidentalis","Bombus rufocinctus","Bombus sylvicola","Colletes fulgidus","Dufourea fimbriata","Dufourea maura","Halictus ligatus","Hylaeus annulatus","Lasioglossum (Dialictus) pruinosum","Lasioglossum (Dialictus) semicaeruleum","Lasioglossum (Dialictus) tenax","Lasioglossum sisymbrii","Lasioglossum sp.","Megachile frigida","Megachile inermis","Megachile melanophaea","Megachile relativa","Osmia bucephala","Osmia sp. A","Osmia sp. B","Panurginus cressoniellus","Pseudopanurgus bakeri","Pseudopanurgus didirupa","Sphecodes sp.","Andrena amphibola","Andrena angustitarsata","Andrena cyanophila","Andrena sp. 9","Andrena thaspii","Andrena topazana","Andrena vicinoides","Augochlorella aurata","Coelioxys sodalis","Colletes nigrifrons","Halictus virgatellus","Hylaeus modestus","Lasioglossum (Dialictus) pacatum","Lasioglossum aff. boreale","Lasioglossum foxii","Osmia inermis","Osmia pusilla","Osmia sp. D","Osmia sp. E","Osmia subaustralis","Bombus insularis","Colletes sp.","Epeolus sp.","Hoplitis albifrons","Hylaeus annullatus","Lasioglossum (Dialictus) perpunctatum","Lasioglossum (Hemihalictus) spp.","Lasioglossum heterorhinum","Megachile pugnata","Nomada spp.","Stelis nitida","Apis mellifera","Halictus confusus","Osmia nigriventris","Osmia sp. C","Osmia sp. F","Stelis sp.","Anthophora bomboides","Anthophora montana","Anthophora terminalis","Anthophora urbana","Bombus fernaldae","Lasioglossum (Hemihalictus) sp.","Melissodes sp. 1","Osmia paradisica","Andrena crategi","Andrena sp. 5","Colletes spp.","Hylaeus basalis","Hylaeus coloradensis"
"Heterotheca villosa",14,21,0,0,0,3,1,0,0,0,0,1,0,3,0,0,1,0,0,1,1,0,0,0,93,1,31,5,0,0,4,4,0,1,0,2,0,0,0,4,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0
"Potentilla fissa",0,1,0,5,1,7,4,2,1,1,7,0,0,0,1,20,2,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,21,0,0,4,0,1,4,0,9,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,1,8,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"Potentilla fruticosa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla pulcherrima",0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sedum lanceolatum",0,5,0,4,0,1,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Symphyotrichum porteri",0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taraxacum officinale",0,0,1,0,0,0,3,0,0,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,3,0,9,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermopsis rhombifolia var. divaricarpa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,9,2,0,15,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chamerion angustifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium centaureae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
