"Genero.original","Genero.especie","Orden.GBIF","Familia.GBIF","Genero.GBIF","genero.es.igual"
"Cypripedium","Cypripedium.acaule","Asparagales","Orchidaceae","Calceolaria",FALSE
"Cyrilla","Cyrilla.racemiflora","Lamiales","Gesneriaceae","Cyrilla",TRUE
"Cyrilla","Cyrilla.racemiflora","Ericales","Cyrillaceae","Cyrilla",TRUE
"Cytisus","Cytisus.grandiflorus","Fabales","Fabaceae","Cytisus",TRUE
"Cytisus","Cytisus.grandiflorus","Fabales","Fabaceae","Spartocytisus",FALSE
"Cytisus","Cytisus.scoparius","Fabales","Fabaceae","Cytisus",TRUE
"Cytisus","Cytisus.scoparius","Fabales","Fabaceae","Spartocytisus",FALSE
"Cytisus","Cytisus.monspessulanus","Fabales","Fabaceae","Cytisus",TRUE
"Cytisus","Cytisus.monspessulanus","Fabales","Fabaceae","Spartocytisus",FALSE
"Daphne","Daphne.gnidium","Malvales","Thymelaeaceae","Thymelaea",FALSE
"Daphne","Daphne.gnidium","Malvales","Thymelaeaceae","Daphne",TRUE
"Daphnopsis","Daphnopsis.americana","Malvales","Thymelaeaceae","Daphnopsis",TRUE
"Darwiniothamnus","Darwiniothamnus.tenuifolius",NA,NA,NA,TRUE
"Dasyphora","Dasyphora.fruticosa",NA,NA,NA,TRUE
"Datura","Datura.stramonium","Solanales","Solanaceae","Datura",TRUE
"Datura","Datura.tatula","Solanales","Solanaceae","Datura",TRUE
"Daucus","Daucus.carota.carota","Apiales","Apiaceae","Daucus",TRUE
"Daucus","Daucus.guttatus","Apiales","Apiaceae","Daucus",TRUE
"Daucus","Daucus.carota","Apiales","Apiaceae","Daucus",TRUE
"Deckenia","Deckenia.nobilis","Arecales","Arecaceae","Deckenia",TRUE
"Declieuxia","Declieuxia.fruticosa","Gentianales","Rubiaceae","Declieuxia",TRUE
"Delphinium","Delphinium.peregrinum","Ranunculales","Ranunculaceae","Delphinium",TRUE
"Delphinium","Delphinium.tricorne","Ranunculales","Ranunculaceae","Delphinium",TRUE
"Delphinium","Delphinium.scopulorum","Ranunculales","Ranunculaceae","Delphinium",TRUE
"Dendropanax","Dendropanax.trifidus","Apiales","Araliaceae","Dendropanax",TRUE
"Dendropanax","Dendropanax.arboreus.","Apiales","Araliaceae","Dendropanax",TRUE
"Dendropanax","Dendropanax.sp1.M.PL.040","Apiales","Araliaceae","Dendropanax",TRUE
"Dentaria","Dentaria.laciniata",NA,NA,NA,TRUE
"Desmodium","Desmodium.adscendens","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.canescens","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.paniculatum","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.bracteosum","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.sessilifolium","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.grandiflorum","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.marilandicum","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.canadense","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.dillenii","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.illinoense","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.podocarpum","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.padocarpum","Fabales","Fabaceae","Desmodium",TRUE
"Desmodium","Desmodium.barbatum","Fabales","Fabaceae","Desmodium",TRUE
"Deutzia","Deutzia.maximowicziana","Cornales","Hydrangeaceae","Deutzia",TRUE
"Deutzia","Deutzia.scabra","Cornales","Hydrangeaceae","Deutzia",TRUE
"Deutzia","Deutzia.gracilis","Cornales","Hydrangeaceae","Deutzia",TRUE
"Deutzia","Deutzia.naseana","Cornales","Hydrangeaceae","Deutzia",TRUE
"Deutzia","Deutzia.crenata","Cornales","Hydrangeaceae","Deutzia",TRUE
"Dianthera","Dianthera.americana","Lamiales","Acanthaceae","Dianthera",TRUE
"Dianthus","Dianthus.superbus","Caryophyllales","Caryophyllaceae","Dianthus",TRUE
"Dianthus","Dianthus.superbus.longicalycinus","Caryophyllales","Caryophyllaceae","Dianthus",TRUE
"Dianthus","Dianthus.caryophillus","Caryophyllales","Caryophyllaceae","Dianthus",TRUE
"Diapensia","Diapensia.lapponica","Ericales","Diapensiaceae","Diapensia",TRUE
"Dicella","Dicella.bracteosa","Malpighiales","Malpighiaceae","Dicella",TRUE
"Dicentra","Dicentra.canadensis","Ranunculales","Fumariaceae","Dicentra",TRUE
"Dicentra","Dicentra.canadensis","Ranunculales","Papaveraceae","Dicentra",TRUE
"Dicentra","Dicentra.cucullaria","Ranunculales","Fumariaceae","Dicentra",TRUE
"Dicentra","Dicentra.cucullaria","Ranunculales","Papaveraceae","Dicentra",TRUE
"Digitalis","Digitalis.purpurea","Lamiales","Plantaginaceae","Digitalis",TRUE
"Digitaria","Digitaria.ciliaris","Poales","Poaceae","Sanguinaria",FALSE
"Digitaria","Digitaria.ciliaris","Poales","Poaceae","Digitaria",TRUE
"Digomphia","Digomphia.laurifolia","Lamiales","Bignoniaceae","Digomphia",TRUE
"Dillenia","Dillenia.suffruticosa","Dilleniales","Dilleniaceae","Dillenia",TRUE
"Dillenia","Dillenia.ferruginea","Dilleniales","Dilleniaceae","Dillenia",TRUE
"Diodia","Diodia.multiflora","Gentianales","Rubiaceae","Diodia",TRUE
"Diodia","Diodia.radula","Gentianales","Rubiaceae","Diodia",TRUE
"Dioscorea","Dioscorea.asclepiadea","Dioscoreales","Dioscoreaceae","Dioscorea",TRUE
"Diospyros","Diospyros.revaughanii","Ericales","Ebenaceae","Idesia",FALSE
"Diospyros","Diospyros.revaughanii","Ericales","Ebenaceae","Ebenus",FALSE
"Diospyros","Diospyros.revaughanii","Ericales","Ebenaceae","Diospyros",TRUE
"Diospyros","Diospyros.virginiana","Ericales","Ebenaceae","Idesia",FALSE
"Diospyros","Diospyros.virginiana","Ericales","Ebenaceae","Ebenus",FALSE
"Diospyros","Diospyros.virginiana","Ericales","Ebenaceae","Diospyros",TRUE
"Diospyros","Diospyros.seychellarum","Ericales","Ebenaceae","Idesia",FALSE
"Diospyros","Diospyros.seychellarum","Ericales","Ebenaceae","Ebenus",FALSE
"Diospyros","Diospyros.seychellarum","Ericales","Ebenaceae","Diospyros",TRUE
"Diospyrus","Diospyrus.japonica",NA,NA,NA,TRUE
"Diplopterys","Diplopterys.pubipetala","Malpighiales","Malpighiaceae","Diplopterys",TRUE
"Dipsacus","Dipsacus.japonicus","Dipsacales","Caprifoliaceae","Dipsacus",TRUE
"Dipsacus","Dipsacus.sylvestris","Dipsacales","Caprifoliaceae","Dipsacus",TRUE
"Dirca","Dirca.palustris","Malvales","Thymelaeaceae","Dirca",TRUE
"Discaria","Discaria.nana","Rosales","Rhamnaceae","Discaria",TRUE
"Discaria","Discaria.trinervis","Rosales","Rhamnaceae","Discaria",TRUE
"Discaria","Discaria.toumatou","Rosales","Rhamnaceae","Discaria",TRUE
"Discaria","Discaria.longispina","Rosales","Rhamnaceae","Discaria",TRUE
"Disporum","Disporum.sessile","Asparagales","Asparagaceae","Disporum",TRUE
"Disporum","Disporum.sessile","Liliales","Colchicaceae","Disporum",TRUE
"Dittrichia","Dittrichia.graveolens","Asterales","Asteraceae","Dittrichia",TRUE
"Dodecatheon","Dodecatheon.meadia","Ericales","Primulaceae","Dodecatheon",TRUE
"Dodonaea","Dodonaea.viscosa","Sapindales","Sapindaceae","Dodonaea",TRUE
"Donatia","Donatia.novae-zelandiae","Asterales","Stylidiaceae","Donatia",TRUE
"Donatia","Donatia.novae-zelandiae","Asterales","Stylidiaceae","Orites",FALSE
"Doratoxylon","Doratoxylon.apetalum","Sapindales","Sapindaceae","Doratoxylon",TRUE
"Doratoxylon","Doratoxylon.apetalum.var.diphyllum","Sapindales","Sapindaceae","Doratoxylon",TRUE
"Dorychnium","Dorychnium.pentaphylum","Fabales","Fabaceae","Dorychnium",TRUE
"Draba","Draba.sp1.M.PL.020","Brassicales","Brassicaceae","Draba",TRUE
"Draba","Draba.lactea","Brassicales","Brassicaceae","Draba",TRUE
"Draba","Draba.cinerea","Brassicales","Brassicaceae","Draba",TRUE
"Draba","Draba.oblongata","Brassicales","Brassicaceae","Draba",TRUE
"Draba","Draba.bellii","Brassicales","Brassicaceae","Draba",TRUE
"Draba","Draba.aurea","Brassicales","Brassicaceae","Draba",TRUE
"Draba","Draba.gilliesii","Brassicales","Brassicaceae","Draba",TRUE
"Draba","Draba.arctica","Brassicales","Brassicaceae","Draba",TRUE
"Draba","Draba.tenuis","Brassicales","Brassicaceae","Draba",TRUE
"Dracaena","Dracaena.reflexa.var.angustifolia","Asparagales","Asparagaceae","Dracaena",TRUE
"Dracaena","Dracaena.concinna","Asparagales","Asparagaceae","Dracaena",TRUE
"Dracaena","Dracaena.reflexa","Asparagales","Asparagaceae","Dracaena",TRUE
"Dracophyllum","Dracophyllum.pronum","Ericales","Ericaceae","Dracophyllum",TRUE
"Dracuphyllum","Dracuphyllum.acerosum",NA,NA,NA,TRUE
"Drapetes","Drapetes.dieffenbachii","Malvales","Thymelaeaceae","Drapetes",TRUE
"Dryas","Dryas.integrifolia","Rosales","Rosaceae","Dryas",TRUE
"Dryas","Dryas.octopetala","Rosales","Rosaceae","Dryas",TRUE
"Dryas","Dryas.sp1.M.PL.014","Rosales","Rosaceae","Dryas",TRUE
"Drymocallis","Drymocallis.fissa","Rosales","Rosaceae","Drymocallis",TRUE
"Duchesnea","Duchesnea.chrysantha","Rosales","Rosaceae","Duchesnea",TRUE
"Ebenus","Ebenus.sibthorpii","Ericales","Ebenaceae","Ebenus",TRUE
"Ebenus","Ebenus.sibthorpii","Fabales","Fabaceae","Ebenus",TRUE
"Ecballium","Ecballium.elaterium","Cucurbitales","Cucurbitaceae","Ecballium",TRUE
"Echinocystis","Echinocystis.lobata","Cucurbitales","Cucurbitaceae","Echinocystis",TRUE
"Echinops","Echinops.setifer","Asterales","Asteraceae","Echinops",TRUE
"Echinops","Echinops.microcephalus","Asterales","Asteraceae","Echinops",TRUE
"Echium","Echium.plantagineum","Boraginales","Boraginaceae","Echium",TRUE
"Echium","Echium.bonnetii","Boraginales","Boraginaceae","Echium",TRUE
"Echium","Echium.angustifolium","Boraginales","Boraginaceae","Echium",TRUE
"Echium","Echium.wildpretii","Boraginales","Boraginaceae","Echium",TRUE
"Echium","Echium.aculeatum","Boraginales","Boraginaceae","Echium",TRUE
"Echium","Echium.vulgare","Boraginales","Boraginaceae","Echium",TRUE
"Edgeworthia","Edgeworthia.chrysantha","Malvales","Thymelaeaceae","Edgeworthia",TRUE
"Ehretia","Ehretia.tinifolia","Boraginales","Boraginaceae","Ehretia",TRUE
"Ehretia","Ehretia.tinifolia","Boraginales","Ehretiaceae","Ehretia",TRUE
"Elaeagnus","Elaeagnus.multiflora","Rosales","Elaeagnaceae","Elaeagnus",TRUE
"Elaeagnus","Elaeagnus.montana","Rosales","Elaeagnaceae","Elaeagnus",TRUE
"Elaeocarpus","Elaeocarpus.japonicus","Oxalidales","Elaeocarpaceae","Elaeocarpus",TRUE
"Elaeocarpus","Elaeocarpus.sylvestris","Oxalidales","Elaeocarpaceae","Elaeocarpus",TRUE
"Elephantella","Elephantella.groenlandica",NA,NA,NA,TRUE
"Ellisia","Ellisia.nyctelaea","Gentianales","Gentianaceae","Ellisia",TRUE
"Ellisia","Ellisia.nyctelaea","Boraginales","Hydrophyllaceae","Ellisia",TRUE
"Embelia","Embelia.angustifolia","Ericales","Primulaceae","Embelia",TRUE
"Embothrium","Embothrium.coccineum","Proteales","Proteaceae","Embothrium",TRUE
"Empetrum","Empetrum.nigrum","Ericales","Ericaceae","Empetrum",TRUE
"Encelia","Encelia.hispida","Asterales","Asteraceae","Encelia",TRUE
"Enkianthus","Enkianthus.perulatus","Ericales","Ericaceae","Enkianthus",TRUE
"Enkianthus","Enkianthus.campanulatus","Ericales","Ericaceae","Enkianthus",TRUE
"Epacris","Epacris.microphylla","Ericales","Ericaceae","Epacris",TRUE
"Epacris","Epacris.petrophila","Ericales","Ericaceae","Epacris",TRUE
"Epidendrum","Epidendrum.ibaguense","Asparagales","Orchidaceae","Epidendrum",TRUE
"Epilobium","Epilobium.sp1.M.PL.029","Myrtales","Onagraceae","Epilobium",TRUE
"Epilobium","Epilobium.sp1.M.PL.029","Myrtales","Onagraceae","Chamaenerium",FALSE
"Epilobium","Epilobium.sp1.M.PL.029","Myrtales","Onagraceae","Chamerion",FALSE
"Epilobium","Epilobium.sp1.M.PL.028","Myrtales","Onagraceae","Epilobium",TRUE
"Epilobium","Epilobium.sp1.M.PL.028","Myrtales","Onagraceae","Chamaenerium",FALSE
"Epilobium","Epilobium.sp1.M.PL.028","Myrtales","Onagraceae","Chamerion",FALSE
"Epilobium","Epilobium.gunnianum","Myrtales","Onagraceae","Epilobium",TRUE
"Epilobium","Epilobium.gunnianum","Myrtales","Onagraceae","Chamaenerium",FALSE
"Epilobium","Epilobium.gunnianum","Myrtales","Onagraceae","Chamerion",FALSE
"Epilobium","Epilobium.hirsutum","Myrtales","Onagraceae","Epilobium",TRUE
"Epilobium","Epilobium.hirsutum","Myrtales","Onagraceae","Chamaenerium",FALSE
"Epilobium","Epilobium.hirsutum","Myrtales","Onagraceae","Chamerion",FALSE
"Epilobium","Epilobium.latifolium","Myrtales","Onagraceae","Epilobium",TRUE
"Epilobium","Epilobium.latifolium","Myrtales","Onagraceae","Chamaenerium",FALSE
"Epilobium","Epilobium.latifolium","Myrtales","Onagraceae","Chamerion",FALSE
"Epilobium","Epilobium.nivale.","Myrtales","Onagraceae","Epilobium",TRUE
"Epilobium","Epilobium.nivale.","Myrtales","Onagraceae","Chamaenerium",FALSE
"Epilobium","Epilobium.nivale.","Myrtales","Onagraceae","Chamerion",FALSE
"Epilobium","Epilobium.sp1.M.PL.014","Myrtales","Onagraceae","Epilobium",TRUE
"Epilobium","Epilobium.sp1.M.PL.014","Myrtales","Onagraceae","Chamaenerium",FALSE
"Epilobium","Epilobium.sp1.M.PL.014","Myrtales","Onagraceae","Chamerion",FALSE
"Epilobium","Epilobium.angustifolium","Myrtales","Onagraceae","Epilobium",TRUE
"Epilobium","Epilobium.angustifolium","Myrtales","Onagraceae","Chamaenerium",FALSE
"Epilobium","Epilobium.angustifolium","Myrtales","Onagraceae","Chamerion",FALSE
"Epilobium","Epilobium.montanum","Myrtales","Onagraceae","Epilobium",TRUE
"Epilobium","Epilobium.montanum","Myrtales","Onagraceae","Chamaenerium",FALSE
"Epilobium","Epilobium.montanum","Myrtales","Onagraceae","Chamerion",FALSE
"Epimedium","Epimedium.grandiflorum","Ranunculales","Berberidaceae","Epimedium",TRUE
"Epimedium","Epimedium.diphyllum","Ranunculales","Berberidaceae","Epimedium",TRUE
"Epistephium","Epistephium.duckei","Asparagales","Orchidaceae","Epistephium",TRUE
"Equium","Equium.sabulicola",NA,NA,NA,TRUE
"Erechthites","Erechthites.hieracifolia",NA,NA,NA,TRUE
"Erica","Erica.ciliaris","Ericales","Ericaceae","Erica",TRUE
"Erica","Erica.arborea","Ericales","Ericaceae","Erica",TRUE
"Erica","Erica.tetralix","Ericales","Ericaceae","Erica",TRUE
"Erica","Erica.manipuliflora","Ericales","Ericaceae","Erica",TRUE
"Erigenia","Erigenia.bulbosa","Apiales","Apiaceae","Erigenia",TRUE
"Erigeron","Erigeron.canadensis","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.canadensis","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.canadensis","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Erigeron","Erigeron.pulchellus","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.pulchellus","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.pulchellus","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Erigeron","Erigeron.uniflorus","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.uniflorus","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.uniflorus","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Erigeron","Erigeron.eriocephalus","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.eriocephalus","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.eriocephalus","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Erigeron","Erigeron.philadelphicus","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.philadelphicus","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.philadelphicus","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Erigeron","Erigeron.annuus","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.annuus","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.annuus","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Erigeron","Erigeron.compositus","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.compositus","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.compositus","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Erigeron","Erigeron.sp1.M.PL.014","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.sp1.M.PL.014","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.sp1.M.PL.014","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Erigeron","Erigeron.andicola","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.andicola","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.andicola","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Erigeron","Erigeron.ramosus","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.ramosus","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.ramosus","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Erigeron","Erigeron.macranthus","Asterales","Asteraceae","Erigeron",TRUE
"Erigeron","Erigeron.macranthus","Asterales","Asteraceae","Stenactis",FALSE
"Erigeron","Erigeron.macranthus","Asterales","Asteraceae","Darwiniothamnus",FALSE
"Eriobotrya","Eriobotrya.japonica",NA,NA,NA,TRUE
"Eriopsis","Eriopsis.biloba","Asparagales","Orchidaceae","Eriopsis",TRUE
"Erodium","Erodium.cicutarium","Geraniales","Geraniaceae","Erodium",TRUE
"Erodium","Erodium.malacoides","Geraniales","Geraniaceae","Erodium",TRUE
"Eruca","Eruca.vesicaria","Brassicales","Brassicaceae","Eruca",TRUE
"Eryngium","Eryngium.stenophyllum","Apiales","Apiaceae","Eryngium",TRUE
"Eryngium","Eryngium.horridum","Apiales","Apiaceae","Eryngium",TRUE
"Eryngium","Eryngium.campestre","Apiales","Apiaceae","Eryngium",TRUE
"Eryngium","Eryngium.yuccifolium","Apiales","Apiaceae","Eryngium",TRUE
"Eryngium","Eryngium.floribundum","Apiales","Apiaceae","Eryngium",TRUE
"Eryngium","Eryngium.nudicaule","Apiales","Apiaceae","Eryngium",TRUE
"Erysimum","Erysimum.scoparium","Brassicales","Brassicaceae","Erysimum",TRUE
"Erysimum","Erysimum.asperum","Brassicales","Brassicaceae","Erysimum",TRUE
"Erysimum","Erysimum.sp1.M.PL.014","Brassicales","Brassicaceae","Erysimum",TRUE
"Erysimum","Erysimum.pallasii","Brassicales","Brassicaceae","Erysimum",TRUE
"Erysimum","Erysimum.cheiranthoides","Brassicales","Brassicaceae","Erysimum",TRUE
"Erythronium","Erythronium.albidum","Liliales","Liliaceae","Erythronium",TRUE
"Erythronium","Erythronium.umbilicatum","Liliales","Liliaceae","Erythronium",TRUE
"Erythrospermum","Erythrospermum.monticolum","Malpighiales","Achariaceae","Erythrospermum",TRUE
"Erythroxylum","Erythroxylum.macrocarpum","Malpighiales","Erythroxylaceae","Erythroxylum",TRUE
"Erythroxylum","Erythroxylum.sechellarum","Malpighiales","Erythroxylaceae","Erythroxylum",TRUE
"Eucryphia","Eucryphia.cordifolia","Oxalidales","Cunoniaceae","Eucryphia",TRUE
"Eugenia","Eugenia.orbiculata","Myrtales","Myrtaceae","Monimiastrum",FALSE
"Eugenia","Eugenia.orbiculata","Myrtales","Myrtaceae","Eugenia",TRUE
"Eulophus","Eulophus.americanus",NA,NA,NA,TRUE
"Euodia","Euodia.chapelieri.var.chapelieri","Laurales","Lauraceae","Euodia",TRUE
"Euodia","Euodia.chapelieri.var.chapelieri","Sapindales","Rutaceae","Euodia",TRUE
"Euodia","Euodia.obtusifolia.ssp.gigas.var.gigas","Laurales","Lauraceae","Euodia",TRUE
"Euodia","Euodia.obtusifolia.ssp.gigas.var.gigas","Sapindales","Rutaceae","Euodia",TRUE
"Euodia","Euodia.chapelieri","Laurales","Lauraceae","Euodia",TRUE
"Euodia","Euodia.chapelieri","Sapindales","Rutaceae","Euodia",TRUE
"Euodia","Euodia.meliifolia","Laurales","Lauraceae","Euodia",TRUE
"Euodia","Euodia.meliifolia","Sapindales","Rutaceae","Euodia",TRUE
"Euodia","Euodia.obtusifolia","Laurales","Lauraceae","Euodia",TRUE
"Euodia","Euodia.obtusifolia","Sapindales","Rutaceae","Euodia",TRUE
"Euonymus","Euonymus.sieboldianus","Celastrales","Celastraceae","Euonymus",TRUE
"Euonymus","Euonymus.sieboldianus","Celastrales","Celastraceae","Evonymus",FALSE
"Euonymus","Euonymus.fo.rtunei","Celastrales","Celastraceae","Euonymus",TRUE
"Euonymus","Euonymus.fo.rtunei","Celastrales","Celastraceae","Evonymus",FALSE
"Euonymus","Euonymus.alatus","Celastrales","Celastraceae","Euonymus",TRUE
"Euonymus","Euonymus.alatus","Celastrales","Celastraceae","Evonymus",FALSE
"Euonymus","Euonymus.macropterus","Celastrales","Celastraceae","Euonymus",TRUE
"Euonymus","Euonymus.macropterus","Celastrales","Celastraceae","Evonymus",FALSE
"Eupatorium","Eupatorium.lanigerum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.bupleurifolium","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.chinense.sachalinense","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.cannabinum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.macrocephalum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.tenacetifolium","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.serotinum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.purpureum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.sessilifolium","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.coelestinum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.odoratum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.subhastatum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.perfoliatum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.chinense","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.altissimum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.lindleyanum","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.urticaefolium","Asterales","Asteraceae","Eupatorium",TRUE
"Eupatorium","Eupatorium.squarrulosum","Asterales","Asteraceae","Eupatorium",TRUE
"Euphorbia","Euphorbia.acanthothamnos","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphorbia","Euphorbia.hyssopifolia","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphorbia","Euphorbia.obtusifolia","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphorbia","Euphorbia.pyrifolia","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphorbia","Euphorbia.preslii","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphorbia","Euphorbia.portulacoides","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphorbia","Euphorbia.cyathophora","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphorbia","Euphorbia.corollata","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphorbia","Euphorbia.heterophylla","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphorbia","Euphorbia.segatalis","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphorbia","Euphorbia.canariensis","Malpighiales","Euphorbiaceae","Euphorbia",TRUE
"Euphrasia","Euphrasia.zelandica","Lamiales","Orobanchaceae","Euphrasia",TRUE
"Euphrasia","Euphrasia.maximowiczii","Lamiales","Orobanchaceae","Euphrasia",TRUE
"Euphrasia","Euphrasia.officinalis","Lamiales","Orobanchaceae","Euphrasia",TRUE
"Euphrasia","Euphrasia.collina","Lamiales","Orobanchaceae","Euphrasia",TRUE
"Euphrasia","Euphrasia.revoluta","Lamiales","Orobanchaceae","Euphrasia",TRUE
"Euptelea","Euptelea.polyandra","Ranunculales","Eupteleaceae","Euptelea",TRUE
"Eurya","Eurya.japonica","Ericales","Pentaphylacaceae","Eurya",TRUE
"Euscaphis","Euscaphis.japonica",NA,NA,NA,TRUE
"Eusteratis","Eusteratis.yatabeana",NA,NA,NA,TRUE
"Evolvulus","Evolvulus.nummularius","Solanales","Convolvulaceae","Meriana",FALSE
"Evolvulus","Evolvulus.nummularius","Solanales","Convolvulaceae","Evolvulus",TRUE
"Evonymus","Evonymus.atropurpureus",NA,NA,NA,TRUE
"Excoecaria","Excoecaria.benthiamiana","Malpighiales","Euphorbiaceae","Excoecaria",TRUE
"Fagonia","Fagonia.albiflora","Zygophyllales","Zygophyllaceae","Fagonia",TRUE
"Farfugium","Farfugium.joponicum","Asterales","Asteraceae","Farfugium",TRUE
"Fatsia","Fatsia.japonica","Apiales","Araliaceae","Fatsia",TRUE
"Faujasiopsis","Faujasiopsis.flexuosa.ssp.erecta","Asterales","Asteraceae","Faujasiopsis",TRUE
"Faujasiopsis","Faujasiopsis.flexuosa","Asterales","Asteraceae","Faujasiopsis",TRUE
"Filipendula","Filipendula.ulmaria","Rosales","Rosaceae","Filipendula",TRUE
"Filipendula","Filipendula.multifuga","Rosales","Rosaceae","Filipendula",TRUE
"Flagellaria","Flagellaria.indica","Ranunculales","Ranunculaceae","Flagellaria",TRUE
"Flagellaria","Flagellaria.indica","Poales","Flagellariaceae","Flagellaria",TRUE
"Foeniculum","Foeniculum.vulgare","Apiales","Apiaceae","Foeniculum",TRUE
"Forsythia","Forsythia.suspensa","Lamiales","Oleaceae","Forsythia",TRUE
"Fragaria","Fragaria.vesca","Rosales","Rosaceae","Fragaria",TRUE
"Fragaria","Fragaria.nipponica","Rosales","Rosaceae","Fragaria",TRUE
"Fragaria","Fragaria.virginiana.illinoensis","Rosales","Rosaceae","Fragaria",TRUE
"Frasera","Frasera.speciosa","Gentianales","Gentianaceae","Frasera",TRUE
"Frasera","Frasera.carolinensis","Gentianales","Gentianaceae","Frasera",TRUE
"Fraxinus","Fraxinus.americanus","Lamiales","Oleaceae","Fraxinus",TRUE
"Fraxinus","Fraxinus.griffithii","Lamiales","Oleaceae","Fraxinus",TRUE
"Freesia","Freesia.refracta","Asparagales","Iridaceae","Freesia",TRUE
"Freesia","Freesia.sp1.M.PL.036","Asparagales","Iridaceae","Freesia",TRUE
"Fritillaria","Fritillaria.graeca","Liliales","Liliaceae","Fritillaria",TRUE
"Fumana","Fumana.arabica","Malvales","Cistaceae","Fumana",TRUE
