"Genero.original","Genero.especie","Orden.GBIF","Familia.GBIF","Genero.GBIF","genero.es.igual"
"Aesculus","Aesculus.hippocastanum","Sapindales","Sapindaceae","Aesculus",TRUE
"Aesculus","Aesculus.glabra","Sapindales","Sapindaceae","Aesculus",TRUE
"Aesculus","Aesculus.sylvatica","Sapindales","Sapindaceae","Aesculus",TRUE
"Aesculus","Aesculus.turbinata","Sapindales","Sapindaceae","Aesculus",TRUE
"Aesculus","Aesculus.camea","Sapindales","Sapindaceae","Aesculus",TRUE
"Aetheorrina","Aetheorrina.bulbosa",NA,NA,NA,TRUE
"Aethusa","Aethusa.cynapium","Apiales","Apiaceae","Aethusa",TRUE
"Agastache","Agastache.scrophulariaefolia","Lamiales","Lamiaceae","Agastache",TRUE
"Agastache","Agastache.nepetoides","Lamiales","Lamiaceae","Agastache",TRUE
"Agauria","Agauria.salicifolia",NA,NA,NA,TRUE
"Ageratum","Ageratum.houstonianum","Asterales","Asteraceae","Ageratum",TRUE
"Ageratum","Ageratum.houstonianum","Lamiales","Scrophulariaceae","Ageratum",TRUE
"Ageratum","Ageratum.conyzoides","Asterales","Asteraceae","Ageratum",TRUE
"Ageratum","Ageratum.conyzoides","Lamiales","Scrophulariaceae","Ageratum",TRUE
"Ageretina","Ageretina.adenophora",NA,NA,NA,TRUE
"Agrimonia","Agrimonia.striata","Rosales","Rosaceae","Agrimonia",TRUE
"Agrimonia","Agrimonia.striata","Rosales","Rosaceae","Eupatorium",FALSE
"Agrimonia","Agrimonia.eupatoria","Rosales","Rosaceae","Agrimonia",TRUE
"Agrimonia","Agrimonia.eupatoria","Rosales","Rosaceae","Eupatorium",FALSE
"Agrimonia","Agrimonia.pilosa","Rosales","Rosaceae","Agrimonia",TRUE
"Agrimonia","Agrimonia.pilosa","Rosales","Rosaceae","Eupatorium",FALSE
"Agrostis","Agrostis.clavata","Poales","Poaceae","Agrostis",TRUE
"Aichryson","Aichryson.laxum","Saxifragales","Crassulaceae","Aichryson",TRUE
"Ainsliaea","Ainsliaea.acerifolia","Asterales","Asteraceae","Ainsliaea",TRUE
"Ajuga","Ajuga.reptans","Lamiales","Lamiaceae","Ajuga",TRUE
"Ajuga","Ajuga.dictyocarpa","Lamiales","Lamiaceae","Ajuga",TRUE
"Akebia","Akebia.quinata","Ranunculales","Lardizabalaceae","Akebia",TRUE
"Alangium","Alangium.platanifolium","Cornales","Cornaceae","Stylidium",FALSE
"Alangium","Alangium.platanifolium","Cornales","Cornaceae","Alangium",TRUE
"Albizzia","Albizzia.julibrissin","Fabales","Fabaceae","Albizzia",TRUE
"Alcea","Alcea.pallida","Malvales","Malvaceae","Alcea",TRUE
"Aletris","Aletris.luteoviridis","Dioscoreales","Nartheciaceae","Aletris",TRUE
"Alisma","Alisma.canaliculatum","Alismatales","Alismataceae","Alisma",TRUE
"Alisma","Alisma.plantago.aquatica","Alismatales","Alismataceae","Alisma",TRUE
"Alium","Alium.grayi",NA,NA,NA,TRUE
"Alkanna","Alkanna.tinctoria","Myrtales","Lythraceae","Alkanna",TRUE
"Alkanna","Alkanna.tinctoria","Boraginales","Boraginaceae","Alkanna",TRUE
"Allium","Allium.subhirsutum","Liliales","Liliaceae","Allium",TRUE
"Allium","Allium.subhirsutum","Asparagales","Amaryllidaceae","Allium",TRUE
"Allium","Allium.neapolitanum","Liliales","Liliaceae","Allium",TRUE
"Allium","Allium.neapolitanum","Asparagales","Amaryllidaceae","Allium",TRUE
"Allium","Allium.recurvatum","Liliales","Liliaceae","Allium",TRUE
"Allium","Allium.recurvatum","Asparagales","Amaryllidaceae","Allium",TRUE
"Allium","Allium.thunbergii","Liliales","Liliaceae","Allium",TRUE
"Allium","Allium.thunbergii","Asparagales","Amaryllidaceae","Allium",TRUE
"Allium","Allium.ampeloprasum","Liliales","Liliaceae","Allium",TRUE
"Allium","Allium.ampeloprasum","Asparagales","Amaryllidaceae","Allium",TRUE
"Allium","Allium.scorodoprasum","Liliales","Liliaceae","Allium",TRUE
"Allium","Allium.scorodoprasum","Asparagales","Amaryllidaceae","Allium",TRUE
"Alocasia","Alocasia.odora","Alismatales","Araceae","Alocasia",TRUE
"Alophia","Alophia.lahue","Asparagales","Iridaceae","Alophia",TRUE
"Alpinia","Alpinia.intermedia","Zingiberales","Zingiberaceae","Alpinia",TRUE
"Alpinia","Alpinia.intermedia","Zingiberales","Zingiberaceae","Heritiera",FALSE
"Alpinia","Alpinia.formosana","Zingiberales","Zingiberaceae","Alpinia",TRUE
"Alpinia","Alpinia.formosana","Zingiberales","Zingiberaceae","Heritiera",FALSE
"Alpinia","Alpinia.sp1.M.PL.044","Zingiberales","Zingiberaceae","Alpinia",TRUE
"Alpinia","Alpinia.sp1.M.PL.044","Zingiberales","Zingiberaceae","Heritiera",FALSE
"Alstonia","Alstonia.macrophylla","Gentianales","Apocynaceae","Alstonia",TRUE
"Alstroemeria","Alstroemeria.aurea","Liliales","Alstroemeriaceae","Alstroemeria",TRUE
"Alstroemeria","Alstroemeria.aurea","Asparagales","Amaryllidaceae","Alstroemeria",TRUE
"Alstromemeria","Alstromemeria.pallida",NA,NA,NA,TRUE
"Alternanthera","Alternanthera.ficoidea","Caryophyllales","Amaranthaceae","Alternanthera",TRUE
"Alyssum","Alyssum.maritimum","Brassicales","Brassicaceae","Alyssum",TRUE
"Amaranthus","Amaranthus.spinosus","Caryophyllales","Amaranthaceae","Amaranthus",TRUE
"Ambrosia","Ambrosia.trifida","Asterales","Asteraceae","Ambrosia",TRUE
"Amelanchier","Amelanchier.canadensis","Rosales","Rosaceae","Amelanchier",TRUE
"Amelanchier","Amelanchier.canadensis","Rosales","Rosaceae","Aronia",FALSE
"Ammannia","Ammannia.coccinea","Myrtales","Lythraceae","Ammannia",TRUE
"Amomyrtus","Amomyrtus.luma","Myrtales","Myrtaceae","Amomyrtus",TRUE
"Amomyrtus","Amomyrtus.meli","Myrtales","Myrtaceae","Amomyrtus",TRUE
"Amorpha","Amorpha.fruticosa","Fabales","Fabaceae","Amorpha",TRUE
"Amorpha","Amorpha.canescens","Fabales","Fabaceae","Amorpha",TRUE
"Ampelopsis","Ampelopsis.brevipedunculata","Vitales","Vitaceae","Ampelopsis",TRUE
"Ampetopsis","Ampetopsis.brevipedunculata",NA,NA,NA,TRUE
"Amphicarpa","Amphicarpa.pitcheri",NA,NA,NA,TRUE
"Amphicarpaea","Amphicarpaea.bracteata","Fabales","Fabaceae","Amphicarpa",FALSE
"Amphicarpaea","Amphicarpaea.bracteata","Fabales","Fabaceae","Amphicarpaea",TRUE
"Anacyclus","Anacyclus.radiatus","Asterales","Asteraceae","Anacyclus",TRUE
"Anagallis","Anagallis.alternifolia",NA,NA,NA,TRUE
"Anagallis","Anagallis.arvensis",NA,NA,NA,TRUE
"Anaphalis","Anaphalis.margaritacea","Asterales","Asteraceae","Anaphalis",TRUE
"Anarthrophyllum","Anarthrophyllum.gayanum","Fabales","Fabaceae","Anarthrophyllum",TRUE
"Anarthrophyllum","Anarthrophyllum.cumingii","Fabales","Fabaceae","Anarthrophyllum",TRUE
"Anchusa","Anchusa.variegata","Boraginales","Boraginaceae","Anchusa",TRUE
"Anchusa","Anchusa.undulata","Boraginales","Boraginaceae","Anchusa",TRUE
"Andromeda","Andromeda.glaucophylla","Ericales","Ericaceae","Andromeda",TRUE
"Andryala","Andryala.pinnatifida","Asterales","Asteraceae","Andryala",TRUE
"Anemone","Anemone.flaccida","Ranunculales","Ranunculaceae","Anemone",TRUE
"Anemone","Anemone.coronaria","Ranunculales","Ranunculaceae","Anemone",TRUE
"Anemone","Anemone.pavonina","Ranunculales","Ranunculaceae","Anemone",TRUE
"Anemonella","Anemonella.thalictroides","Ranunculales","Ranunculaceae","Anemonella",TRUE
"Anethum","Anethum.graveolens","Apiales","Apiaceae","Anethum",TRUE
"Angelica","Angelica.longeradiata","Apiales","Apiaceae","Angelica",TRUE
"Angelica","Angelica.sylvestris","Apiales","Apiaceae","Angelica",TRUE
"Angelica","Angelica.pubescens","Apiales","Apiaceae","Angelica",TRUE
"Angelica","Angelica.archangelica","Apiales","Apiaceae","Angelica",TRUE
"Angelica","Angelica.polymorpha","Apiales","Apiaceae","Angelica",TRUE
"Angelica","Angelica.cartilagino-marginata","Apiales","Apiaceae","Angelica",TRUE
"Anisotome","Anisotome.flexuosus","Apiales","Apiaceae","Anisotome",TRUE
"Anisotome","Anisotome.aromatica","Apiales","Apiaceae","Anisotome",TRUE
"Antennaria","Antennaria.plantaginifolia","Asterales","Asteraceae","Antennaria",TRUE
"Antennaria","Antennaria.alpina","Asterales","Asteraceae","Antennaria",TRUE
"Antenoron","Antenoron.filiforme",NA,NA,NA,TRUE
"Anthemis","Anthemis.cotula","Asterales","Asteraceae","Anthemis",TRUE
"Anthriscus","Anthriscus.sylvestris","Apiales","Apiaceae","Anthriscus",TRUE
"Anthriscus","Anthriscus.aemula","Apiales","Apiaceae","Anthriscus",TRUE
"Anthyllis","Anthyllis.hermanniae","Fabales","Fabaceae","Hymenocarpus",FALSE
"Anthyllis","Anthyllis.hermanniae","Caryophyllales","Caryophyllaceae","Anthyllis",TRUE
"Anthyllis","Anthyllis.hermanniae","Fabales","Fabaceae","Anthyllis",TRUE
"Antidesma","Antidesma.joponicum","Malpighiales","Phyllanthaceae","Antidesma",TRUE
"Antidesma","Antidesma.madagascariense","Malpighiales","Phyllanthaceae","Antidesma",TRUE
"Antirhea","Antirhea.borbonica","Gentianales","Rubiaceae","Antirhea",TRUE
"Aphloia","Aphloia.theiformis","Crossosomatales","Aphloiaceae","Aphloia",TRUE
"Apios","Apios.tuberosa","Fabales","Fabaceae","Apios",TRUE
"Apocynum","Apocynum.androsaemifolium","Gentianales","Apocynaceae","Apocynum",TRUE
"Apocynum","Apocynum.cannabinum","Gentianales","Apocynaceae","Apocynum",TRUE
"Apodanthera","Apodanthera.sagitifolia","Cucurbitales","Cucurbitaceae","Apodanthera",TRUE
"Appolonias","Appolonias.barbujana",NA,NA,NA,TRUE
"Aquilegia","Aquilegia.canadensis","Ranunculales","Ranunculaceae","Aquilegia",TRUE
"Aquilegia","Aquilegia.buergeriana","Ranunculales","Ranunculaceae","Aquilegia",TRUE
"Aquilegia","Aquilegia.coerulea","Ranunculales","Ranunculaceae","Aquilegia",TRUE
"Aquilegia","Aquilegia.brevistyla","Ranunculales","Ranunculaceae","Aquilegia",TRUE
"Arabis","Arabis.dentata","Brassicales","Brassicaceae","Arabis",TRUE
"Arabis","Arabis.alpina","Brassicales","Brassicaceae","Arabis",TRUE
"Arabis","Arabis.lyrata.kamtschatica","Brassicales","Brassicaceae","Arabis",TRUE
"Arabis","Arabis.laevigata","Brassicales","Brassicaceae","Arabis",TRUE
"Arabis","Arabis.virginica","Brassicales","Brassicaceae","Arabis",TRUE
"Arabis","Arabis.glabra","Brassicales","Brassicaceae","Arabis",TRUE
"Arabis","Arabis.hirsuta","Brassicales","Brassicaceae","Arabis",TRUE
"Aragalus","Aragalus.lamberti",NA,NA,NA,TRUE
"Aralia","Aralia.nudicaulis","Apiales","Araliaceae","Aralia",TRUE
"Aralia","Aralia.cordata","Apiales","Araliaceae","Aralia",TRUE
"Aralta","Aralta.elata",NA,NA,NA,TRUE
"Arctium","Arctium.minus","Asterales","Asteraceae","Arctium",TRUE
"Arctostaphylus","Arctostaphylus.uva-ursi",NA,NA,NA,TRUE
"Ardisia","Ardisia.pusilla","Ericales","Primulaceae","Ardisia",TRUE
"Ardisia","Ardisia.sieboldii","Ericales","Primulaceae","Ardisia",TRUE
"Ardisia","Ardisia.quinquegona","Ericales","Primulaceae","Ardisia",TRUE
"Arenaria","Arenaria.pseudofrigida","Brassicales","Brassicaceae","Arenaria",TRUE
"Arenaria","Arenaria.pseudofrigida","Caryophyllales","Caryophyllaceae","Arenaria",TRUE
"Argusia","Argusia.argentea",NA,NA,NA,TRUE
"Argyranthemum","Argyranthemum.broussonetti","Asterales","Asteraceae","Argyranthemum",TRUE
"Argyranthemum","Argyranthemum.frutescens","Asterales","Asteraceae","Argyranthemum",TRUE
"Argyranthemum","Argyranthemum.frutescencs","Asterales","Asteraceae","Argyranthemum",TRUE
"Argyranthemum","Argyranthemum.teneriffae","Asterales","Asteraceae","Argyranthemum",TRUE
"Argythamnia","Argythamnia.candicans","Malpighiales","Euphorbiaceae","Argythamnia",TRUE
"Arisaema","Arisaema.triphyllum","Alismatales","Araceae","Alocasia",FALSE
"Arisaema","Arisaema.triphyllum","Alismatales","Araceae","Arisaema",TRUE
"Arisaema","Arisaema.japonicum","Alismatales","Araceae","Alocasia",FALSE
"Arisaema","Arisaema.japonicum","Alismatales","Araceae","Arisaema",TRUE
"Arisarum","Arisarum.vulgare","Alismatales","Araceae","Arisarum",TRUE
"Aristolochia","Aristolochia.tomentosa","Piperales","Aristolochiaceae","Aristolochia",TRUE
"Aristotelia","Aristotelia.chilensis","Oxalidales","Elaeocarpaceae","Aristotelia",TRUE
"Arjona","Arjona.patagonica","Santalales","Schoepfiaceae","Arjona",TRUE
"Arjona","Arjona.tuberosa","Santalales","Schoepfiaceae","Arjona",TRUE
"Armeria","Armeria.scabra","Caryophyllales","Plumbaginaceae","Armeria",TRUE
"Armeria","Armeria.velutina","Caryophyllales","Plumbaginaceae","Armeria",TRUE
"Arnica","Arnica.sp1.M.PL.014","Asterales","Asteraceae","Arnica",TRUE
"Arnica","Arnica.angustifolia","Asterales","Asteraceae","Arnica",TRUE
"Arnica","Arnica.alpina","Asterales","Asteraceae","Arnica",TRUE
"Aronia","Aronia.melanocarpa","Rosales","Rosaceae","Aronia",TRUE
"Aruncus","Aruncus.dioicus","Rosales","Rosaceae","Aruncus",TRUE
"Aruncus","Aruncus.sylvester","Rosales","Rosaceae","Aruncus",TRUE
"Ascerates","Ascerates.floridana",NA,NA,NA,TRUE
"Ascerates","Ascerates.viridiflora",NA,NA,NA,TRUE
"Asclepias","Asclepias.speciosa","Gentianales","Apocynaceae","Asclepias",TRUE
"Asclepias","Asclepias.syriaca","Gentianales","Apocynaceae","Asclepias",TRUE
"Asclepias","Asclepias.woodii","Gentianales","Apocynaceae","Asclepias",TRUE
"Asclepias","Asclepias.sullivantii","Gentianales","Apocynaceae","Asclepias",TRUE
"Asclepias","Asclepias.incarnata","Gentianales","Apocynaceae","Asclepias",TRUE
"Asclepias","Asclepias.verticillata","Gentianales","Apocynaceae","Asclepias",TRUE
"Asclepias","Asclepias.cucullata","Gentianales","Apocynaceae","Asclepias",TRUE
"Asclepias","Asclepias.purpurascens","Gentianales","Apocynaceae","Asclepias",TRUE
"Asclepias","Asclepias.halli","Gentianales","Apocynaceae","Asclepias",TRUE
"Asclepias","Asclepias.tuberosa","Gentianales","Apocynaceae","Asclepias",TRUE
"Ascleptas","Ascleptas.curassavica",NA,NA,NA,TRUE
"Asiminia","Asiminia.triloba",NA,NA,NA,TRUE
"Asparagus","Asparagus.officinalis","Asparagales","Asparagaceae","Asparagus",TRUE
"Asparagus","Asparagus.officinalis","Liliales","Liliaceae","Asparagus",TRUE
"Asparagus","Asparagus.aphyllus","Asparagales","Asparagaceae","Asparagus",TRUE
