Plantas;Acalyptratae_sp2;Acalyptratae_sp4;Acromyrmex_lobicornis;Alloscirtetica_brethesi;Alloscirtetica_sp1;Ammophila_sp;Ananthidium_inerme;Anthidium_friesei;Anthrax_oedipus;Anthidium_rubripes;Anthidium_vigintipunctatum;Anthomyiidae_sp1;Apis_mellifera;Arhysosage_bifasciata;Aristosyrphus_sp;Ascia_monuste;Asilidae_sp1;Asilidae_sp2;Audre_sp;Augochloropsis_sp;Babia_elongata;Bibionidae_sp;Bombus_opifex;Exoprosopa_sp1;Exoprosopa_sp2;Bombyliidae_sp12;Bombyliidae_sp14;Bombyliidae_sp15;Bombyliidae_sp16;Chrysanthrax_sp2;Bombilidae_sp5;Parasystoechus_sp;Poecilognathus_sp;Bombyliidae_sp9;Caenohalictus_sp;Calliopsini_sp1;Camponotus_mus;Camponotus_punctulatus;Centris_brethesi;Centris_lyngbyei;Centris_vardyorum;Chaetocrania_sp;Cochliomyia_macellaria;Coccinelidae_sp1;Coccinela_sp2;Coelioxys_chilensis;Coelioxys_jorgenseni;Coelioxys_sp6;Colletes_araucariae;Colletes_bicolor;Colletes_brethesi;Colletes_cognatus;Colletes_lycii;Compsomyiops_fulvicrura;Copestilum_aricia;Copestilum_sp2;Copestilum_sp3;Cosmosatyrus_chilensis;Crabronidae_sp1;Diadasia_baraderensis;Diadasia_patagonica;Diabrotica_sp;Dialictus_sp;Empididae_sp1;Empididae_sp2;Epitragus_sp;Eumenidae_sp;Chrysanthrax_sp1;Foreluis_sp;Hirmoneura_sp;Hypalastroides_sp;Isepeolus_vachali;Isepeolus_viperinus;Leioproctus_abdominalis;Leioproctus_friesei;Leptometriella_nigra;Lepidoptera_sp11;Lepidoptera_sp12;Lepidoptera_sp3;Lepidoptera_sp4;Liphantus_inornatus;Liphantus_nigritus;Lonchopria_robertsi;Lonchopria_sp;Megachile_leucographa;Megachile_obscurior;Megachile_nigella;Megachile_pseudocentron2;Melectoides_cockerelli;Melissoptila_sp;Mesonychium_jenseni;Muscidae_sp2;neu.sp1;Nitidulidae_sp1;Pyrgus_communis;Platycheirus_sp;Polistes_cavapyta;Pompilidae_sp2;Psaenythia_philantoides;Psaenythia_rufipes;Pseudagapostemon_sp;Rubrica_nasuta;Sarcophagidae_sp1;Sciomyzidae;Sphex_sp2;Sphecidae_sp1;Strymon_eurytulus;Svastrides_bauni;Svastra_sp;Svastrides_zebra;Syrphus_sp1;Syrphidae_sp2;Syrphidae_sp3;Syrphidae_sp5;Syrphidae_sp6;Tachipompillus_sp;Tachinidae_sp10;Tachinidae_sp15;Tachinidae_sp17;Tachinidae_sp5;Tachinidae_sp8;Tachytes_sp;Tatochila_autodice;Tephritidae_sp1;Tephritidae_sp2;Thynnidae_sp;Toxomerus_sp1;Trichothurgus_laticeps;Trichoturgus_sp2;Villa_sp;Willinkapis_chalybaea;Xylocopa_augusti;Xylocopa_atamisquensis;Xylocopa_splendidula;Zeta_sp
menodora_decemfida;0;0;0;0;0;92;1;0;1;0;0;0;184;0;0;1;0;0;2;70;0;1;1;0;0;0;0;0;0;0;0;5;25;0;4;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;98;3;0;11;0;0;2;1;104;0;0;0;0;0;0;1;0;4;0;0;0;0;9;0;0;0;0;0;1;0;10;11;0;0;0;4;48;0;0;0;57;0;0;0;12;3;5;0;0;0;4;0;37;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;1;0;1
monttea_aphylla;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;37;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;758;5;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;2;29;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
opuntia_sulphurea;0;1;0;0;0;1;0;0;0;0;0;0;2;187;0;1;0;0;0;12;3;0;64;4;0;0;0;0;0;0;0;0;0;0;0;0;30;2;33;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;2;1;39;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;3;1;0;0;8;0;0;0;2;0;0;0;0;1;5;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;35;0;0;0;0;7;1;0
oxybaphus_obatus;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
petunia_axillaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
philibertia_gilliesii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
pyrrhocactus_pachacoensis;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
prosopis_flexuosa;0;0;0;0;10;78;0;0;0;0;0;0;2477;0;0;0;0;0;15;205;34;0;50;1;7;0;0;0;0;0;0;0;38;15;3;0;34;17;4;0;0;20;0;0;0;0;0;0;0;10;11;42;2;7;1565;192;0;165;0;0;0;0;12;0;0;0;0;203;1;4;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;81;0;80;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0;0;66;30;75;0;12;0;25;0;1;0;0;203;22;1;0;0;0;0;0;0;1;5;0;0;0;32;0;0;16;0;20
ruta_chalepensis;0;0;0;0;0;0;0;0;0;0;0;0;204;0;0;0;0;0;0;19;0;2;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;1;0;0;0;0;0;0;13;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4
salvia_gilliesii;0;0;0;0;0;0;0;1;0;0;17;0;0;0;0;0;0;0;1;1;0;0;60;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;24;0;0;45;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;7;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;69;21;0
schinus_fasciculata;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;21;6;1;0;4;2;0;0;0;0;12;0;0;0;0;0;0;30;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;34;8;0;0;0;0;0;0;0;0;0;0;0;37;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0
senna_aphylla;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;102;0;0;8;0;0;0;0;0;0;1;0;0;0;0;2;0;43;34;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;10;0;0;0;1;10;0;0;0;0;0;0;58;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;13
senecio_pinnatus;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;1;0;3;0;0;0;0;0;1;0;0;8;0;6;3;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;265;9;0;28;0;0;3;0;3;0;0;0;0;1;0;3;0;3;0;0;0;1;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;29;0;0;0;1;0;0;0;1;0;0;0;18;0;0;0;3;0;0;0;0;2;13;3;0;0;4;0;7;0;0;0;0;0;0;6;0;0;0;0;1
spartium_junceum;0;0;3;0;0;0;0;0;0;0;0;0;5;0;0;1;1;0;10;10;0;0;64;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0;12;0;0;0;0;0;3;0;0;0;0;0;0;0;0;10;161;17;0;18;0;0;0;1;1;0;0;0;0;2;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;113;2;3
spharealcea_miniata;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;17;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
thymophylla_pentachaeta;0;0;0;0;0;11;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;4;0;0;0;0;14;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9;17;0;0;2;0;0;0;0;30;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
trichocereus_candicans;0;0;0;0;0;0;0;0;1;0;0;0;4;7;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;2;0;0;0;0;0;0;1;25;0;0;0;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
veronica_polita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
zuccagnia_punctata;0;0;0;0;25;25;1;1;0;1;0;3;588;0;0;0;0;0;8;121;2;0;109;0;0;0;0;0;0;0;0;0;9;5;1;1;1;5;375;5;0;0;0;0;0;0;7;0;2;0;5;78;8;0;167;4;0;12;0;0;5;0;24;0;0;1;0;0;0;2;1;1;0;17;0;0;1;0;0;1;0;0;7;0;51;8;13;0;0;0;30;0;0;0;2;0;2;0;2;0;6;0;0;0;0;3;28;0;0;22;1;0;0;0;0;0;14;0;0;0;0;0;0;0;0;1;0;4;0;0;19;0;314;13;32
