"Genero.original","Genero.especie","Orden.GBIF","Familia.GBIF","Genero.GBIF","genero.es.igual","n.fam"
"Collinsia","Collinsia.verna","Lamiales","Plantaginaceae","Collinsia",TRUE,1
"Collomia","Collomia.biflora","Ericales","Polemoniaceae","Collomia",TRUE,2
"Collomia","Collomia.biflora","Asterales","Asteraceae","Collomia",TRUE,2
"Comandra","Comandra.umbellata","Santalales","Comandraceae","Comandra",TRUE,1
"Commelina","Commelina.communis","Commelinales","Commelinaceae","Commelina",TRUE,1
"Commelina","Commelina.erecta","Commelinales","Commelinaceae","Commelina",TRUE,1
"Commicarpus","Commicarpus.tuberosus","Caryophyllales","Nyctaginaceae","Commicarpus",TRUE,1
"Conium","Conium.maculatum","Apiales","Apiaceae","Conium",TRUE,1
"Conocarpus","Conocarpus.erectus","Proteales","Proteaceae","Conocarpus",TRUE,2
"Conocarpus","Conocarpus.erectus","Myrtales","Combretaceae","Conocarpus",TRUE,2
"Convolvulus","Convolvulus.sp1.M.PL.050","Solanales","Convolvulaceae","Convolvulus",TRUE,1
"Convolvulus","Convolvulus.cantabrica","Solanales","Convolvulaceae","Convolvulus",TRUE,1
"Convolvulus","Convolvulus.arvensis","Solanales","Convolvulaceae","Convolvulus",TRUE,1
"Convolvulus","Convolvulus.sepium","Solanales","Convolvulaceae","Convolvulus",TRUE,1
"Convolvulus","Convolvulus.floridus","Solanales","Convolvulaceae","Convolvulus",TRUE,1
"Convolvulus","Convolvulus.hermanniae","Solanales","Convolvulaceae","Convolvulus",TRUE,1
"Convolvulus","Convolvulus.althaeoides","Solanales","Convolvulaceae","Convolvulus",TRUE,1
"Conyza","Conyza.bonariensis","Asterales","Asteraceae","Conyza",TRUE,1
"Cordemoya","Cordemoya.integrifolia",NA,NA,NA,TRUE,1
"Cordia","Cordia.martinicensis","Lamiales","Lamiaceae","Cordia",TRUE,2
"Cordia","Cordia.martinicensis","Boraginales","Cordiaceae","Cordia",TRUE,2
"Cordia","Cordia.lutea","Lamiales","Lamiaceae","Cordia",TRUE,2
"Cordia","Cordia.lutea","Boraginales","Cordiaceae","Cordia",TRUE,2
"Cordia","Cordia.brownei","Lamiales","Lamiaceae","Cordia",TRUE,2
"Cordia","Cordia.brownei","Boraginales","Cordiaceae","Cordia",TRUE,2
"Cordia","Cordia.gerascanthus","Lamiales","Lamiaceae","Cordia",TRUE,2
"Cordia","Cordia.gerascanthus","Boraginales","Cordiaceae","Cordia",TRUE,2
"Cordia","Cordia.leucophlyctis","Lamiales","Lamiaceae","Cordia",TRUE,2
"Cordia","Cordia.leucophlyctis","Boraginales","Cordiaceae","Cordia",TRUE,2
"Cordia","Cordia.sebestena","Lamiales","Lamiaceae","Cordia",TRUE,2
"Cordia","Cordia.sebestena","Boraginales","Cordiaceae","Cordia",TRUE,2
"Cordia","Cordia.revoluta","Lamiales","Lamiaceae","Cordia",TRUE,2
"Cordia","Cordia.revoluta","Boraginales","Cordiaceae","Cordia",TRUE,2
"Cordia","Cordia.sp1.M.PL.041","Lamiales","Lamiaceae","Cordia",TRUE,2
"Cordia","Cordia.sp1.M.PL.041","Boraginales","Cordiaceae","Cordia",TRUE,2
"Cordia","Cordia.globosa","Lamiales","Lamiaceae","Cordia",TRUE,2
"Cordia","Cordia.globosa","Boraginales","Cordiaceae","Cordia",TRUE,2
"Cordia","Cordia.sp1.M.PL.026","Lamiales","Lamiaceae","Cordia",TRUE,2
"Cordia","Cordia.sp1.M.PL.026","Boraginales","Cordiaceae","Cordia",TRUE,2
"Coreopsis","Coreopsis.palmata","Asterales","Asteraceae","Coreopsis",TRUE,1
"Coreopsis","Coreopsis.tripteris","Asterales","Asteraceae","Coreopsis",TRUE,1
"Coreopsis","Coreopsis.basalis","Asterales","Asteraceae","Coreopsis",TRUE,1
"Cornus","Cornus.amomum","Cornales","Cornaceae","Cornus",TRUE,1
"Cornus","Cornus.canadensis","Cornales","Cornaceae","Cornus",TRUE,1
"Cornus","Cornus.paniculata","Cornales","Cornaceae","Cornus",TRUE,1
"Cornus","Cornus.florida","Cornales","Cornaceae","Cornus",TRUE,1
"Cornutia","Cornutia.pyramidata","Lamiales","Lamiaceae","Cornutia",TRUE,1
"Corokia","Corokia.cotoneaster","Asterales","Argophyllaceae","Corokia",TRUE,1
"Corydalis","Corydalis.incisa","Ranunculales","Papaveraceae","Corydalis",TRUE,1
"Corydalis","Corydalis.lineariloba","Ranunculales","Papaveraceae","Corydalis",TRUE,1
"Corydalis","Corydalis.pallida","Ranunculales","Papaveraceae","Corydalis",TRUE,1
"Cotula","Cotula.pyrethrifolia","Asterales","Asteraceae","Cotula",TRUE,1
"Craspedia","Craspedia.uniflora","Asterales","Asteraceae","Craspedia",TRUE,1
"Craspedia","Craspedia.sp1.M.PL.019","Asterales","Asteraceae","Craspedia",TRUE,1
"Crataegus","Crataegus.crus-galli","Rosales","Rosaceae","Crataegus",TRUE,1
"Crataegus","Crataegus.coccinea","Rosales","Rosaceae","Crataegus",TRUE,1
"Crataegus","Crataegus.mollis","Rosales","Rosaceae","Crataegus",TRUE,1
"Craterispermum","Craterispermum.microdon","Gentianales","Rubiaceae","Craterispermum",TRUE,1
"Crepidiastrum","Crepidiastrum.lanceolatum","Asterales","Asteraceae","Crepidiastrum",TRUE,1
"Crepis","Crepis.paludosa","Asterales","Asteraceae","Crepis",TRUE,1
"Crepis","Crepis.capillaris","Asterales","Asteraceae","Crepis",TRUE,1
"Crithmum","Crithmum.maritimum","Apiales","Apiaceae","Crithmum",TRUE,1
"Crocus","Crocus.cancellatus","Asparagales","Iridaceae","Crocus",TRUE,1
"Crocus","Crocus.laevigatus","Asparagales","Iridaceae","Crocus",TRUE,1
"Croomia","Croomia.japonica","Pandanales","Stemonaceae","Croomia",TRUE,1
"Crotalaria","Crotalaria.sagittalis","Fabales","Fabaceae","Crotalaria",TRUE,1
"Crotalaria","Crotalaria.incana","Fabales","Fabaceae","Crotalaria",TRUE,1
"Crotalaria","Crotalaria.verrucosa","Fabales","Fabaceae","Crotalaria",TRUE,1
"Croton","Croton.flavens","Malpighiales","Euphorbiaceae","Croton",TRUE,1
"Croton","Croton.grangeroides","Malpighiales","Euphorbiaceae","Croton",TRUE,1
"Croton","Croton.scouleri","Malpighiales","Euphorbiaceae","Croton",TRUE,1
"Croton","Croton.hirtus","Malpighiales","Euphorbiaceae","Croton",TRUE,1
"Croton","Croton.fothergillifolius","Malpighiales","Euphorbiaceae","Croton",TRUE,1
"Crupina","Crupina.crupinastrum","Asterales","Asteraceae","Crupina",TRUE,1
"Cryptocarpus","Cryptocarpus.pyriformis","Solanales","Convolvulaceae","Cryptocarpus",TRUE,2
"Cryptocarpus","Cryptocarpus.pyriformis","Caryophyllales","Nyctaginaceae","Cryptocarpus",TRUE,2
"Cryptotaenia","Cryptotaenia.japonica","Apiales","Apiaceae","Cryptotaenia",TRUE,1
"Cryptotaenia","Cryptotaenia.canadensis","Apiales","Apiaceae","Cryptotaenia",TRUE,1
"Cucurbita","Cucurbita.melopepo","Cucurbitales","Cucurbitaceae","Cucurbita",TRUE,1
"Cucurbita","Cucurbita.pepo","Cucurbitales","Cucurbitaceae","Cucurbita",TRUE,1
"Cuphea","Cuphea.petiolata","Fabales","Fabaceae","Cuphea",TRUE,2
"Cuphea","Cuphea.petiolata","Myrtales","Lythraceae","Cuphea",TRUE,2
"Cuphea","Cuphea.fruticosa","Fabales","Fabaceae","Cuphea",TRUE,2
"Cuphea","Cuphea.fruticosa","Myrtales","Lythraceae","Cuphea",TRUE,2
"Cuphea","Cuphea.racemosa","Fabales","Fabaceae","Cuphea",TRUE,2
"Cuphea","Cuphea.racemosa","Myrtales","Lythraceae","Cuphea",TRUE,2
"Cuphea","Cuphea.o'donellii","Fabales","Fabaceae","Cuphea",TRUE,2
"Cuphea","Cuphea.o'donellii","Myrtales","Lythraceae","Cuphea",TRUE,2
"Cuscuta","Cuscuta.glomerata","Solanales","Convolvulaceae","Cuscuta",TRUE,1
"Cuscuta","Cuscuta.cephalanthi","Solanales","Convolvulaceae","Cuscuta",TRUE,1
"Cybianthus","Cybianthus.quelchii","Ericales","Primulaceae","Cybianthus",TRUE,1
"Cyclamen","Cyclamen.graecum","Ericales","Primulaceae","Cyclamen",TRUE,1
"Cynanchum","Cynanchum.ascyrifolium","Solanales","Solanaceae","Cynanchum",TRUE,2
"Cynanchum","Cynanchum.ascyrifolium","Gentianales","Apocynaceae","Cynanchum",TRUE,2
"Cynanchum","Cynanchum.diemii","Solanales","Solanaceae","Cynanchum",TRUE,2
"Cynanchum","Cynanchum.diemii","Gentianales","Apocynaceae","Cynanchum",TRUE,2
"Cynara","Cynara.cardunculus","Asterales","Asteraceae","Cynara",TRUE,1
"Cynoglossum","Cynoglossum.creticum","Boraginales","Boraginaceae","Cynoglossum",TRUE,1
"Cynoglossum","Cynoglossum.officinale","Boraginales","Boraginaceae","Cynoglossum",TRUE,1
"Cypella","Cypella.herbertii","Asparagales","Iridaceae","Cypella",TRUE,1
"Cypripedium","Cypripedium.guttatum.","Asparagales","Orchidaceae","Cypripedium",TRUE,1
"Cypripedium","Cypripedium.parviflorum.pubescens","Asparagales","Orchidaceae","Cypripedium",TRUE,1
"Cypripedium","Cypripedium.acaule","Asparagales","Orchidaceae","Cypripedium",TRUE,1
"Cyrilla","Cyrilla.racemiflora","Lamiales","Gesneriaceae","Cyrilla",TRUE,2
"Cyrilla","Cyrilla.racemiflora","Ericales","Cyrillaceae","Cyrilla",TRUE,2
"Cytisus","Cytisus.grandiflorus","Fabales","Fabaceae","Cytisus",TRUE,1
"Cytisus","Cytisus.scoparius","Fabales","Fabaceae","Cytisus",TRUE,1
"Cytisus","Cytisus.monspessulanus","Fabales","Fabaceae","Cytisus",TRUE,1
"Daphne","Daphne.gnidium","Malvales","Thymelaeaceae","Daphne",TRUE,1
"Daphnopsis","Daphnopsis.americana","Malvales","Thymelaeaceae","Daphnopsis",TRUE,1
"Darwiniothamnus","Darwiniothamnus.tenuifolius",NA,NA,NA,TRUE,1
"Dasyphora","Dasyphora.fruticosa",NA,NA,NA,TRUE,1
"Datura","Datura.stramonium","Solanales","Solanaceae","Datura",TRUE,1
"Datura","Datura.tatula","Solanales","Solanaceae","Datura",TRUE,1
"Daucus","Daucus.carota.carota","Apiales","Apiaceae","Daucus",TRUE,1
"Daucus","Daucus.guttatus","Apiales","Apiaceae","Daucus",TRUE,1
"Daucus","Daucus.carota","Apiales","Apiaceae","Daucus",TRUE,1
"Deckenia","Deckenia.nobilis","Arecales","Arecaceae","Deckenia",TRUE,1
"Declieuxia","Declieuxia.fruticosa","Gentianales","Rubiaceae","Declieuxia",TRUE,1
"Delphinium","Delphinium.peregrinum","Ranunculales","Ranunculaceae","Delphinium",TRUE,1
"Delphinium","Delphinium.tricorne","Ranunculales","Ranunculaceae","Delphinium",TRUE,1
"Delphinium","Delphinium.scopulorum","Ranunculales","Ranunculaceae","Delphinium",TRUE,1
"Dendropanax","Dendropanax.trifidus","Apiales","Araliaceae","Dendropanax",TRUE,1
"Dendropanax","Dendropanax.arboreus.","Apiales","Araliaceae","Dendropanax",TRUE,1
"Dendropanax","Dendropanax.sp1.M.PL.040","Apiales","Araliaceae","Dendropanax",TRUE,1
"Dentaria","Dentaria.laciniata",NA,NA,NA,TRUE,1
"Desmodium","Desmodium.adscendens","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.canescens","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.paniculatum","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.bracteosum","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.sessilifolium","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.grandiflorum","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.marilandicum","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.canadense","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.dillenii","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.illinoense","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.podocarpum","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.padocarpum","Fabales","Fabaceae","Desmodium",TRUE,1
"Desmodium","Desmodium.barbatum","Fabales","Fabaceae","Desmodium",TRUE,1
"Deutzia","Deutzia.maximowicziana","Cornales","Hydrangeaceae","Deutzia",TRUE,1
"Deutzia","Deutzia.scabra","Cornales","Hydrangeaceae","Deutzia",TRUE,1
"Deutzia","Deutzia.gracilis","Cornales","Hydrangeaceae","Deutzia",TRUE,1
"Deutzia","Deutzia.naseana","Cornales","Hydrangeaceae","Deutzia",TRUE,1
"Deutzia","Deutzia.crenata","Cornales","Hydrangeaceae","Deutzia",TRUE,1
"Dianthera","Dianthera.americana","Lamiales","Acanthaceae","Dianthera",TRUE,1
"Dianthus","Dianthus.superbus","Caryophyllales","Caryophyllaceae","Dianthus",TRUE,1
"Dianthus","Dianthus.superbus.longicalycinus","Caryophyllales","Caryophyllaceae","Dianthus",TRUE,1
"Dianthus","Dianthus.caryophillus","Caryophyllales","Caryophyllaceae","Dianthus",TRUE,1
"Diapensia","Diapensia.lapponica","Ericales","Diapensiaceae","Diapensia",TRUE,1
"Dicella","Dicella.bracteosa","Malpighiales","Malpighiaceae","Dicella",TRUE,1
"Dicentra","Dicentra.canadensis","Ranunculales","Fumariaceae","Dicentra",TRUE,2
"Dicentra","Dicentra.canadensis","Ranunculales","Papaveraceae","Dicentra",TRUE,2
"Dicentra","Dicentra.cucullaria","Ranunculales","Fumariaceae","Dicentra",TRUE,2
"Dicentra","Dicentra.cucullaria","Ranunculales","Papaveraceae","Dicentra",TRUE,2
"Digitalis","Digitalis.purpurea","Lamiales","Plantaginaceae","Digitalis",TRUE,1
"Digitaria","Digitaria.ciliaris","Poales","Poaceae","Digitaria",TRUE,1
"Digomphia","Digomphia.laurifolia","Lamiales","Bignoniaceae","Digomphia",TRUE,1
"Dillenia","Dillenia.suffruticosa","Dilleniales","Dilleniaceae","Dillenia",TRUE,1
"Dillenia","Dillenia.ferruginea","Dilleniales","Dilleniaceae","Dillenia",TRUE,1
"Diodia","Diodia.multiflora","Gentianales","Rubiaceae","Diodia",TRUE,1
"Diodia","Diodia.radula","Gentianales","Rubiaceae","Diodia",TRUE,1
"Dioscorea","Dioscorea.asclepiadea","Dioscoreales","Dioscoreaceae","Dioscorea",TRUE,1
"Diospyros","Diospyros.revaughanii","Ericales","Ebenaceae","Diospyros",TRUE,1
"Diospyros","Diospyros.virginiana","Ericales","Ebenaceae","Diospyros",TRUE,1
"Diospyros","Diospyros.seychellarum","Ericales","Ebenaceae","Diospyros",TRUE,1
"Diospyrus","Diospyrus.japonica",NA,NA,NA,TRUE,1
"Diplopterys","Diplopterys.pubipetala","Malpighiales","Malpighiaceae","Diplopterys",TRUE,1
"Dipsacus","Dipsacus.japonicus","Dipsacales","Caprifoliaceae","Dipsacus",TRUE,1
"Dipsacus","Dipsacus.sylvestris","Dipsacales","Caprifoliaceae","Dipsacus",TRUE,1
"Dirca","Dirca.palustris","Malvales","Thymelaeaceae","Dirca",TRUE,1
"Discaria","Discaria.nana","Rosales","Rhamnaceae","Discaria",TRUE,1
"Discaria","Discaria.trinervis","Rosales","Rhamnaceae","Discaria",TRUE,1
"Discaria","Discaria.toumatou","Rosales","Rhamnaceae","Discaria",TRUE,1
"Discaria","Discaria.longispina","Rosales","Rhamnaceae","Discaria",TRUE,1
"Disporum","Disporum.sessile","Asparagales","Asparagaceae","Disporum",TRUE,2
"Disporum","Disporum.sessile","Liliales","Colchicaceae","Disporum",TRUE,2
"Dittrichia","Dittrichia.graveolens","Asterales","Asteraceae","Dittrichia",TRUE,1
"Dodecatheon","Dodecatheon.meadia","Ericales","Primulaceae","Dodecatheon",TRUE,1
"Dodonaea","Dodonaea.viscosa","Sapindales","Sapindaceae","Dodonaea",TRUE,1
"Donatia","Donatia.novae-zelandiae","Asterales","Stylidiaceae","Donatia",TRUE,1
"Doratoxylon","Doratoxylon.apetalum","Sapindales","Sapindaceae","Doratoxylon",TRUE,1
"Doratoxylon","Doratoxylon.apetalum.var.diphyllum","Sapindales","Sapindaceae","Doratoxylon",TRUE,1
"Dorychnium","Dorychnium.pentaphylum","Fabales","Fabaceae","Dorychnium",TRUE,1
"Draba","Draba.sp1.M.PL.020","Brassicales","Brassicaceae","Draba",TRUE,1
"Draba","Draba.lactea","Brassicales","Brassicaceae","Draba",TRUE,1
"Draba","Draba.cinerea","Brassicales","Brassicaceae","Draba",TRUE,1
"Draba","Draba.oblongata","Brassicales","Brassicaceae","Draba",TRUE,1
"Draba","Draba.bellii","Brassicales","Brassicaceae","Draba",TRUE,1
"Draba","Draba.aurea","Brassicales","Brassicaceae","Draba",TRUE,1
"Draba","Draba.gilliesii","Brassicales","Brassicaceae","Draba",TRUE,1
"Draba","Draba.arctica","Brassicales","Brassicaceae","Draba",TRUE,1
"Draba","Draba.tenuis","Brassicales","Brassicaceae","Draba",TRUE,1
"Dracaena","Dracaena.reflexa.var.angustifolia","Asparagales","Asparagaceae","Dracaena",TRUE,1
"Dracaena","Dracaena.concinna","Asparagales","Asparagaceae","Dracaena",TRUE,1
"Dracaena","Dracaena.reflexa","Asparagales","Asparagaceae","Dracaena",TRUE,1
"Dracophyllum","Dracophyllum.pronum","Ericales","Ericaceae","Dracophyllum",TRUE,1
"Dracuphyllum","Dracuphyllum.acerosum",NA,NA,NA,TRUE,1
"Drapetes","Drapetes.dieffenbachii","Malvales","Thymelaeaceae","Drapetes",TRUE,1
"Dryas","Dryas.integrifolia","Rosales","Rosaceae","Dryas",TRUE,1
"Dryas","Dryas.octopetala","Rosales","Rosaceae","Dryas",TRUE,1
"Dryas","Dryas.sp1.M.PL.014","Rosales","Rosaceae","Dryas",TRUE,1
"Drymocallis","Drymocallis.fissa","Rosales","Rosaceae","Drymocallis",TRUE,1
"Duchesnea","Duchesnea.chrysantha","Rosales","Rosaceae","Duchesnea",TRUE,1
"Ebenus","Ebenus.sibthorpii","Ericales","Ebenaceae","Ebenus",TRUE,2
"Ebenus","Ebenus.sibthorpii","Fabales","Fabaceae","Ebenus",TRUE,2
"Ecballium","Ecballium.elaterium","Cucurbitales","Cucurbitaceae","Ecballium",TRUE,1
"Echinocystis","Echinocystis.lobata","Cucurbitales","Cucurbitaceae","Echinocystis",TRUE,1
"Echinops","Echinops.setifer","Asterales","Asteraceae","Echinops",TRUE,1
"Echinops","Echinops.microcephalus","Asterales","Asteraceae","Echinops",TRUE,1
"Echium","Echium.plantagineum","Boraginales","Boraginaceae","Echium",TRUE,1
"Echium","Echium.bonnetii","Boraginales","Boraginaceae","Echium",TRUE,1
"Echium","Echium.angustifolium","Boraginales","Boraginaceae","Echium",TRUE,1
"Echium","Echium.wildpretii","Boraginales","Boraginaceae","Echium",TRUE,1
"Echium","Echium.aculeatum","Boraginales","Boraginaceae","Echium",TRUE,1
"Echium","Echium.vulgare","Boraginales","Boraginaceae","Echium",TRUE,1
"Edgeworthia","Edgeworthia.chrysantha","Malvales","Thymelaeaceae","Edgeworthia",TRUE,1
"Ehretia","Ehretia.tinifolia","Boraginales","Boraginaceae","Ehretia",TRUE,2
"Ehretia","Ehretia.tinifolia","Boraginales","Ehretiaceae","Ehretia",TRUE,2
"Elaeagnus","Elaeagnus.multiflora","Rosales","Elaeagnaceae","Elaeagnus",TRUE,1
"Elaeagnus","Elaeagnus.montana","Rosales","Elaeagnaceae","Elaeagnus",TRUE,1
"Elaeocarpus","Elaeocarpus.japonicus","Oxalidales","Elaeocarpaceae","Elaeocarpus",TRUE,1
"Elaeocarpus","Elaeocarpus.sylvestris","Oxalidales","Elaeocarpaceae","Elaeocarpus",TRUE,1
"Elephantella","Elephantella.groenlandica",NA,NA,NA,TRUE,1
"Ellisia","Ellisia.nyctelaea","Gentianales","Gentianaceae","Ellisia",TRUE,2
"Ellisia","Ellisia.nyctelaea","Boraginales","Hydrophyllaceae","Ellisia",TRUE,2
"Embelia","Embelia.angustifolia","Ericales","Primulaceae","Embelia",TRUE,1
"Embothrium","Embothrium.coccineum","Proteales","Proteaceae","Embothrium",TRUE,1
"Empetrum","Empetrum.nigrum","Ericales","Ericaceae","Empetrum",TRUE,1
"Encelia","Encelia.hispida","Asterales","Asteraceae","Encelia",TRUE,1
"Enkianthus","Enkianthus.perulatus","Ericales","Ericaceae","Enkianthus",TRUE,1
"Enkianthus","Enkianthus.campanulatus","Ericales","Ericaceae","Enkianthus",TRUE,1
"Epacris","Epacris.microphylla","Ericales","Ericaceae","Epacris",TRUE,1
"Epacris","Epacris.petrophila","Ericales","Ericaceae","Epacris",TRUE,1
"Epidendrum","Epidendrum.ibaguense","Asparagales","Orchidaceae","Epidendrum",TRUE,1
"Epilobium","Epilobium.sp1.M.PL.029","Myrtales","Onagraceae","Epilobium",TRUE,1
"Epilobium","Epilobium.sp1.M.PL.028","Myrtales","Onagraceae","Epilobium",TRUE,1
"Epilobium","Epilobium.gunnianum","Myrtales","Onagraceae","Epilobium",TRUE,1
"Epilobium","Epilobium.hirsutum","Myrtales","Onagraceae","Epilobium",TRUE,1
"Epilobium","Epilobium.latifolium","Myrtales","Onagraceae","Epilobium",TRUE,1
"Epilobium","Epilobium.nivale.","Myrtales","Onagraceae","Epilobium",TRUE,1
"Epilobium","Epilobium.sp1.M.PL.014","Myrtales","Onagraceae","Epilobium",TRUE,1
"Epilobium","Epilobium.angustifolium","Myrtales","Onagraceae","Epilobium",TRUE,1
"Epilobium","Epilobium.montanum","Myrtales","Onagraceae","Epilobium",TRUE,1
"Epimedium","Epimedium.grandiflorum","Ranunculales","Berberidaceae","Epimedium",TRUE,1
"Epimedium","Epimedium.diphyllum","Ranunculales","Berberidaceae","Epimedium",TRUE,1
"Epistephium","Epistephium.duckei","Asparagales","Orchidaceae","Epistephium",TRUE,1
"Equium","Equium.sabulicola",NA,NA,NA,TRUE,1
"Erechthites","Erechthites.hieracifolia",NA,NA,NA,TRUE,1
"Erica","Erica.ciliaris","Ericales","Ericaceae","Erica",TRUE,1
"Erica","Erica.arborea","Ericales","Ericaceae","Erica",TRUE,1
"Erica","Erica.tetralix","Ericales","Ericaceae","Erica",TRUE,1
"Erica","Erica.manipuliflora","Ericales","Ericaceae","Erica",TRUE,1
"Erigenia","Erigenia.bulbosa","Apiales","Apiaceae","Erigenia",TRUE,1
"Erigeron","Erigeron.canadensis","Asterales","Asteraceae","Erigeron",TRUE,1
"Erigeron","Erigeron.pulchellus","Asterales","Asteraceae","Erigeron",TRUE,1
"Erigeron","Erigeron.uniflorus","Asterales","Asteraceae","Erigeron",TRUE,1
"Erigeron","Erigeron.eriocephalus","Asterales","Asteraceae","Erigeron",TRUE,1
"Erigeron","Erigeron.philadelphicus","Asterales","Asteraceae","Erigeron",TRUE,1
"Erigeron","Erigeron.annuus","Asterales","Asteraceae","Erigeron",TRUE,1
"Erigeron","Erigeron.compositus","Asterales","Asteraceae","Erigeron",TRUE,1
"Erigeron","Erigeron.sp1.M.PL.014","Asterales","Asteraceae","Erigeron",TRUE,1
"Erigeron","Erigeron.andicola","Asterales","Asteraceae","Erigeron",TRUE,1
"Erigeron","Erigeron.ramosus","Asterales","Asteraceae","Erigeron",TRUE,1
"Erigeron","Erigeron.macranthus","Asterales","Asteraceae","Erigeron",TRUE,1
"Eriobotrya","Eriobotrya.japonica",NA,NA,NA,TRUE,1
"Eriopsis","Eriopsis.biloba","Asparagales","Orchidaceae","Eriopsis",TRUE,1
"Erodium","Erodium.cicutarium","Geraniales","Geraniaceae","Erodium",TRUE,1
"Erodium","Erodium.malacoides","Geraniales","Geraniaceae","Erodium",TRUE,1
"Eruca","Eruca.vesicaria","Brassicales","Brassicaceae","Eruca",TRUE,1
"Eryngium","Eryngium.stenophyllum","Apiales","Apiaceae","Eryngium",TRUE,1
"Eryngium","Eryngium.horridum","Apiales","Apiaceae","Eryngium",TRUE,1
"Eryngium","Eryngium.campestre","Apiales","Apiaceae","Eryngium",TRUE,1
"Eryngium","Eryngium.yuccifolium","Apiales","Apiaceae","Eryngium",TRUE,1
"Eryngium","Eryngium.floribundum","Apiales","Apiaceae","Eryngium",TRUE,1
"Eryngium","Eryngium.nudicaule","Apiales","Apiaceae","Eryngium",TRUE,1
"Erysimum","Erysimum.scoparium","Brassicales","Brassicaceae","Erysimum",TRUE,1
"Erysimum","Erysimum.asperum","Brassicales","Brassicaceae","Erysimum",TRUE,1
"Erysimum","Erysimum.sp1.M.PL.014","Brassicales","Brassicaceae","Erysimum",TRUE,1
"Erysimum","Erysimum.pallasii","Brassicales","Brassicaceae","Erysimum",TRUE,1
"Erysimum","Erysimum.cheiranthoides","Brassicales","Brassicaceae","Erysimum",TRUE,1
"Erythronium","Erythronium.albidum","Liliales","Liliaceae","Erythronium",TRUE,1
"Erythronium","Erythronium.umbilicatum","Liliales","Liliaceae","Erythronium",TRUE,1
"Erythrospermum","Erythrospermum.monticolum","Malpighiales","Achariaceae","Erythrospermum",TRUE,1
"Erythroxylum","Erythroxylum.macrocarpum","Malpighiales","Erythroxylaceae","Erythroxylum",TRUE,1
"Erythroxylum","Erythroxylum.sechellarum","Malpighiales","Erythroxylaceae","Erythroxylum",TRUE,1
"Eucryphia","Eucryphia.cordifolia","Oxalidales","Cunoniaceae","Eucryphia",TRUE,1
"Eugenia","Eugenia.orbiculata","Myrtales","Myrtaceae","Eugenia",TRUE,1
"Eulophus","Eulophus.americanus",NA,NA,NA,TRUE,1
"Euodia","Euodia.chapelieri.var.chapelieri","Laurales","Lauraceae","Euodia",TRUE,2
"Euodia","Euodia.chapelieri.var.chapelieri","Sapindales","Rutaceae","Euodia",TRUE,2
"Euodia","Euodia.obtusifolia.ssp.gigas.var.gigas","Laurales","Lauraceae","Euodia",TRUE,2
"Euodia","Euodia.obtusifolia.ssp.gigas.var.gigas","Sapindales","Rutaceae","Euodia",TRUE,2
"Euodia","Euodia.chapelieri","Laurales","Lauraceae","Euodia",TRUE,2
"Euodia","Euodia.chapelieri","Sapindales","Rutaceae","Euodia",TRUE,2
"Euodia","Euodia.meliifolia","Laurales","Lauraceae","Euodia",TRUE,2
"Euodia","Euodia.meliifolia","Sapindales","Rutaceae","Euodia",TRUE,2
"Euodia","Euodia.obtusifolia","Laurales","Lauraceae","Euodia",TRUE,2
"Euodia","Euodia.obtusifolia","Sapindales","Rutaceae","Euodia",TRUE,2
"Euonymus","Euonymus.sieboldianus","Celastrales","Celastraceae","Euonymus",TRUE,1
"Euonymus","Euonymus.fo.rtunei","Celastrales","Celastraceae","Euonymus",TRUE,1
"Euonymus","Euonymus.alatus","Celastrales","Celastraceae","Euonymus",TRUE,1
"Euonymus","Euonymus.macropterus","Celastrales","Celastraceae","Euonymus",TRUE,1
"Eupatorium","Eupatorium.lanigerum","Asterales","Asteraceae","Eupatorium",TRUE,1
"Eupatorium","Eupatorium.bupleurifolium","Asterales","Asteraceae","Eupatorium",TRUE,1
"Eupatorium","Eupatorium.chinense.sachalinense","Asterales","Asteraceae","Eupatorium",TRUE,1
"Eupatorium","Eupatorium.cannabinum","Asterales","Asteraceae","Eupatorium",TRUE,1
"Eupatorium","Eupatorium.macrocephalum","Asterales","Asteraceae","Eupatorium",TRUE,1
"Eupatorium","Eupatorium.tenacetifolium","Asterales","Asteraceae","Eupatorium",TRUE,1
"Eupatorium","Eupatorium.serotinum","Asterales","Asteraceae","Eupatorium",TRUE,1
"Eupatorium","Eupatorium.purpureum","Asterales","Asteraceae","Eupatorium",TRUE,1
"Eupatorium","Eupatorium.sessilifolium","Asterales","Asteraceae","Eupatorium",TRUE,1
