"Genero.original","Genero.especie","Orden.GBIF","Familia.GBIF","Genero.GBIF","genero.es.igual","n.fam"
"Aesculus","Aesculus.hippocastanum","Sapindales","Sapindaceae","Aesculus",TRUE,1
"Aesculus","Aesculus.glabra","Sapindales","Sapindaceae","Aesculus",TRUE,1
"Aesculus","Aesculus.sylvatica","Sapindales","Sapindaceae","Aesculus",TRUE,1
"Aesculus","Aesculus.turbinata","Sapindales","Sapindaceae","Aesculus",TRUE,1
"Aesculus","Aesculus.camea","Sapindales","Sapindaceae","Aesculus",TRUE,1
"Aetheorrina","Aetheorrina.bulbosa",NA,NA,NA,TRUE,1
"Aethusa","Aethusa.cynapium","Apiales","Apiaceae","Aethusa",TRUE,1
"Agastache","Agastache.scrophulariaefolia","Lamiales","Lamiaceae","Agastache",TRUE,1
"Agastache","Agastache.nepetoides","Lamiales","Lamiaceae","Agastache",TRUE,1
"Agauria","Agauria.salicifolia",NA,NA,NA,TRUE,1
"Ageratum","Ageratum.houstonianum","Asterales","Asteraceae","Ageratum",TRUE,2
"Ageratum","Ageratum.houstonianum","Lamiales","Scrophulariaceae","Ageratum",TRUE,2
"Ageratum","Ageratum.conyzoides","Asterales","Asteraceae","Ageratum",TRUE,2
"Ageratum","Ageratum.conyzoides","Lamiales","Scrophulariaceae","Ageratum",TRUE,2
"Ageretina","Ageretina.adenophora",NA,NA,NA,TRUE,1
"Agrimonia","Agrimonia.striata","Rosales","Rosaceae","Agrimonia",TRUE,1
"Agrimonia","Agrimonia.eupatoria","Rosales","Rosaceae","Agrimonia",TRUE,1
"Agrimonia","Agrimonia.pilosa","Rosales","Rosaceae","Agrimonia",TRUE,1
"Agrostis","Agrostis.clavata","Poales","Poaceae","Agrostis",TRUE,1
"Aichryson","Aichryson.laxum","Saxifragales","Crassulaceae","Aichryson",TRUE,1
"Ainsliaea","Ainsliaea.acerifolia","Asterales","Asteraceae","Ainsliaea",TRUE,1
"Ajuga","Ajuga.reptans","Lamiales","Lamiaceae","Ajuga",TRUE,1
"Ajuga","Ajuga.dictyocarpa","Lamiales","Lamiaceae","Ajuga",TRUE,1
"Akebia","Akebia.quinata","Ranunculales","Lardizabalaceae","Akebia",TRUE,1
"Alangium","Alangium.platanifolium","Cornales","Cornaceae","Alangium",TRUE,1
"Albizzia","Albizzia.julibrissin","Fabales","Fabaceae","Albizzia",TRUE,1
"Alcea","Alcea.pallida","Malvales","Malvaceae","Alcea",TRUE,1
"Aletris","Aletris.luteoviridis","Dioscoreales","Nartheciaceae","Aletris",TRUE,1
"Alisma","Alisma.canaliculatum","Alismatales","Alismataceae","Alisma",TRUE,1
"Alisma","Alisma.plantago.aquatica","Alismatales","Alismataceae","Alisma",TRUE,1
"Alium","Alium.grayi",NA,NA,NA,TRUE,1
"Alkanna","Alkanna.tinctoria","Myrtales","Lythraceae","Alkanna",TRUE,2
"Alkanna","Alkanna.tinctoria","Boraginales","Boraginaceae","Alkanna",TRUE,2
"Allium","Allium.subhirsutum","Liliales","Liliaceae","Allium",TRUE,2
"Allium","Allium.subhirsutum","Asparagales","Amaryllidaceae","Allium",TRUE,2
"Allium","Allium.neapolitanum","Liliales","Liliaceae","Allium",TRUE,2
"Allium","Allium.neapolitanum","Asparagales","Amaryllidaceae","Allium",TRUE,2
"Allium","Allium.recurvatum","Liliales","Liliaceae","Allium",TRUE,2
"Allium","Allium.recurvatum","Asparagales","Amaryllidaceae","Allium",TRUE,2
"Allium","Allium.thunbergii","Liliales","Liliaceae","Allium",TRUE,2
"Allium","Allium.thunbergii","Asparagales","Amaryllidaceae","Allium",TRUE,2
"Allium","Allium.ampeloprasum","Liliales","Liliaceae","Allium",TRUE,2
"Allium","Allium.ampeloprasum","Asparagales","Amaryllidaceae","Allium",TRUE,2
"Allium","Allium.scorodoprasum","Liliales","Liliaceae","Allium",TRUE,2
"Allium","Allium.scorodoprasum","Asparagales","Amaryllidaceae","Allium",TRUE,2
"Alocasia","Alocasia.odora","Alismatales","Araceae","Alocasia",TRUE,1
"Alophia","Alophia.lahue","Asparagales","Iridaceae","Alophia",TRUE,1
"Alpinia","Alpinia.intermedia","Zingiberales","Zingiberaceae","Alpinia",TRUE,1
"Alpinia","Alpinia.formosana","Zingiberales","Zingiberaceae","Alpinia",TRUE,1
"Alpinia","Alpinia.sp1.M.PL.044","Zingiberales","Zingiberaceae","Alpinia",TRUE,1
"Alstonia","Alstonia.macrophylla","Gentianales","Apocynaceae","Alstonia",TRUE,1
"Alstroemeria","Alstroemeria.aurea","Liliales","Alstroemeriaceae","Alstroemeria",TRUE,2
"Alstroemeria","Alstroemeria.aurea","Asparagales","Amaryllidaceae","Alstroemeria",TRUE,2
"Alstromemeria","Alstromemeria.pallida",NA,NA,NA,TRUE,1
"Alternanthera","Alternanthera.ficoidea","Caryophyllales","Amaranthaceae","Alternanthera",TRUE,1
"Alyssum","Alyssum.maritimum","Brassicales","Brassicaceae","Alyssum",TRUE,1
"Amaranthus","Amaranthus.spinosus","Caryophyllales","Amaranthaceae","Amaranthus",TRUE,1
"Ambrosia","Ambrosia.trifida","Asterales","Asteraceae","Ambrosia",TRUE,1
"Amelanchier","Amelanchier.canadensis","Rosales","Rosaceae","Amelanchier",TRUE,1
"Ammannia","Ammannia.coccinea","Myrtales","Lythraceae","Ammannia",TRUE,1
"Amomyrtus","Amomyrtus.luma","Myrtales","Myrtaceae","Amomyrtus",TRUE,1
"Amomyrtus","Amomyrtus.meli","Myrtales","Myrtaceae","Amomyrtus",TRUE,1
"Amorpha","Amorpha.fruticosa","Fabales","Fabaceae","Amorpha",TRUE,1
"Amorpha","Amorpha.canescens","Fabales","Fabaceae","Amorpha",TRUE,1
"Ampelopsis","Ampelopsis.brevipedunculata","Vitales","Vitaceae","Ampelopsis",TRUE,1
"Ampetopsis","Ampetopsis.brevipedunculata",NA,NA,NA,TRUE,1
"Amphicarpa","Amphicarpa.pitcheri",NA,NA,NA,TRUE,1
"Amphicarpaea","Amphicarpaea.bracteata","Fabales","Fabaceae","Amphicarpaea",TRUE,1
"Anacyclus","Anacyclus.radiatus","Asterales","Asteraceae","Anacyclus",TRUE,1
"Anagallis","Anagallis.alternifolia",NA,NA,NA,TRUE,1
"Anagallis","Anagallis.arvensis",NA,NA,NA,TRUE,1
"Anaphalis","Anaphalis.margaritacea","Asterales","Asteraceae","Anaphalis",TRUE,1
"Anarthrophyllum","Anarthrophyllum.gayanum","Fabales","Fabaceae","Anarthrophyllum",TRUE,1
"Anarthrophyllum","Anarthrophyllum.cumingii","Fabales","Fabaceae","Anarthrophyllum",TRUE,1
"Anchusa","Anchusa.variegata","Boraginales","Boraginaceae","Anchusa",TRUE,1
"Anchusa","Anchusa.undulata","Boraginales","Boraginaceae","Anchusa",TRUE,1
"Andromeda","Andromeda.glaucophylla","Ericales","Ericaceae","Andromeda",TRUE,1
"Andryala","Andryala.pinnatifida","Asterales","Asteraceae","Andryala",TRUE,1
"Anemone","Anemone.flaccida","Ranunculales","Ranunculaceae","Anemone",TRUE,1
"Anemone","Anemone.coronaria","Ranunculales","Ranunculaceae","Anemone",TRUE,1
"Anemone","Anemone.pavonina","Ranunculales","Ranunculaceae","Anemone",TRUE,1
"Anemonella","Anemonella.thalictroides","Ranunculales","Ranunculaceae","Anemonella",TRUE,1
"Anethum","Anethum.graveolens","Apiales","Apiaceae","Anethum",TRUE,1
"Angelica","Angelica.longeradiata","Apiales","Apiaceae","Angelica",TRUE,1
"Angelica","Angelica.sylvestris","Apiales","Apiaceae","Angelica",TRUE,1
"Angelica","Angelica.pubescens","Apiales","Apiaceae","Angelica",TRUE,1
"Angelica","Angelica.archangelica","Apiales","Apiaceae","Angelica",TRUE,1
"Angelica","Angelica.polymorpha","Apiales","Apiaceae","Angelica",TRUE,1
"Angelica","Angelica.cartilagino-marginata","Apiales","Apiaceae","Angelica",TRUE,1
"Anisotome","Anisotome.flexuosus","Apiales","Apiaceae","Anisotome",TRUE,1
"Anisotome","Anisotome.aromatica","Apiales","Apiaceae","Anisotome",TRUE,1
"Antennaria","Antennaria.plantaginifolia","Asterales","Asteraceae","Antennaria",TRUE,1
