"S","OS","WN","ST","periodo","periodo.n"
0.384615384615385,0.2,0.714285714285714,0.514285714285714,"1-2",1
0.375,0.111111111111111,0.578947368421053,0.467836257309941,"2-3",2
0.157894736842105,0.2,0.384615384615385,0.184615384615385,"3-4",3
0.181818181818182,0.2,0.375,0.175,"4-5",4
0.185185185185185,0.142857142857143,0.285714285714286,0.142857142857143,"5-6",5
0.333333333333333,0.142857142857143,0.478260869565217,0.335403726708075,"6-7",6
0.272727272727273,0.217391304347826,0.485714285714286,0.26832298136646,"7-8",7
0.466666666666667,0.142857142857143,0.666666666666667,0.523809523809524,"8-9",8
0.0909090909090908,0,0.2,0.2,"9-10",9
0.5,0,0.818181818181818,0.818181818181818,"10-11",10
0.466666666666667,0.142857142857143,0.647058823529412,0.504201680672269,"11-12",11
0.294117647058824,0,0.333333333333333,0.333333333333333,"12-13",12
0.333333333333333,0.0909090909090908,0.5,0.409090909090909,"13-14",13
0.428571428571429,0.142857142857143,0.625,0.482142857142857,"14-15",14
0.666666666666667,0,0.80952380952381,0.80952380952381,"15-16",15
0.555555555555556,0.2,0.8,0.6,"16-17",16
0.333333333333333,0.230769230769231,0.523809523809524,0.293040293040293,"17-18",17
0.428571428571429,0.0666666666666667,0.5,0.433333333333333,"18-19",18
0.157894736842105,0.333333333333333,0.5,0.166666666666667,"19-20",19
0.157894736842105,0.2,0.36,0.16,"20-21",20
0.222222222222222,0.111111111111111,0.36,0.248888888888889,"21-22",21
0.333333333333333,0.0588235294117647,0.36,0.301176470588235,"22-23",22
0.52,0,0.5625,0.5625,"23-24",23
0.6,0,0.724137931034483,0.724137931034483,"24-25",24
0.222222222222222,0.285714285714286,0.545454545454545,0.25974025974026,"25-26",25
0.1,0.333333333333333,0.444444444444444,0.111111111111111,"26-27",26
0.272727272727273,0.0769230769230769,0.5,0.423076923076923,"27-28",27
0.217391304347826,0.130434782608696,0.393939393939394,0.263504611330698,"28-29",28
0.454545454545455,0.142857142857143,0.647058823529412,0.504201680672269,"29-30",29
0.1,0.12,0.241379310344828,0.121379310344828,"30-31",30
0.4,0,0.52,0.52,"31-32",31
0.846153846153846,NA,1,NA,"32-33",32
0.428571428571429,0,0.6,0.6,"33-34",33
0.428571428571429,0,0.666666666666667,0.666666666666667,"34-35",34
0.411764705882353,0.25,0.666666666666667,0.416666666666667,"35-36",35
0.333333333333333,0.111111111111111,0.407407407407407,0.296296296296296,"36-37",36
0.28,0.142857142857143,0.419354838709677,0.276497695852535,"37-38",37
0.363636363636364,0.2,0.555555555555556,0.355555555555556,"38-39",38
0.238095238095238,0.0476190476190477,0.333333333333333,0.285714285714286,"39-40",39
0.733333333333333,NA,1,NA,"40-41",40
0.333333333333333,0.333333333333333,0.6,0.266666666666667,"41-42",41
0.157894736842105,0.142857142857143,0.294117647058824,0.151260504201681,"42-43",42
0.25,0.125,0.416666666666667,0.291666666666667,"43-44",43
0.36,0.0526315789473684,0.4,0.347368421052632,"44-45",44
0.153846153846154,0.111111111111111,0.272727272727273,0.161616161616162,"45-46",45
0.461538461538461,0.2,0.636363636363636,0.436363636363637,"46-47",46
0.391304347826087,0.111111111111111,0.448275862068966,0.337164750957854,"47-48",47
