"S","OS","WN","ST","periodo","periodo.n"
0.616161616161616,0.5,0.906542056074766,0.406542056074766,"2015-2016",1
0.363636363636364,0.433962264150943,0.640718562874252,0.206756298723308,"2016-2017",2
0.342857142857143,0.565891472868217,0.711340206185567,0.14544873331735,"2017-2018",3
0.389312977099237,0.607476635514019,0.76536312849162,0.157886492977601,"2018-2019",4
0.490909090909091,0.389830508474576,0.735294117647059,0.345463609172483,"2019-2020",5
0.352380952380952,0.386363636363636,0.6,0.213636363636364,"2020-2021",6
