"Family","Genus","sp.armonizado","DIT.final"
"Megachilidae","Anthidium","Anthidium funereum",3.2
"Megachilidae","Anthidium","Anthidium manicatum",3.51
"Megachilidae","Anthidium","Anthidium septemspinosum",3.5
"Megachilidae","Anthidium","Anthidium taeniatum",2.56
"Megachilidae","Anthidium","Anthidium undulatum",2.57
"Andrenidae","Anthophora","Anthophora abrupta",3.9
"Apidae","Anthophora","Anthophora alluaudi",4.16
"Apidae","Anthophora","Anthophora atroalba",3.88
"Apidae","Anthophora","Anthophora canescens",4.78
"Apidae","Anthophora","Anthophora dispar",4.36
"Apidae","Anthophora","Anthophora dufourii",4.49
"Apidae","Anthophora","Anthophora incerta",4.13
"Apidae","Anthophora","Anthophora orotavae",3.12
"Apidae","Anthophora","Anthophora plumipes",4.26
"Apidae","Anthophora","Anthophora quadricolor",4.12
"Apidae","Anthophora","Anthophora retusa",3.73
"Apidae","Apis","Apis cerana",2.38
"Apidae","Apis","Apis cerana japonica",2.38
"Apidae","Apis","Apis mellifera",3.01
"Megachilidae","Ashmeadiella","Ashmeadiella bucconis",1.78
"Halictidae","Augochlora","Augochlora pura",1.64
"Halictidae","Augochlorella","Augochlorella aurata",1.405
"Apidae","Bombus","Bombus alpinus",3.89
"Apidae","Bombus","Bombus ardens",4.98
"Apidae","Bombus","Bombus argillaceus",4.71
"Apidae","Bombus","Bombus atratus",5.66
"Apidae","Bombus","Bombus bifarius",2.89
"Apidae","Bombus","Bombus bimaculatus",4.07
"Apidae","Bombus","Bombus bohemicus",4.86
"Apidae","Bombus","Bombus brasiliensis",4.4
"Apidae","Bombus","Bombus brevivillus",4.5
"Apidae","Bombus","Bombus campestris",4.66
"Apidae","Bombus","Bombus centralis",3.06
"Apidae","Bombus","Bombus consobrinus",3.68
"Apidae","Bombus","Bombus cryptarum",4.25
"Apidae","Bombus","Bombus dahlbomii",6.055
"Apidae","Bombus","Bombus diversus",5.445
"Apidae","Bombus","Bombus diversus diversus",5.14
"Apidae","Bombus","Bombus fervidus",3.48
"Apidae","Bombus","Bombus flavifrons",2.89
"Apidae","Bombus","Bombus griseocollis",4.87
"Apidae","Bombus","Bombus honshuensis",6.1
"Apidae","Bombus","Bombus hortorum",4.54
"Apidae","Bombus","Bombus hortotum",4.74
"Apidae","Bombus","Bombus hunti",5.13
"Apidae","Bombus","Bombus hyperboreus",7.6
"Apidae","Bombus","Bombus hypnorum",4.07
"Apidae","Bombus","Bombus hypocrita",5.4
"Apidae","Bombus","Bombus hypocrita hypocrita",5.4
"Apidae","Bombus","Bombus ignitus",6.3
"Apidae","Bombus","Bombus impatiens",3.9
"Apidae","Bombus","Bombus jonellus",5.08
"Apidae","Bombus","Bombus lapidarius",4.28
"Apidae","Bombus","Bombus lucorum",4.28
"Apidae","Bombus","Bombus morio",5
"Apidae","Bombus","Bombus muscorum",4.21
"Apidae","Bombus","Bombus nevadensis",5.06
"Apidae","Bombus","Bombus occidentalis",3.89
"Apidae","Bombus","Bombus pascuorum",3.91
"Apidae","Bombus","Bombus pennsylvanicus",6
"Apidae","Bombus","Bombus pratorum",4.03
"Apidae","Bombus","Bombus ridingsii",5.44
"Apidae","Bombus","Bombus ruderatus",5.04
"Apidae","Bombus","Bombus rupestris",5.62
"Apidae","Bombus","Bombus soroeensis",3.98
"Apidae","Bombus","Bombus terrestris",4.69
"Apidae","Bombus","Bombus vagans",3.56
"Colletidae","Cadeguala","Cadeguala occidentalis",3.3
"Andrenidae","Calliopsis","Calliopsis andreniformis",1.36
"Andrenidae","Calliopsis","Calliopsis coloradensis",1.65
"Apidae","Centris","Centris aenea",4.7
"Apidae","Centris","Centris caxiensis",4.2
"Apidae","Centris","Centris cineraria",5.108
"Apidae","Centris","Centris flavifrons",5.5
"Apidae","Centris","Centris fuscata",4.8
"Apidae","Centris","Centris nigerrima",4.836
"Apidae","Centris","Centris obsoleta",6.5
"Apidae","Centris","Centris tarsata",3
"Apidae","Centris","Centris trigonoides",3
"Apidae","Ceratina","Ceratina acuta",1.55
"Apidae","Ceratina","Ceratina bispinosa",1
"Apidae","Ceratina","Ceratina calcarata",1.41
"Apidae","Ceratina","Ceratina cucurbitina",1.43
"Apidae","Ceratina","Ceratina cyanea",1.35
"Apidae","Ceratina","Ceratina dallatorreana",1.16
"Apidae","Ceratina","Ceratina dentiventris",1.13
"Apidae","Ceratina","Ceratina dupla",1.42
"Apidae","Ceratina","Ceratina flavipes",1.71
"Apidae","Ceratina","Ceratina japonica",1.22
"Apidae","Ceratina","Ceratina loewi",1.76
"Apidae","Ceratina","Ceratina mocsaryi",1.82
"Apidae","Ceratina","Ceratina nigrolabiata",1.33
"Apidae","Ceratina","Ceratina okinawana",1.41
"Apidae","Ceratina","Ceratina parvula",0.77
"Megachilidae","Chelostoma","Chelostoma campanularum",1
"Megachilidae","Chelostoma","Chelostoma emarginatum",1.13
"Megachilidae","Chelostoma","Chelostoma hellenicum",0.96
"Megachilidae","Coelioxys","Coelioxys aurolimbatus",3.09
"Megachilidae","Coelioxys","Coelioxys mandibularis",2.45
"Colletidae","Colletes","Colletes acutus",2.78
"Colletidae","Colletes","Colletes albomaculatus",2.96
"Colletidae","Colletes","Colletes araucariae",2.417
"Colletidae","Colletes","Colletes caspicus",3.24
"Colletidae","Colletes","Colletes compactus",3.143
"Colletidae","Colletes","Colletes cunicularius",3.33
"Colletidae","Colletes","Colletes dimidiatus",3.84
"Colletidae","Colletes","Colletes eous",2.63
"Colletidae","Colletes","Colletes fodiens",2.46
"Colletidae","Colletes","Colletes foveolaris",2.59
"Colletidae","Colletes","Colletes kincaidi",1.97
"Colletidae","Colletes","Colletes similis",2.41
"Colletidae","Colletes","Colletes succinctus",2.99
"Melittidae","Dasypoda","Dasypoda cingulata",3.44
"Melittidae","Dasypoda","Dasypoda iberica",2.9
"Colletidae","Diphaglossa","Diphaglossa gayi",2.11
"Megachilidae","Eoanthidium","Eoanthidium insulare",2.4
"Apidae","Epeolus","Epeolus fallax",2.51
"Apidae","Eucera","Eucera albofasciata",2.91
"Apidae","Eucera","Eucera bidentata",2.19
"Apidae","Eucera","Eucera clypeata",3.05
"Apidae","Eucera","Eucera furfurea",3.28
"Apidae","Eucera","Eucera gracilipes",3.84
"Apidae","Eucera","Eucera nigrescens",3.56
"Apidae","Eucera","Eucera nigrilabris",3.9
"Apidae","Eucera","Eucera parnassia",2.88
"Apidae","Eucera","Eucera punctulata",3.28
"Apidae","Eucera","Eucera seminuda",2.91
"Apidae","Euglossa","Euglossa chalybeata",3.6
"Apidae","Euglossa","Euglossa cordata",3.4
"Apidae","Eulaema","Eulaema meriana",6.8
