"S","OS","WN","ST","periodo","periodo.n"
0.51219512195122,0.434782608695652,0.74757281553398,0.312790206838328,"1-2",1
0.518072289156627,0.414634146341463,0.804878048780488,0.390243902439025,"2-3",2
0.547619047619048,0.714285714285714,0.921875,0.207589285714286,"3-4",3
0.6,0.304347826086957,0.780821917808219,0.476474091721263,"4-5",4
0.569230769230769,0.5,0.849462365591398,0.349462365591398,"5-6",5
0.394736842105263,0.34375,0.611111111111111,0.267361111111111,"6-7",6
0.446153846153846,0.320754716981132,0.590909090909091,0.270154373927959,"7-8",7
0.428571428571429,0.434782608695652,0.74,0.305217391304348,"8-9",8
0.5,0.444444444444444,0.770114942528736,0.325670498084291,"9-10",9
0.52112676056338,0.5,0.821782178217822,0.321782178217822,"10-11",10
0.411764705882353,0.375,0.615384615384615,0.240384615384615,"11-12",11
