"","esp","ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","Aceptado","sp.armonizado","genero.x","genero.y","orden","familia"
"309","Andrena carlini","M_033","Malpighiales","Salicaceae","Salix","Salix","Salix.fragilis",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"310","Andrena carlini","M_062","Asterales","Asteraceae","Solidago","Solidago","Solidago.missouriensis",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"311","Andrena carlini","M_062","Rosales","Ulmaceae","Ulmus","Ulmus","Ulmus.americana",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"312","Andrena carlini","M_062","Dipsacales","Viburnaceae","Viburnum","Viburnum","Viburnum.prunifolium",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"313","Andrena carlini","M_062","Poales","Poaceae","Zea","Zea","Zea.mays",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"314","Andrena carlini","M_062","Lamiales","Lamiaceae","Pycnanthemum","Pycnanthemum","Pycnanthemum.virginianum",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"315","Andrena carlini","M_025",NA,NA,NA,"Sangiunaria","Sangiunaria.canadensis",2,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"316","Andrena carlini","M_062",NA,NA,NA,"Gaura","Gaura.biennis",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"317","Andrena carlini","M_062","Saxifragales","Grossulariaceae","Ribes","Ribes","Ribes.gracile",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"318","Andrena carlini","M_062","Asterales","Asteraceae","Verbesina","Verbesina","Verbesina.helianthoides",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"319","Andrena carlini","M_062","Malpighiales","Violaceae","Viola","Viola","Viola.pubescens",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"320","Andrena carlini","M_062","Malvales","Malvaceae","Hibiscus","Hibiscus","Hibiscus.militaris",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"321","Andrena carlini","M_062","Lamiales","Plantaginaceae","Linaria","Linaria","Linaria.vulgaris",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"322","Andrena carlini","M_062","Sapindales","Anacardiaceae","Rhus","Rhus","Rhus.canadensis",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"323","Andrena carlini","M_025","Brassicales","Brassicaceae","Cardamine","Cardamine","Cardamine.angustata.angustata",7,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"324","Andrena carlini","M_025","Liliales","Liliaceae","Erythronium","Erythronium","Erythronium.umbilicatum",4,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"325","Andrena carlini","M_062","Liliales","Colchicaceae","Uvularia","Uvularia","Uvularia.grandiflora",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"326","Andrena carlini","M_062","Liliales","Liliaceae","Lilium","Lilium","Lilium.superbum",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"327","Andrena carlini","M_062","Vitales","Vitaceae","Vitis","Vitis","Vitis.vulpina",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"328","Andrena carlini","M_025",NA,NA,NA,NA,"Hepatica.americana",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"329","Andrena carlini","M_062","Lamiales","Scrophulariaceae","Verbascum","Verbascum","Verbascum.thapsus",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"330","Andrena carlini","M_062","Malpighiales","Violaceae","Viola","Viola","Viola.cucullata",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"331","Andrena carlini","M_025",NA,NA,NA,NA,"Claytonia.virginica",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"332","Andrena carlini","M_062","Sapindales","Rutaceae","Zanthoxylum","Zanthoxylum","Zanthoxylum.americanum",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"333","Andrena carlini","M_062","Malpighiales","Violaceae","Viola","Viola","Viola.striata",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"334","Andrena carlini","M_062","Lamiales","Verbenaceae","Verbena","Verbena","Verbena.hastata",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"335","Andrena carlini","M_062","Malvales","Malvaceae","Malva","Malva","Malva.rotundifolia",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"336","Andrena carlini","M_062",NA,NA,NA,NA,"Hypoxis.hirsuta",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"337","Andrena carlini","M_062","Fabales","Fabaceae","Lespedeza","Lespedeza","Lespedeza.virginica",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"338","Andrena carlini","M_062","Lamiales","Lamiaceae","Pycnanthemum","Pycnanthemum","Pycnanthemum.pilosum",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"339","Andrena carlini","M_062","Dipsacales","Caprifoliaceae","Triosteum","Triosteum","Triosteum.perfoliatum",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"340","Andrena carlini","M_062","Malpighiales","Passifloraceae","Passiflora","Passiflora","Passiflora.lutea",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"341","Andrena carlini","M_032",NA,NA,NA,NA,"Claytonia.virginica",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"342","Andrena carlini","M_062","Gentianales","Rubiaceae","Galium","Galium","Galium.trifidum",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"343","Andrena carlini","M_062","Vitales","Vitaceae","Vitis","Vitis","Vitis.cordifolia",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"344","Andrena carlini","M_062","Lamiales","Verbenaceae","Verbena","Verbena","Verbena.bracteosa",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"345","Andrena carlini","M_062","Asterales","Asteraceae","Vernonia","Vernonia","Vernonia.fasciculata",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"346","Andrena carlini","M_062","Apiales","Apiaceae","Pastinaca","Pastinaca","Pastinaca.sativa",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"347","Andrena carlini","M_062","Malpighiales","Violaceae","Viola","Viola","Viola.pedata",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"348","Andrena carlini","M_062","Ericales","Polemoniaceae","Phlox","Phlox","Phlox.glaberrima",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"349","Andrena carlini","M_062","Lamiales","Plantaginaceae","Veronica","Veronica","Veronica.peregrina",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"350","Andrena carlini","M_062","Rosales","Rhamnaceae","Rhamnus","Rhamnus","Rhamnus.lanceolata",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"351","Andrena carlini","M_033",NA,NA,NA,"Nemopanthus","Nemopanthus.mucronata",2,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"352","Andrena carlini","M_062","Lamiales","Plantaginaceae","Veronica","Veronica","Veronica.virginica",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"353","Andrena carlini","M_062","Lamiales","Verbenaceae","Verbena","Verbena","Verbena.angustifolia",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"354","Andrena carlini","M_062","Fabales","Fabaceae","Trifolium","Trifolium","Trifolium.repens",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"355","Andrena carlini","M_062","Malpighiales","Violaceae","Viola","Viola","Viola.sagittata",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"356","Andrena carlini","M_025","Liliales","Melanthiaceae","Trillium","Trillium","Trillium.catesbei",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"357","Andrena carlini","M_062","Rosales","Ulmaceae","Ulmus","Ulmus","Ulmus.fulva",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"358","Andrena carlini","M_025",NA,NA,NA,NA,"Stellaria.pubera",2,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"359","Andrena carlini","M_062","Rosales","Rosaceae","Potentilla","Potentilla","Potentilla.canadensis",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"360","Andrena carlini","M_062","Crossosomatales","Staphyleaceae","Staphylea","Staphylea","Staphylea.trifolia",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"361","Andrena carlini","M_062","Sapindales","Anacardiaceae","Rhus","Rhus","Rhus.copallina",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"362","Andrena carlini","M_062","Dipsacales","Viburnaceae","Viburnum","Viburnum","Viburnum.pubescens",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"363","Andrena carlini","M_033","Saxifragales","Crassulaceae","Ledum","Ledum","Ledum.groenlandicum",1,"Andrena.carlini",NA,"Andrena carlini","Andrena","Andrena","Hymenoptera","Andrenidae"
"364","Andrena carolina","M_033","Ericales","Ericaceae","Vaccinium","Vaccinium","Vaccinium.myrtilloides",6,"Andrena.carolina",NA,"Andrena carolina","Andrena","Andrena","Hymenoptera","Andrenidae"
"365","Andrena carolina","M_033","Malpighiales","Salicaceae","Salix","Salix","Salix.fragilis",1,"Andrena.carolina",NA,"Andrena carolina","Andrena","Andrena","Hymenoptera","Andrenidae"
"366","Andrena carolina","M_033","Saxifragales","Crassulaceae","Ledum","Ledum","Ledum.groenlandicum",4,"Andrena.carolina",NA,"Andrena carolina","Andrena","Andrena","Hymenoptera","Andrenidae"
"367","Andrena carolina","M_033","Ericales","Ericaceae","Gaylussacia","Gaylussacia","Gaylussacia.baccata",5,"Andrena.carolina",NA,"Andrena carolina","Andrena","Andrena","Hymenoptera","Andrenidae"
"368","Andrena ceanothi","M_025",NA,NA,NA,NA,"Claytonia.virginica",1,"Andrena.ceanothi",NA,"Andrena ceanothi","Andrena","Andrena","Hymenoptera","Andrenidae"
"369","Andrena chrysosceles","M_007","Asterales","Asteraceae","Leucanthemum","Leucanthemum","Leucanthemum.vulgare",2,"Andrena.chrysosceles",NA,"Andrena chrysosceles","Andrena","Andrena","Hymenoptera","Andrenidae"
"370","Andrena cinereophila","M_015","Asterales","Asteraceae","Scorzonera","Scorzonera","Scorzonera.cana",1,"Andrena.cinereophila",NA,"Andrena cinereophila","Andrena","Andrena","Hymenoptera","Andrenidae"
"371","Andrena clarkella","M_047","Malpighiales","Salicaceae","Salix","Salix","Salix.aurita",1,"Andrena.clarkella",NA,"Andrena clarkella","Andrena","Andrena","Hymenoptera","Andrenidae"
"372","Andrena clarkella","M_047","Malpighiales","Salicaceae","Salix","Salix","Salix.repens",1,"Andrena.clarkella",NA,"Andrena clarkella","Andrena","Andrena","Hymenoptera","Andrenidae"
"373","Andrena combaella","M_015",NA,NA,NA,"Chamomilla","Chamomilla.recutita",1,"Andrena.combaella",NA,"Andrena combaella","Andrena","Andrena","Hymenoptera","Andrenidae"
"374","Andrena concinna","M_015","Asterales","Asteraceae","Helichrysum","Helichrysum","Helichrysum.stoechas",1,"Andrena.concinna",NA,"Andrena concinna","Andrena","Andrena","Hymenoptera","Andrenidae"
"375","Andrena concinna","M_015","Asterales","Asteraceae","Calendula","Calendula","Calendula.arvensis",1,"Andrena.concinna",NA,"Andrena concinna","Andrena","Andrena","Hymenoptera","Andrenidae"
"376","Andrena concinna","M_015","Asterales","Asteraceae","Chrysanthemum","Chrysanthemum","Chrysanthemum.coronarium",1,"Andrena.concinna",NA,"Andrena concinna","Andrena","Andrena","Hymenoptera","Andrenidae"
"377","Andrena confederata","M_073","Apiales","Apiaceae","Conium","Conium","Conium.maculatum",2,"Andrena.confederata",NA,"Andrena confederata","Andrena","Andrena","Hymenoptera","Andrenidae"
"378","Andrena crassana","M_015","Geraniales","Geraniaceae","Geranium","Geranium","Geranium.rotundifolium",1,"Andrena.crassana",NA,"Andrena crassana","Andrena","Andrena","Hymenoptera","Andrenidae"
"379","Andrena crassana","M_015","Asterales","Campanulaceae","Campanula","Campanula","Campanula.drabifolia",1,"Andrena.crassana",NA,"Andrena crassana","Andrena","Andrena","Hymenoptera","Andrenidae"
"380","Andrena crassana","M_015","Geraniales","Geraniaceae","Erodium","Erodium","Erodium.cicutarium",1,"Andrena.crassana",NA,"Andrena crassana","Andrena","Andrena","Hymenoptera","Andrenidae"
"381","Andrena crassana","M_015","Geraniales","Geraniaceae","Erodium","Erodium","Erodium.malacoides",1,"Andrena.crassana",NA,"Andrena crassana","Andrena","Andrena","Hymenoptera","Andrenidae"
"382","Andrena crataegi","M_005","Rosales","Rosaceae","Holodiscus","Holodiscus","Holodiscus.dumosus",1,"Andrena.crataegi",NA,"Andrena crataegi","Andrena","Andrena","Hymenoptera","Andrenidae"
"383","Andrena crataegi","M_005","Asterales","Asteraceae","Carduus","Carduus","Carduus.hookerianus",1,"Andrena.crataegi",NA,"Andrena crataegi","Andrena","Andrena","Hymenoptera","Andrenidae"
"384","Andrena crataegi","M_005","Rosales","Rosaceae","Opulaster","Opulaster","Opulaster.opulifolius",1,"Andrena.crataegi",NA,"Andrena crataegi","Andrena","Andrena","Hymenoptera","Andrenidae"
"385","Andrena crataegi","M_005","Rosales","Rosaceae","Prunus","Prunus","Prunus.demissa",1,"Andrena.crataegi",NA,"Andrena crataegi","Andrena","Andrena","Hymenoptera","Andrenidae"
"386","Andrena crataegi","M_005","Lamiales","Lamiaceae","Monarda","Monarda","Monarda.fistulosa",1,"Andrena.crataegi",NA,"Andrena crataegi","Andrena","Andrena","Hymenoptera","Andrenidae"
"387","Andrena crataegi","M_005","Rosales","Rosaceae","Prunus","Prunus","Prunus.virginiana",1,"Andrena.crataegi",NA,"Andrena crataegi","Andrena","Andrena","Hymenoptera","Andrenidae"
"388","Andrena crataegi","M_005","Gentianales","Gentianaceae","Frasera","Frasera","Frasera.speciosa",1,"Andrena.crataegi",NA,"Andrena crataegi","Andrena","Andrena","Hymenoptera","Andrenidae"
"389","Andrena crataegi","M_005","Rosales","Rosaceae","Rosa","Rosa","Rosa.acicularis",1,"Andrena.crataegi",NA,"Andrena crataegi","Andrena","Andrena","Hymenoptera","Andrenidae"
"390","Andrena crataegi","M_005","Rosales","Rosaceae","Rubus","Rubus","Rubus.strigosus",1,"Andrena.crataegi",NA,"Andrena crataegi","Andrena","Andrena","Hymenoptera","Andrenidae"
"391","Andrena cressoni","M_032",NA,NA,NA,NA,"Claytonia.virginica",1,"Andrena.cressoni",NA,"Andrena cressoni","Andrena","Andrena","Hymenoptera","Andrenidae"
"392","Andrena cressoni","M_032","Ranunculales","Ranunculaceae","Isopyrum","Isopyrum","Isopyrum.biternatum",1,"Andrena.cressoni",NA,"Andrena cressoni","Andrena","Andrena","Hymenoptera","Andrenidae"
"393","Andrena dentata","M_057",NA,NA,NA,"Aralta","Aralta.elata",1,"Andrena.dentata",NA,"Andrena dentata","Andrena","Andrena","Hymenoptera","Andrenidae"
"394","Andrena dentata","M_057","Ericales","Clethraceae","Clethra","Clethra","Clethra.barbinervis",4,"Andrena.dentata",NA,"Andrena dentata","Andrena","Andrena","Hymenoptera","Andrenidae"
"395","Andrena dentata","M_053","Cornales","Hydrangeaceae","Hydrangea","Hydrangea","Hydrangea.paniculata",1,"Andrena.dentata",NA,"Andrena dentata","Andrena","Andrena","Hymenoptera","Andrenidae"
"396","Andrena dentata","M_057","Rosales","Rosaceae","Rubus","Rubus","Rubus.crataegifolius",2,"Andrena.dentata",NA,"Andrena dentata","Andrena","Andrena","Hymenoptera","Andrenidae"
"397","Andrena dentata","M_053","Ericales","Ericaceae","Pieris","Pieris","Pieris.japonica",1,"Andrena.dentata",NA,"Andrena dentata","Andrena","Andrena","Hymenoptera","Andrenidae"
"398","Andrena dentata","M_053","Ericales","Clethraceae","Clethra","Clethra","Clethra.barvinervis",1,"Andrena.dentata",NA,"Andrena dentata","Andrena","Andrena","Hymenoptera","Andrenidae"
"399","Andrena dentata","M_021","Apiales","Apiaceae","Angelica","Angelica","Angelica.pubescens",1,"Andrena.dentata",NA,"Andrena dentata","Andrena","Andrena","Hymenoptera","Andrenidae"
"400","Andrena dentata","M_021","Cornales","Hydrangeaceae","Hydrangea","Hydrangea","Hydrangea.paniculata",1,"Andrena.dentata",NA,"Andrena dentata","Andrena","Andrena","Hymenoptera","Andrenidae"
"401","Andrena distinguenda","M_015","Brassicales","Brassicaceae","Biscutella","Biscutella","Biscutella.didyma",1,"Andrena.distinguenda",NA,"Andrena distinguenda","Andrena","Andrena","Hymenoptera","Andrenidae"
"402","Andrena distinguenda","M_015","Apiales","Apiaceae","Scandix","Scandix","Scandix.australis",1,"Andrena.distinguenda",NA,"Andrena distinguenda","Andrena","Andrena","Hymenoptera","Andrenidae"
"403","Andrena distinguenda","M_015","Asterales","Asteraceae","Calendula","Calendula","Calendula.arvensis",1,"Andrena.distinguenda",NA,"Andrena distinguenda","Andrena","Andrena","Hymenoptera","Andrenidae"
"404","Andrena distinguenda","M_015","Lamiales","Plantaginaceae","Veronica","Veronica","Veronica.persica",1,"Andrena.distinguenda",NA,"Andrena distinguenda","Andrena","Andrena","Hymenoptera","Andrenidae"
"405","Andrena dunningi","M_025","Brassicales","Brassicaceae","Cardamine","Cardamine","Cardamine.angustata.angustata",1,"Andrena.dunningi",NA,"Andrena dunningi","Andrena","Andrena","Hymenoptera","Andrenidae"
"406","Andrena edashigei","M_044","Fagales","Fagaceae","Castanopsis","Castanopsis","Castanopsis.sieboldii",2,"Andrena.edashigei",NA,"Andrena edashigei","Andrena","Andrena","Hymenoptera","Andrenidae"
"407","Andrena edashigei","M_044","Cornales","Hydrangeaceae","Deutzia","Deutzia","Deutzia.naseana",14,"Andrena.edashigei",NA,"Andrena edashigei","Andrena","Andrena","Hymenoptera","Andrenidae"
"408","Andrena edashigei","M_044","Oxalidales","Elaeocarpaceae","Elaeocarpus","Elaeocarpus","Elaeocarpus.japonicus",3,"Andrena.edashigei",NA,"Andrena edashigei","Andrena","Andrena","Hymenoptera","Andrenidae"
"409","Andrena edwiniae","M_005","Cornales","Hydrangeaceae","Jamesia","Jamesia","Jamesia.americana",1,"Andrena.edwiniae",NA,"Andrena edwiniae","Andrena","Andrena","Hymenoptera","Andrenidae"
"410","Andrena edwiniae","M_005","Rosales","Rosaceae","Prunus","Prunus","Prunus.demissa",1,"Andrena.edwiniae",NA,"Andrena edwiniae","Andrena","Andrena","Hymenoptera","Andrenidae"
"411","Andrena erigeniae","M_025",NA,NA,NA,NA,"Claytonia.virginica",378,"Andrena.erigeniae",NA,"Andrena erigeniae","Andrena","Andrena","Hymenoptera","Andrenidae"
"412","Andrena erigeniae","M_025",NA,NA,NA,NA,"Stellaria.pubera",3,"Andrena.erigeniae",NA,"Andrena erigeniae","Andrena","Andrena","Hymenoptera","Andrenidae"
"413","Andrena erigeniae","M_025","Brassicales","Brassicaceae","Cardamine","Cardamine","Cardamine.angustata.angustata",2,"Andrena.erigeniae",NA,"Andrena erigeniae","Andrena","Andrena","Hymenoptera","Andrenidae"
"414","Andrena erigeniae","M_025","Ranunculales","Ranunculaceae","Thalictrum","Thalictrum","Thalictrum.thalictroides",1,"Andrena.erigeniae",NA,"Andrena erigeniae","Andrena","Andrena","Hymenoptera","Andrenidae"
"415","Andrena erythrogastra","M_062","Rosales","Rosaceae","Amelanchier","Amelanchier","Amelanchier.canadensis",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"416","Andrena erythrogastra","M_062","Lamiales","Lamiaceae","Agastache","Agastache","Agastache.scrophulariaefolia",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"417","Andrena erythrogastra","M_062","Lamiales","Lamiaceae","Agastache","Agastache","Agastache.nepetoides",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"418","Andrena erythrogastra","M_062",NA,NA,NA,"Actinomeris","Actinomeris.alternifolia",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"419","Andrena erythrogastra","M_062","Alismatales","Alismataceae","Alisma","Alisma","Alisma.plantago.aquatica",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"420","Andrena erythrogastra","M_062","Fabales","Fabaceae","Amorpha","Amorpha","Amorpha.canescens",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"421","Andrena erythrogastra","M_062","Rosales","Rosaceae","Agrimonia","Agrimonia","Agrimonia.striata",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"422","Andrena erythrogastra","M_062","Sapindales","Sapindaceae","Acer","Acer","Acer.negundo",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"423","Andrena erythrogastra","M_062","Malvales","Malvaceae","Abutilon","Abutilon","Abutilon.theophrasti",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"424","Andrena erythrogastra","M_062","Asterales","Asteraceae","Ambrosia","Ambrosia","Ambrosia.trifida",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"425","Andrena erythrogastra","M_062","Asterales","Asteraceae","Achillea","Achillea","Achillea.millefolium",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"426","Andrena erythrogastra","M_062","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus","Amaranthus.spinosus",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"427","Andrena erythrogastra","M_062","Sapindales","Sapindaceae","Aesculus","Aesculus","Aesculus.hippocastanum",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"428","Andrena erythrogastra","M_062","Myrtales","Lythraceae","Ammannia","Ammannia","Ammannia.coccinea",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"429","Andrena erythrogastra","M_062","Sapindales","Sapindaceae","Aesculus","Aesculus","Aesculus.glabra",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"430","Andrena erythrogastra","M_062",NA,NA,NA,"Actea","Actea.alba",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"431","Andrena erythrogastra","M_062",NA,NA,NA,"Amphicarpa","Amphicarpa.pitcheri",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"432","Andrena erythrogastra","M_062","Fabales","Fabaceae","Amorpha","Amorpha","Amorpha.fruticosa",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"433","Andrena erythrogastra","M_062","Sapindales","Sapindaceae","Acer","Acer","Acer.saccharinum",1,"Andrena.erythrogastra",NA,"Andrena erythrogastra","Andrena","Andrena","Hymenoptera","Andrenidae"
"434","Andrena erythronii","M_032","Liliales","Liliaceae","Erythronium","Erythronium","Erythronium.albidum",1,"Andrena.erythronii",NA,"Andrena erythronii","Andrena","Andrena","Hymenoptera","Andrenidae"
"435","Andrena esakki","M_044","Ericales","Styracaceae","Styrax","Styrax","Styrax.japonica",2,"Andrena.esakki",NA,"Andrena esakki","Andrena","Andrena","Hymenoptera","Andrenidae"
"436","Andrena flavipes","M_015","Brassicales","Brassicaceae","Hirschfeldia","Hirschfeldia","Hirschfeldia.incana",1,"Andrena.flavipes",NA,"Andrena flavipes","Andrena","Andrena","Hymenoptera","Andrenidae"
"437","Andrena flavipes","M_015","Asterales","Asteraceae","Scorzonera","Scorzonera","Scorzonera.cana",1,"Andrena.flavipes",NA,"Andrena flavipes","Andrena","Andrena","Hymenoptera","Andrenidae"
"438","Andrena flavipes","M_015","Asterales","Asteraceae","Calendula","Calendula","Calendula.arvensis",1,"Andrena.flavipes",NA,"Andrena flavipes","Andrena","Andrena","Hymenoptera","Andrenidae"
"439","Andrena flavipes","M_015","Apiales","Apiaceae","Scandix","Scandix","Scandix.australis",1,"Andrena.flavipes",NA,"Andrena flavipes","Andrena","Andrena","Hymenoptera","Andrenidae"
"440","Andrena flavipes","M_015","Boraginales","Heliotropiaceae","Heliotropium","Heliotropium","Heliotropium.europaeum",1,"Andrena.flavipes",NA,"Andrena flavipes","Andrena","Andrena","Hymenoptera","Andrenidae"
"441","Andrena flavipes","M_015","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia","Euphorbia.acanthothamnos",1,"Andrena.flavipes",NA,"Andrena flavipes","Andrena","Andrena","Hymenoptera","Andrenidae"
"442","Andrena flavipes","M_015","Malpighiales","Hypericaceae","Hypericum","Hypericum","Hypericum.triquetrifolium",1,"Andrena.flavipes",NA,"Andrena flavipes","Andrena","Andrena","Hymenoptera","Andrenidae"
"443","Andrena flavipes","M_015","Asterales","Asteraceae","Chrysanthemum","Chrysanthemum","Chrysanthemum.coronarium",1,"Andrena.flavipes",NA,"Andrena flavipes","Andrena","Andrena","Hymenoptera","Andrenidae"
"444","Andrena flavipes","M_015","Brassicales","Brassicaceae","Sisymbrium","Sisymbrium","Sisymbrium.orientale",1,"Andrena.flavipes",NA,"Andrena flavipes","Andrena","Andrena","Hymenoptera","Andrenidae"
