"","esp","ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","Aceptado","sp.armonizado","genero.x","genero.y","orden","familia"
"28","Agapostemon texanus","M_062","Gentianales","Apocynaceae","Asclepias","Asclepias","Asclepias.syriaca",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"29","Agapostemon texanus","M_062","Fabales","Fabaceae","Cassia","Cassia","Cassia.chamaecrista",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"30","Agapostemon texanus","M_062","Brassicales","Brassicaceae","Arabis","Arabis","Arabis.laevigata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"31","Agapostemon texanus","M_062","Gentianales","Apocynaceae","Asclepias","Asclepias","Asclepias.sullivantii",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"32","Agapostemon texanus","M_062","Solanales","Solanaceae","Datura","Datura","Datura.tatula",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"33","Agapostemon texanus","M_062",NA,NA,NA,"Actea","Actea.alba",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"34","Agapostemon texanus","M_062","Gentianales","Apocynaceae","Asclepias","Asclepias","Asclepias.tuberosa",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"35","Agapostemon texanus","M_062","Lamiales","Orobanchaceae","Castilleja","Castilleja","Castilleja.coccinea",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"36","Agapostemon texanus","M_062","Fabales","Fabaceae","Astragalus","Astragalus","Astragalus.canadensis",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"37","Agapostemon texanus","M_062","Fabales","Fabaceae","Cercis","Cercis","Cercis.canadensis",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"38","Agapostemon texanus","M_062","Fabales","Fabaceae","Apios","Apios","Apios.tuberosa",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"39","Agapostemon texanus","M_062",NA,NA,NA,"Actinomeris","Actinomeris.alternifolia",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"40","Agapostemon texanus","M_062","Asterales","Asteraceae","Cacalia","Cacalia","Cacalia.tuberosa",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"41","Agapostemon texanus","M_062","Asterales","Asteraceae","Bidens","Bidens","Bidens.connata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"42","Agapostemon texanus","M_062",NA,NA,NA,"Castalia","Castalia.tuberosa",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
