Origen,Nombre en matriz,Country,Aceptado,Europoll-ITD,KC-ITD,Brasil -ITD,Bases de datos
M_015,Lasioglossum nitidulum fudakowskii,Greece,Lasioglossum nitidulum,1.17,,,GBIF
M_015,Lasioglossum obscuratum acerbum,Greece,Lasioglossum obscuratum,2.11,,,GBIF
M_015,Lasioglossum pygmaeum patulum,Greece,Lasioglossum pygmaeum subsp. patulum,1.27,,,GBIF
M_015,Lasioglossum subaenescens asiaticum,Greece,Lasioglossum subaenescen,1.33,,,GBIF
M_015,Megachile giraudi bicoloriventris,Greece,Megachile giraudi,2.97,,,GBIF
M_015,Megachile pilidens,Sinon. M. argentata,Megachile argentata,2.82,,,GBIF
M_015,Melecta albifrons albovaria,Greece,Melecta albifrons,3.59,,,GBIF
M_015,Mesanthidium carduele,Greece,Afranthidium (mesanthidium) carduele,2.06,,,GBIF
M_015,Metallinella brevicornis,Greece,Osmia (Metallinella) brevicornis,2.3,,,GBIF
M_015,Nomada callimorpha,Greece,Nomada calimorpha,1.65,,,GBIF
M_015,Nomada nobilia,Greece,Nomada nobilis,1.97,,,GBIF - www.catalogueoflife.org
M_015,Nomada rubricolis,Greece,Nomada rubricollis,1.83,,,GBIF
M_015,Osmia latrellei,Greece,Osmia latreillei,2.89,,,GBIF
M_015,Osmia longiceps,Greece,Osmia cephalotes,1.74,,,GBIF
M_015,Osmia nicosiana,Greece,Osmia viridana,1.69,,,GBIF
M_015,Proxylocopa olivieri,Greece,Xylocopa (Proxylocopa) olivieri,,,,GBIF
M_015,Pseudapis diversipes,Sinon de Pseudapis diversipes,Nomia diversipes,1.84,,,GBIF
M_015,Pseudapis monstrosa,sinonimo ,Nomia rumelica,,,,GBIF
M_015,Pseudapis unidentata,sinonimo ,Nomia unidentata,,,,
M_015,Pseudoanthidium lituratum,Greece,Pseudoanthidium nanum,1.96,,,GBIF
M_015,Pseudoheriades hofferi,Greece,Stenoheriades coelostoma,,,,
M_015,Rophites algirus graecus,,Rophites algirus,2.19,,,GBIF
M_006,Andrena pubescens,,Andrena nitida,2.9,,,GBIF
M_006,Bombus terrestris lucorum,,Bombus terrestris,,4.78,,GBIF
M_006,Psithyrus vest,,Psithyrus vestalis,,,(sinonimo Bombus vestalis),
M_007,Andrena pubescens,,Andrena nitida,2.9,,,GBIF
M_007,Bombus terrestris/lucorum,,Bombus terrestris,,4.78,,GBIF
M_007,Psithyrus vest,,Psithyrus vestalis,,,(sinonimo Bombus vestalis),GBIF
M_017,Apis mellifera,,Apis mellifera,3.01,2.9,,GBIF
M_036,Apis mellifera,,Apis mellifera,3.01,2.9,,GBIF
M_059,Centris aenea,,Centris aenea,,4.7,4.7,GBIF - www.catalogueoflife.org
M_059,Centris flavifrons,,Centris flavifrons,,5.6,5.6,GBIF - www.catalogueoflife.org
M_059,Centris fuscata,,Centris fuscata,,4.8,4.8,GBIF - www.catalogueoflife.org
M_059,Centris tarsata,,Centris tarsata,,6.7,3,GBIF
M_030,Eulaema nigrita,,Eulaema nigrita,,,5.1,GBIF
M_030,Xylocopa fibriata,,Xylocopa fimbriata,,,,GBIF
M_031,Bombus atratus,,Bombus atratus,,,5.6,OJO B. pauloensis en sinonino su IDT 3.9
M_031,Melipona compresipes,,Melipona interrupta subsp. oblitescens,,,,
m_072,Bombus atratus,,,,,5.66,GBIF
M_005,Agapostemon coloradensis,Sinon de Agapostemos coloradensis,Agapostemon coloradinus,,,,www.catalogueoflife.org
M_005,Andrena placida,,Andrena barbilabris,2.32,,,GBIF
M_005,Anthophora smithi,,Anthophora quadricolor,4.12,,,GBIF
M_005,Bombus rufocinctus,,Bombus hyperboreus subsp. albertensis,7.6,,,El DIT corresponde sólo a la especie
